playlist_id,track_ids
7,17154 5924 20443 14765 4492 8749 13542 15935 4603 4052
25,4202 699 7545 7077 1900 19134 16866 5620 800 2018
29,8001 15341 2159 3903 15886 5186 12075 1944 18361 2508
34,6285 14751 20306 1357 7517 5746 15386 1850 6951 6581
50,17429 20287 20037 12963 19166 15354 6189 13763 32 11896
52,8838 9441 19173 8456 14827 16293 1357 1935 1434 18963
60,4111 17192 18904 4916 18669 13862 18995 9229 5925 559
64,10089 12507 5604 15038 8437 2203 9717 12753 13180 14128
77,1461 9346 18119 11641 3417 5851 7478 13188 17129 14524
80,14683 18026 16391 10203 9670 3919 15335 19205 12226 5878
106,15474 6103 1591 20263 18096 11275 20295 2497 10567 12278
138,19825 18856 5149 18824 17663 11451 15322 5651 5882 6137
143,20172 8491 4401 7506 868 14277 10251 14732 14826 1149
149,4364 13980 19783 15570 10496 14758 5978 11896 3347 18401
169,7157 19858 18615 4710 14213 18254 13043 11268 14375 9982
180,6433 17515 436 14453 7400 20571 9034 17420 6220 2088
210,19305 14904 16583 394 2006 18743 5751 19075 4745 5429
231,508 1149 8640 10481 15931 2989 15771 2922 1687 2897
241,1641 4026 5359 10706 4058 18421 15090 7163 7545 3788
244,15209 17096 13237 15578 3190 13782 18728 16760 14395 10264
256,1060 7256 8356 19462 12550 4447 19340 6606 3624 2768
258,11366 6253 4364 14395 14591 360 15578 15209 10264 1746
265,8155 11200 16009 14180 13032 5664 20591 11243 14066 3169
268,5817 3855 4743 14149 3750 18249 11759 56 10975 20329
271,19466 394 19075 14306 5023 8342 19305 10691 8033 16583
272,12712 15988 2551 6672 15098 18425 3961 7961 8731 18645
275,11107 17239 10264 13237 2674 14591 6253 360 7619 10250
277,10481 7224 8640 16673 14659 15942 11715 1023 20163 6971
290,14907 11715 13406 10957 2508 18404 12931 19462 579 4148
310,8749 16451 6557 12164 20443 9676 7811 4603 15498 14097
326,17034 20169 9941 10636 12639 16820 3811 2912 8304 1069
365,8437 12765 20461 14659 16433 20135 10055 13402 6732 13212
392,6933 17786 18493 15710 13959 14665 15713 4113 5997 10169
407,17404 7550 10659 14490 2920 18418 5527 5818 2719 3880
413,37 15781 15090 5564 1714 4058 20135 7545 18399 10055
422,4089 508 8640 3256 2922 10481 1180 10259 7081 4433
432,16930 520 3944 8950 8498 6577 6492 19058 20077 15967
455,13276 11016 4072 2807 4201 5527 395 13573 18015 6915
470,5606 12510 7506 14826 868 2997 648 8866 20172 15204
492,8749 956 20242 1063 5924 15471 12311 15360 11233 14714
495,18743 9963 9508 17200 8749 17820 11074 1502 10100 14668
497,2117 17157 550 15926 11101 13034 4069 457 2144 28
505,1898 9229 3855 18040 7197 14149 10975 16008 559 6453
509,5606 16820 8767 2437 2997 7506 8822 8953 1196 9291
514,2740 17972 17096 1494 15670 8481 9061 5928 3190 1260
529,1111 17584 7506 8491 6155 13785 2873 20172 5621 9690
532,797 2417 19858 7321 14375 5147 18254 7739 14213 1473
537,20145 12879 6246 5658 19956 15093 3875 8926 233 10857
545,16465 18285 6925 1830 20371 6367 4526 5674 18547 7436
564,11882 11930 13310 1513 2000 15722 13876 2359 7416 6223
567,10316 2631 4201 4072 10561 2719 15974 7844 12225 18751
580,20172 10848 648 411 4949 5606 10251 4401 7506 1149
582,17634 14597 15498 4909 5679 8358 358 11496 14714 7460
592,8709 2508 19340 15050 4743 9257 18275 16708 14907 14430
611,16433 1290 2980 12426 19991 17984 4301 9778 11157 3698
615,913 1039 10081 4201 11016 10870 8498 14903 1014 14558
619,6577 13129 11715 3565 9784 2166 18303 13089 10201 2886
622,6093 624 11283 18876 9429 13024 9051 11148 6584 19773
625,19858 7157 18254 14213 1012 18615 14375 1374 11635 9051
631,11938 19494 16274 5987 17301 3990 11835 16482 2160 6530
633,6892 13980 14591 18728 14758 3190 6253 14395 5089 15578
636,12173 9670 6 17764 3832 15633 2212 19292 10694 9678
642,13006 1534 17918 11474 9291 9710 5881 16820 3073 17826
646,3403 5846 18899 14994 1144 10636 15495 1085 13439 2317
676,573 9712 18649 10250 9624 3885 778 541 2674 7619
683,4720 1020 699 14178 5534 16486 7153 3491 5524 2006
686,11654 18289 3212 14679 2212 9961 4255 19654 19292 18026
704,3830 2497 411 14826 16502 15771 11369 4949 10251 2579
709,17663 10834 9834 19154 12897 1992 18856 5149 18824 14147
714,11756 7193 11740 15347 19929 5542 2886 4653 20359 368
719,2680 10222 4926 16274 5054 12919 19060 19494 16975 11769
721,573 360 7619 9624 10264 2037 13101 11032 6253 3885
724,17550 3410 19486 16080 20213 5746 5003 10367 15386 10992
731,4013 20169 7153 16866 12721 1020 19838 15781 19589 11357
735,10496 6253 18728 11896 11366 17096 4364 17631 19662 18381
737,4089 508 2989 10481 15038 7081 3256 519 9886 12765
740,9003 2508 4800 7544 6408 12623 5750 56 16521 17200
744,3001 19991 15090 14178 1953 5463 4058 17114 1372 16379
746,3860 9253 658 5655 2236 19462 5474 3624 14022 17563
774,8160 18617 10684 11196 12633 8377 1724 11661 8360 6494
788,6103 15474 20197 18096 10848 11226 13216 6214 15259 20263
818,8640 13154 7224 8437 6823 20163 6433 10089 15942 9120
859,6776 8045 7544 5750 1253 8709 12623 6408 8466 1060
914,19254 1149 14178 4765 1953 7163 19602 3996 394 3519
924,11196 5089 4106 10567 10684 7485 18266 17556 18096 6494
925,2551 17663 20232 12712 6672 663 4253 9473 7558 19969
926,3189 14008 11664 10806 18795 4514 19471 15771 19431 5141
927,16930 7363 20007 1979 6492 20497 11599 8950 9314 6577
949,12436 18096 8956 12990 19662 3347 4106 2873 11638 16471
957,4079 17052 15042 19464 18111 5184 2783 4268 17971 20274
961,3961 17663 9473 9504 19969 8047 3341 13973 11688 17241
988,8356 5186 2274 17200 8218 8001 15341 2159 15886 18830
994,7539 9175 13384 20262 14774 16351 18983 17138 2638 11088
1016,4347 1944 8356 18830 3698 371 15750 10269 4549 13747
1021,17383 5700 4443 12804 1246 15392 1826 2915 19135 1777
1027,6509 5965 17744 7344 10511 7453 15703 19711 9385 15496
1046,3097 12599 3558 5633 5739 10913 1020 10234 3011 1056
1057,7100 9963 14091 19834 2090 17153 10118 20618 9007 14012
1065,8426 18956 10838 18287 12466 3602 975 344 8145 10596
1066,3622 7904 6466 11573 2897 2853 7076 7700 7039 9859
1087,1111 13029 16994 10591 2627 12639 637 37 6353 4910
1092,19770 9579 14904 19466 19305 9804 18743 14306 394 8342
1099,12510 10848 2151 15900 10591 8866 1149 10269 20172 11369
1103,3698 4301 3001 10089 4359 1489 1023 11157 12507 6239
1108,15312 9060 12173 9670 17764 3413 3832 9678 10841 18289
1115,3424 7989 9984 14360 16579 4301 10957 817 19339 12715
1120,6113 7133 1813 18051 953 13105 17357 16491 10019 7174
1126,14826 20172 4910 10496 2873 2497 4401 868 17584 6103
1129,4201 6915 7550 17404 10316 19024 14832 18377 10659 7722
1147,6197 2392 8297 13238 15543 14784 15312 11654 10257 9060
1163,7544 6868 8709 8466 12931 9257 14430 18599 3624 7517
1169,11882 14022 12666 17586 14471 13406 4369 14907 20193 56
1174,9465 17776 12830 11045 10932 9023 13363 18894 15752 11174
1238,3431 5074 19317 8018 2970 1111 15373 4910 207 9254
1254,17568 2780 80 7009 8018 2437 1195 1719 11070 6933
1274,2674 20172 8491 5606 11107 2497 541 13139 411 13542
1285,4346 3876 8849 1588 5193 13624 12668 16905 8540 10346
1302,1357 18763 17166 1710 6285 10930 14827 7931 8838 19597
1316,19733 3893 20415 5482 5661 4675 16944 2887 15458 6078
1319,9477 10698 3473 20056 305 19466 2755 19776 3534 18254
