playlist_id,track_ids
7,14714 17154 19243 15650 13424 4603 5924 8749 13542 4189
25,4202 16663 7035 7545 7077 1422 2018 16866 699 19134
29,8001 8356 17200 4543 12075 2159 9231 56 4743 15341
34,16765 4925 18661 6285 14579 16563 9266 14751 1850 1357
50,20287 13452 17429 20037 10041 13763 32 15354 13368 12425
52,10930 1710 18059 16297 7131 18763 8838 8885 1357 9441
60,4916 4111 1898 18904 13862 14289 559 9229 18669 5817
64,12507 10089 9717 15038 12765 8437 20532 11676 5020 3564
77,362 15498 14714 19590 15935 5924 7478 13542 17154 4492
80,6465 9168 10454 17438 19399 11063 15327 9067 5683 12173
106,15474 6103 20263 20197 18096 2272 12436 10848 2873 1591
138,14147 15704 9834 17081 9940 19825 19154 19969 11688 18856
143,20172 8491 10848 16502 8145 2497 2919 4949 4401 7506
149,8956 13980 17597 4364 14395 4460 15578 13237 6253 360
169,19858 7157 11635 7739 14213 14375 18615 1012 13043 4710
180,5606 14659 6433 2780 14453 17515 16820 17420 7400 17715
210,16583 19305 9804 14904 394 10691 2006 2132 16331 5023
231,508 10481 3944 9229 520 8640 16457 20007 1898 1149
241,16866 5359 4026 18421 10706 1587 1641 4058 7163 15090
244,13980 6253 14591 13237 15209 360 11366 18381 18728 10264
256,19462 1060 8356 13670 16708 5655 3624 18404 16521 14907
258,13980 14591 6253 11366 360 4364 14395 18381 15209 13237
265,11877 7421 2867 12610 8155 6589 11200 7748 20591 16009
268,9229 1898 5817 7197 18040 13862 4916 3855 14289 12075
271,14904 8342 387 19075 19466 394 4745 16100 16331 9211
272,12712 15988 3242 2551 6672 3961 18645 15098 18425 1271
275,3885 13237 13139 10264 18649 18381 360 6253 14591 573
277,508 4089 7224 16673 10481 4301 14659 8640 1023 11715
290,14907 17563 19462 2508 4369 18404 18361 4148 12931 56
310,8749 5924 1063 20443 19243 13542 14765 12311 4603 20242
326,17034 9941 16820 20169 10636 12639 8304 18074 3811 5606
365,8437 14659 20461 12765 13129 6433 7989 6732 20135 2581
392,2674 13139 11070 11107 3885 15578 541 8956 17239 18440
407,7550 17404 5527 2920 18418 3880 2719 18899 9528 10659
413,4026 37 15781 15090 20169 10269 4058 3551 5564 1133
422,2583 2290 12703 8146 3256 4433 14012 2489 1180 8640
432,16930 20007 3944 520 19556 8950 16404 11599 19336 9314
455,13276 2631 15974 7953 8333 11016 18751 4072 11020 11390
470,5606 7506 12510 14826 648 2997 20172 868 8866 10848
492,8749 12311 5924 1063 11233 14714 14765 20242 19243 20443
495,8169 11759 405 11074 17200 17820 8138 16392 1641 14248
497,2117 18074 11070 13034 17157 550 13006 13990 20268 5576
505,1898 9229 5817 18040 7197 13862 3855 14289 4023 16008
509,5606 16820 8767 2437 2997 7506 16601 648 12510 8953
514,1382 13980 4632 15209 3252 17096 4946 2740 15417 11366
529,20172 8491 7506 1111 11943 10848 8145 14826 4910 2497
