playlist_id,track_ids
7,17154 4603 5924 8749 13542 10100 11233 14765 4189 12311
25,4202 7545 699 1422 7077 16866 2018 1900 18991 19134
29,8001 12075 9231 2159 56 15341 2508 18361 8138 1898
34,6285 1357 14751 1850 5746 17819 6951 15386 18963 20076
50,20287 20037 17429 10041 13368 13763 12425 32 15354 17034
52,8838 9441 1357 19173 18963 18254 8456 14827 1434 1935
60,4916 4111 1898 13862 18904 14289 9229 559 5817 18669
64,10089 12507 15038 9717 12765 8437 20532 5020 2203 5485
77,362 15498 14714 7478 19590 5924 17154 13542 13424 13808
80,9670 7323 14683 3919 11654 3413 18026 14679 2212 19205
106,15474 6103 20263 18096 2873 411 12436 10848 12278 5572
138,19825 18824 18856 5149 17663 11451 5651 6137 9473 15722
143,20172 8491 7506 4401 868 14826 10251 5606 1149 14732
149,13980 4364 6253 360 14591 14758 15570 18728 10496 18381
169,19858 7157 14213 14375 7739 4710 18615 13043 18254 6409
180,5606 17515 6433 2780 14453 16820 436 2088 17420 7400
210,16583 14904 19305 394 2006 387 8112 10977 5751 18743
231,508 10481 1898 520 8640 9229 3944 1149 20007 6287
241,5359 4026 18421 1641 10706 4058 7163 15090 14178 3788
244,13237 360 15209 18728 14395 10264 15578 17096 13782 4364
256,16708 8356 1060 19462 13670 5655 16521 18404 14907 12931
258,14591 6253 360 11366 14395 4364 18381 15209 15578 10264
265,8155 14180 13032 20591 16009 11200 11243 5664 607 3067
268,5817 3855 3750 14149 56 18249 4743 9231 11759 10975
271,8342 394 19466 19075 16100 19305 14306 5023 8033 10691
272,12712 15988 2551 3961 6672 18425 15098 18645 1271 7490
275,13237 10264 360 6253 14591 17239 13980 15578 8956 11107
277,10481 16673 7224 4301 8640 14659 6971 1023 11715 7989
290,14907 2508 19462 18404 4148 12931 56 16521 10521 7544
310,8749 20443 19243 4603 7811 6557 9676 16451 4052 12164
326,17034 9941 16820 8304 10636 12639 20169 18074 5606 3811
365,8437 20461 14659 12765 13129 20135 6732 7989 16433 2980
392,13139 2674 11070 11107 3885 15578 8956 10848 9705 10496
407,7550 18418 17404 5527 3880 2920 18899 2719 9528 10659
413,15781 20169 37 15090 4058 10269 5564 1641 10706 16866
422,1180 2489 4433 14012 8640 4467 10259 13297 3256 4089
432,16930 520 3944 8950 6492 8498 15967 19152 19058 1979
455,13276 4072 11016 5527 2807 4201 395 6915 13573 14832
470,5606 7506 12510 14826 648 2997 20172 868 8866 10848
492,8749 12311 5924 1063 14714 11233 20242 19243 20443 14765
495,11074 17200 17820 9963 1898 12075 18743 14154 8356 8749
497,2117 17157 550 13034 13006 20268 13990 15907 5576 541
505,1898 9229 7197 18040 3855 16008 14289 14149 1247 4023
509,5606 16820 8767 2997 2437 7506 12510 14826 4910 8953
514,17096 2740 14591 1494 18728 3190 6253 5928 1260 17881
529,20172 8491 7506 1111 11943 4910 8145 16494 411 8866
532,19858 14375 18254 7739 14213 10618 1473 4710 4085 2417
537,20145 12879 6246 1730 15093 17826 11407 19956 8926 20373
545,6925 1830 20371 16465 5674 18285 7436 19352 18547 4526
564,6223 7416 15185 2000 20247 11882 6624 12815 17241 10577
567,4072 4201 2631 7844 2719 10316 15485 15974 18751 8333
580,20172 10848 5606 411 648 7506 4949 4401 14826 10251
582,17634 15498 4909 14714 7460 14597 8358 17154 5940 20150
592,16708 2508 16521 4743 8709 19340 9257 19462 9003 56
611,2980 16433 12426 1290 19991 17984 3698 4301 13624 15750
615,10081 1039 913 14558 11016 10870 15485 8781 9242 16336
619,6577 11715 13129 18303 9903 12507 10201 3001 11400 24
622,6093 624 18876 11283 9051 13024 9429 6985 6584 9278
625,19858 18254 14375 1012 14213 18615 13043 7157 1374 10618
631,16274 11938 17301 2160 19494 1385 5228 11835 8595 6530
633,13980 18728 14591 15578 6253 14395 6892 14758 13237 3190
636,12173 9670 6 17764 3832 2212 10694 15633 3919 19292
642,16820 9291 13006 15209 13237 9710 5881 13980 14591 11366
646,5846 18899 3403 14994 1144 15495 10636 7920 13439 2317
676,573 3885 18649 10250 2674 541 6253 360 17239 13101
683,4720 1020 699 14178 5534 3491 16486 2006 5524 14796
686,11654 18289 14679 3212 2212 9961 4255 19654 3919 19292
704,411 2497 3830 14826 16502 15771 5572 7506 14008 20515
709,17663 10834 14147 9834 9473 18856 1992 9246 18824 4253
714,11740 11756 20359 9491 12507 15942 4653 15347 3304 5020
719,12919 19494 16274 2160 10910 5054 4926 10877 2680 11870
721,573 6253 7619 18381 13139 360 13980 2037 10264 13101
724,3410 17550 16080 19486 15386 20213 5746 10367 4998 10992
731,20169 12721 4013 7153 19838 15781 1020 1641 10706 11357
735,6253 18728 360 11366 17096 18381 4364 10496 17239 2740
737,4089 508 2989 10481 7081 3256 9886 12765 519 5020
740,9003 2508 7544 12623 56 16521 6408 12075 19340 4800
744,3001 19991 15090 15750 15775 4058 4301 1641 5564 2980
746,3860 19462 9253 5474 2236 5655 3624 11882 17563 658
774,8160 18617 10684 12633 8377 11196 11661 2891 12461 8360
788,6103 15474 20263 18096 2873 20197 411 11226 13216 8491
818,8640 13154 10089 7224 8437 20163 12507 9120 15942 3256
859,6776 7544 8045 12623 8709 6408 1060 8466 19340 9257
914,19602 4058 7163 14178 10269 14826 12510 3830 5141 1149
924,4106 7485 11196 5089 13250 17774 11638 18266 10684 18096
925,2551 17663 19969 12712 6672 20232 4253 3961 9473 9940
926,4514 20172 10848 11664 7506 868 5141 14826 3830 8866
927,16930 20007 7363 1979 6492 11599 8950 20497 9314 19336
949,4106 13250 18096 12990 2873 12436 19662 17774 3347 11638
957,4079 2783 17971 4268 17052 7914 2931 2758 6309 6084
961,3961 17241 11510 8047 17635 17663 6624 15185 9246 12008
988,8356 2159 8001 5186 17200 8218 15886 15341 16387 3903
994,7539 9175 20262 13384 14774 1329 11088 16288 2638 10019
1016,8356 4347 1944 4549 18830 17200 371 7256 8725 6695
1021,5700 17383 12804 1246 2915 15548 8129 15503 10446 15392
1027,6509 5965 17744 10916 7427 19711 15496 7453 12536 10511
1046,3097 5633 3558 12599 3790 2068 1020 10234 10629 1231
1057,9007 2090 14012 17530 12906 9963 3287 1180 14091 7100
1065,8145 344 1111 11943 8426 14826 10838 868 6844 975
1066,3622 7904 16973 19398 3648 12311 6466 2897 15941 11573
1087,13029 16994 1111 2627 4910 37 12639 10591 10706 14826
1092,9804 19770 14904 2665 9579 19466 18743 19305 394 8342
1099,12510 10848 20172 15900 8866 2151 4910 1149 10591 8491
1103,3698 4301 7989 4359 3001 14360 4954 16083 14662 1023
1108,15312 9060 9670 12173 3413 17764 18289 3832 12295 4255
1115,7989 9984 14360 16579 3424 4301 9383 10957 12715 817
1120,6113 7133 1813 18051 953 13105 16491 10019 7174 4881
1126,14826 20172 8491 868 2497 7506 5606 4910 411 2919
1129,7550 4201 14832 6915 10316 10659 19024 18377 17404 11682
1147,6197 8297 2392 15312 12173 11654 7323 9060 9670 18289
1163,7544 8709 8466 6868 9257 12931 14430 1060 18599 9231
1169,11882 12666 17586 14022 13406 14907 1300 1060 56 4369
1174,15752 6423 11174 17312 17080 6284 9465 12360 17076 6132
1238,1111 10848 4910 5606 7506 8145 20172 868 10024 3431
1254,2780 7009 11070 5881 9291 2437 1719 8018 17568 9826
1274,2674 3885 20172 13139 8491 5606 541 17239 8749 13542
1285,3876 4346 8849 10346 13624 5193 12910 7989 12426 1588
1302,1357 18763 17166 1710 7931 6285 8838 10930 1850 14827
1316,3893 19733 5482 20415 5661 16944 4675 7070 12688 2887
1319,3473 18254 9477 19858 1473 14375 13043 5443 14213 19466
1341,8749 14714 4052 3648 16973 20443 15438 4826 17154 15650
1346,4347 8356 18830 8725 770 8138 1944 17200 7256 14949
1350,3242 9246 20232 4253 1271 2551 17663 8672 13052 12744
1353,573 13980 10264 18381 14591 3885 13237 6253 5903 11366
1363,15771 16494 10848 11664 20172 15900 1372 3830 8491 11227
1371,9231 12075 2508 6776 56 4148 8045 8138 14907 11759
1379,6569 2085 17709 16128 16477 18352 9083 4281 9744 17398
1383,9051 1056 13787 456 3700 19773 17699 13024 624 3173
1390,4743 11759 8138 8169 17200 4865 18361 1898 11074 8356
1398,13906 8996 13041 2520 4952 6695 10038 13486 7760 8164
1404,387 5023 19075 4745 16100 394 2665 19770 8342 9477
1415,12414 1681 16199 16630 104 2084 6712 2811 4323 13561
1417,5700 17748 10446 11227 12472 18798 18244 1640 820 14017
1454,16583 20461 10691 9804 3453 12762 8112 20135 14659 10466
1456,13251 18358 8021 4433 12997 12323 16163 2423 765 28
1463,9060 9670 7323 2186 16861 17764 3413 19205 18057 10926
1481,1641 4058 3551 4026 19305 12721 4745 9804 1020 18743
1505,11774 15386 17550 3410 13003 16080 20213 10367 14751 14694
1519,1195 17568 4113 17034 482 14665 5997 17786 18493 6015
1524,14659 20461 18231 9007 17247 6220 17709 17947 9392 877
1534,19205 8297 2392 15543 12173 18026 3413 15312 16585 3963
1542,214 13908 17213 7066 19295 20244 20421 17396 395 13004
1545,19192 6667 2423 3022 17281 14612 2090 17709 2085 877
1554,20172 8491 411 15771 2497 14826 14008 5572 20515 4401
1560,15312 9670 7323 17764 18289 11654 3413 14679 3832 4255
1588,9388 4774 10521 14907 9718 4369 19462 19558 12046 2730
1590,15328 5171 7053 1328 2700 14345 10418 18821 17382 16686
1601,16502 20172 8145 7506 10848 4401 11943 2919 20515 868
1637,18599 8709 9231 8466 6868 6776 4199 8045 7544 19340
1639,15386 18987 3410 5746 9093 20351 14694 13734 10367 7517
1661,6379 5640 5167 5100 13153 2252 18332 18578 3606 20048
1673,405 8138 17200 1898 12075 14149 4743 8356 3855 1502
1679,7153 6716 14247 660 19838 12162 11357 3790 12908 740
1682,14360 7989 14662 4301 1290 2980 16083 16433 10957 14615
1692,1290 11157 6823 18262 12507 308 20372 579 607 13624
1701,11407 1066 1730 3511 5247 20373 7605 17586 19928 7098
1703,10706 4026 5100 15781 3551 10708 4202 1133 3788 15661
1712,13034 20555 17826 13006 19576 20362 11070 18982 6263 550
1713,20287 5112 1069 667 12425 3811 15725 1899 5180 19813
1729,7989 3698 14360 14662 3001 6823 16083 4359 16673 15750
1730,3961 9473 9246 5149 18856 3242 12071 6672 9940 15988
1731,1329 10019 19396 10910 553 1886 7539 1813 17138 16274
1734,13980 8229 13237 14309 6253 16471 18728 17239 4364 14591
1740,15312 3919 16861 2186 3413 16585 19205 20121 17764 6
1742,11943 14826 4949 1422 4910 8145 10848 7506 15187 2919
1747,3377 6780 8486 8296 17102 18504 17321 14087 10237 1471
1755,11233 5924 14668 14714 13542 362 5649 4909 15779 19590
1766,20263 6103 4401 20295 10848 411 2497 5572 2919 16502
1807,8491 14826 797 13216 3830 15771 2497 5572 12436 12278
1814,17383 15548 17748 10446 15392 12804 15503 19135 18376 11231
1820,5817 18040 9229 13862 12066 16008 1247 10975 3855 14289
1852,7989 1710 14360 20120 2980 1290 13129 7131 16297 11740
1854,10848 20172 2997 8491 5141 11943 4910 411 2151 2497
1871,19711 10511 5965 12536 10916 17534 16941 13354 9815 17315
1880,9118 125 4376 14007 6799 19536 18859 5165 11750 4267
1881,13402 2581 3876 4346 16433 8540 1588 12668 5193 13624
1883,4998 15410 12622 2518 11774 222 7463 13731 3410 13202
1885,10706 15781 4026 1587 4202 18332 17346 14378 3788 3790
1898,18254 18615 1012 14213 13043 6409 7739 4710 6985 1473
1904,11496 12311 18743 15498 5924 956 11313 7460 14597 4603
1907,13980 6253 8956 15578 18728 18381 15209 11366 3885 10264
1912,16820 1719 17918 9941 5881 8822 7728 12639 2780 12599
1916,1944 8356 18830 15778 11916 7256 12550 14134 6695 4549
1927,8018 8798 5773 18982 19721 1895 6937 15373 19163 5576
1953,19462 12931 3624 16708 1060 1300 11882 19340 5474 9253
1958,6408 15050 9003 12623 9257 12931 7544 6704 19340 1060
1959,12075 56 9231 8356 16457 17820 8045 17200 11759 18404
1963,13980 6253 8956 3885 13139 14395 4364 17239 11206 16760
1967,6092 15949 13370 2608 13735 18100 115 11837 4309 11530
