playlist_id,track_ids
7,17154 4492 5924 8749 14765 20443 13542 15935 4052 15779
25,4202 699 800 16866 7077 1900 7545 1111 19134 3788
29,8001 2159 15341 3903 15886 1944 12075 18361 5186 2508
34,6285 14751 1357 1850 7517 15386 6581 19540 5746 11774
50,20287 20037 17429 12963 15354 11896 19166 13763 17034 6189
52,9441 8456 8838 19173 14827 1935 16293 18254 17247 1434
60,4111 18904 4916 1944 10201 1898 9229 14867 1551 17192
64,15038 10089 12507 5604 5726 12765 9717 2203 8437 16484
77,1461 7478 13542 15498 1698 18119 7868 13188 14524 9346
80,14683 18026 16391 9670 10203 15335 3919 12226 3413 7323
106,15474 20263 6103 1591 11275 10567 10848 18096 12436 2873
138,19825 18856 18824 17663 5149 5651 15322 11451 5882 10834
143,20172 8491 4401 868 7506 14826 10251 14732 5606 14277
149,4364 19783 15570 13980 10496 12182 5978 14758 11107 360
169,7157 19858 18615 4710 14213 6901 18254 6985 11268 6409
180,6433 17515 14453 2088 1111 2402 436 6971 20571 7400
210,14904 19305 16583 394 2006 18743 8112 19075 4745 387
231,508 6695 8640 1687 1149 2989 15931 10481 15771 4865
241,1641 10706 5359 4026 4058 18421 15090 7545 3788 5786
244,15209 17096 13237 15578 360 18728 14395 3190 13782 16760
256,8356 19462 6606 1060 16708 7256 14907 18404 5655 3600
258,11366 6253 4364 14395 14591 360 15209 15578 1746 18381
265,8155 16009 11200 13032 14180 5664 11243 20591 14066 3169
268,3855 5817 4743 14149 3750 56 18249 11759 9231 405
271,14306 19075 19466 394 8342 5023 19305 10691 16583 8033
272,12712 6672 15988 2551 15098 18425 3961 1271 8731 7961
275,11107 17239 10264 13237 14591 2674 360 6253 13980 15578
277,7224 16673 10481 8640 6971 11715 4301 14659 1023 20163
290,14907 18404 2508 10957 11715 13406 19462 1944 12931 4148
310,8749 16451 6557 12164 20443 7811 4603 9676 19243 2765
326,17034 20169 9941 16820 10636 12639 18074 1069 2912 7475
365,8437 14659 12765 13129 20461 16433 20135 13402 13212 7989
392,6933 13959 11070 15710 17786 18493 18440 10496 2272 5997
407,10659 7550 17404 18418 3880 14490 9528 18899 5527 10316
413,15781 15090 1714 1641 10691 5564 37 20169 4058 18399
422,4089 8640 1180 2489 508 4433 13297 3256 10259 2922
432,16930 520 3944 6577 8950 8498 14213 17359 6492 20077
455,13276 11016 4072 5527 2807 4201 395 6915 13573 12225
470,5606 7506 12510 14826 648 868 2997 20172 8866 15204
492,8749 19662 20242 15360 956 1063 12311 5924 15471 11233
495,18743 9963 9508 17200 17820 8749 14154 11074 14668 1502
497,2117 550 17157 13034 4069 15907 457 541 12425 11101
505,1898 9229 3855 7197 18040 14149 16008 559 6453 10975
509,5606 16820 8767 2437 2997 8953 12510 4910 1196 9291
514,2740 17972 17096 1494 15670 9061 14591 8481 5928 3190
529,1111 7506 8491 20172 11943 16494 17584 9690 11369 411
532,797 2417 19858 7321 5147 14375 4710 6489 14204 18254
537,20145 6246 12879 5658 15093 19956 20373 3875 8926 1730
545,16465 18285 6925 1830 20371 4526 6367 7436 5674 5252
564,11882 13310 11930 6223 15722 15432 2359 10834 13876 13056
567,10316 4072 10561 2631 4201 2719 15974 12225 18751 7844
580,10848 20172 648 5606 411 4949 7506 1149 10251 4401
582,17634 15498 14597 8358 4909 5679 358 11496 14714 394
592,16708 2508 9257 4743 8709 16521 19340 18404 18275 9003
611,12426 1290 16433 19991 2980 17984 9778 7085 4301 3698
615,10081 913 1039 11016 16336 10316 1014 14558 7844 10870
619,6577 13129 11715 10201 3565 9784 3685 18303 2166 3001
622,6093 624 18876 11283 6985 9051 11414 11148 3700 16225
625,19858 7157 18254 1012 18615 14213 1374 2253 14375 6985
631,11938 16274 19494 5987 17301 2160 1385 6530 9205 16482
633,6892 13980 14758 18728 14591 15578 14395 6253 3190 5089
636,12173 9670 6 17764 2212 3832 15633 10694 19292 845
642,1534 9291 9710 16820 5881 13006 17918 13237 18875 5100
646,3403 5846 14994 18899 1144 10636 15495 1085 2317 13439
676,573 10250 3885 9712 18649 541 2674 778 9624 5576
683,4720 699 1020 16486 14178 7153 5534 5524 4954 3491
686,11654 18289 2212 3212 9961 14679 4255 19654 18026 19292
704,3830 2497 411 14826 16502 10251 11369 14008 15771 7506
709,17663 10834 9834 19154 1992 18856 5149 9246 14147 12897
714,11756 15942 11740 368 5020 16484 4653 3304 20359 19929
719,2680 12919 5054 4926 10222 16274 19494 11870 19060 10910
721,573 7619 13101 6253 3885 2037 10250 360 11032 9624
724,17550 3410 19486 20213 16080 10992 5746 5003 15386 10367
731,4013 20169 7153 12721 15781 16866 19838 11357 19589 1020
735,10496 6253 18728 11366 4364 11896 17096 2740 360 17631
737,4089 508 2989 10481 15038 7081 519 12765 3256 5020
740,2508 9003 4800 7544 56 16521 5750 12623 12075 6408
