playlist_id,track_ids
7,4492 20443 17154 14765 15935 5924 8749 15779 4052 13542
25,4202 699 800 1900 19134 5620 7077 16866 18567 1111
29,8001 2159 15341 3903 15886 12075 1944 5186 18361 8138
34,6285 14751 1850 19540 20306 7517 1357 6581 6951 15386
50,20287 15354 19166 17429 12963 20037 11896 15954 13763 6189
52,9441 8456 14827 19173 8838 17247 1935 16293 1434 11425
60,4111 18904 10201 4916 17192 18475 8173 1944 559 1898
64,10089 5604 15038 12507 5726 9717 12765 12564 2203 4014
77,1461 7478 13542 17129 1698 9346 5947 18119 7868 6577
80,14683 18026 16391 10203 9670 15335 3919 12226 7323 3413
106,15474 6103 1591 20263 11275 2873 10567 20295 17984 12499
138,18856 19825 5882 18824 11451 17663 5149 15322 5651 6137
143,20172 8491 868 4401 7506 10251 14277 14732 14826 1149
149,4364 19783 13980 5978 15570 12182 10496 14758 11896 11107
169,7157 19858 18615 4710 6901 14213 11268 2253 18254 13043
180,6433 17515 14453 14322 18440 1111 2117 6971 436 20169
210,19305 14904 16583 394 2006 18743 8112 387 10977 16486
231,508 1687 8640 1149 17200 6695 15931 2989 10481 15771
241,1641 4058 5359 4026 10706 18421 3788 7545 5786 15090
244,15209 17096 13237 15578 360 3190 18728 16760 14395 13782
256,8356 6606 1060 3600 19462 18404 14907 7256 4640 18361
258,11366 4364 6253 14591 14395 360 15578 15209 6556 1746
265,8155 16009 11200 14180 13032 5664 14066 16331 20591 11243
268,3855 5817 4743 14149 3750 56 18249 11759 405 559
271,19466 14306 394 19305 5023 19075 8342 6788 8033 10691
272,12712 6672 15988 2551 18425 15098 3961 1271 8731 2859
275,11107 17239 13237 10264 14591 2674 360 6253 9705 13980
277,7224 16673 10481 8640 6971 11715 1023 20163 14659 4301
290,14907 10957 11715 13406 10481 4513 18404 2886 507 1944
310,8749 6557 16451 12164 20443 9963 13259 7811 2765 16973
326,17034 20169 9941 10636 12639 16820 2912 7475 1069 18074
365,8437 20461 14659 12765 16433 13129 20135 7989 368 13212
392,6933 2272 17786 13959 18440 18493 5997 15710 11070 10169
407,10659 5818 7550 14490 16338 18418 17404 9528 18899 10316
413,15781 15090 37 18399 1714 10691 1641 2164 20135 5564
422,4089 8640 1180 2489 13297 3256 4433 10259 508 9864
432,16930 520 3944 6577 8950 8498 14213 13972 17359 18763
455,13276 11016 4072 5527 2807 4201 395 12225 14718 6915
470,5606 7506 2997 12510 648 14826 868 15204 8866 10711
492,8749 19662 15360 15471 20242 5924 18743 1063 961 11107
495,18743 9508 9963 17200 8749 11074 17820 13930 5679 14154
497,2117 550 17157 13034 4069 12425 7009 541 20134 14583
505,1898 9229 3855 18040 14149 7197 3950 16008 10975 14790
509,5606 16820 8767 2437 2997 8953 1196 9941 7506 12510
514,2740 17972 17096 1494 9061 15670 5928 14591 1260 3190
529,1111 7506 13785 20172 11943 8491 16494 9690 17584 6491
532,797 2417 6489 4710 7321 5147 6062 5947 14204 8796
537,20145 20373 3875 12879 19956 6246 7098 1730 18986 11407
545,16465 18285 6925 1830 20371 6367 4526 18547 7436 5654
564,11882 13310 11930 15432 15722 7624 13876 1513 10777 2359
567,10316 4072 10561 2719 12225 2631 4201 7844 15974 18751
580,10848 20172 648 4949 411 5606 1149 10251 7506 4401
582,17634 15498 14597 358 5679 11496 8358 4909 394 20150
592,9257 8709 16708 18669 4743 18275 2508 17586 12076 15050
611,1290 2980 12426 19991 16433 17984 9778 7085 15542 11157
615,10081 913 1039 11016 10870 10316 1014 16336 4201 9242
619,6577 13129 3565 11715 10201 18303 9784 3001 2166 3685
622,6093 11283 624 18876 11148 16225 9307 11414 19773 9429
625,19858 7157 1012 2253 18615 11635 5971 18254 1374 14213
631,11938 16274 5987 19494 17301 2160 1385 6530 9205 3990
633,6892 13980 14591 18728 14758 3190 6253 3245 15578 14395
636,12173 9670 6 17764 3832 2212 15633 845 10694 9678
642,1534 9710 3073 9291 17918 13237 11474 4444 19555 13006
646,3403 5846 18899 14994 1144 10636 15495 1085 13439 2317
676,573 3885 18649 9712 5576 541 10250 2674 778 9624
683,4720 699 1020 7153 16486 14178 5534 5524 4954 2006
686,11654 18289 2212 3212 9961 14679 4255 19654 18026 19292
704,3830 2497 411 14826 10251 16502 11369 14008 2579 15771
709,17663 10834 9834 19154 12897 1992 14147 18856 9246 5149
714,11756 368 19929 7193 9957 5099 15942 20359 15347 3304
719,12919 2680 4926 10222 5054 19060 19494 16274 10910 11870
721,573 7619 2037 10250 9705 13101 360 9624 6253 11032
724,17550 3410 19486 20213 16080 10992 5003 5746 10367 15386
731,4013 20169 12721 15781 7153 1020 19589 11357 16866 797
735,10496 6253 18728 11366 11896 4364 17096 17631 360 2740
737,4089 508 2989 10481 15038 5020 519 7081 4799 3256
740,2508 9003 4800 7544 17200 5750 12623 6408 56 16521
744,3001 5463 19991 15090 11636 15775 15750 4058 1372 4026
746,9253 3860 658 5655 19462 2236 5474 14022 17563 1322
774,8160 12633 11196 8377 18617 1724 10684 11661 8360 7669
788,15474 6103 20197 11226 10848 4600 18096 2873 411 20263
818,8640 6433 8437 6823 519 10089 7224 20163 13154 16673
859,6776 8045 1253 7544 6408 4800 18995 12623 5750 1060
914,19254 1085 14178 5463 394 18729 1149 4765 1953 16994
924,11196 5089 4106 10567 10684 6494 11661 18096 18266 17556
925,2551 17663 12712 20232 6672 663 10834 17414 13875 7558
926,19431 4514 18168 425 3189 14008 15771 7163 8866 11664
927,7363 1979 16930 6577 20007 6492 20497 8950 11599 9314
949,2873 18096 12436 19662 8956 11638 16471 15578 17597 4106
957,4079 17971 4268 2783 5184 4710 5470 17052 15042 7914
961,3961 8047 9473 19969 17663 9504 11510 10206 15185 3163
988,8356 15886 5186 8218 8001 17200 4347 15341 18830 3600
994,7539 9175 20262 14774 1329 13384 17138 2638 16288 16351
1016,4347 1944 3698 4549 3445 8356 371 13747 7260 6006
1021,12804 17383 4443 5700 15392 1246 2863 2915 8129 1826
1027,6509 5965 17744 2693 7344 13711 10916 8413 10511 339
1046,4720 3097 12599 3011 19008 1020 5739 18446 10913 1056
1057,7100 9963 19834 14091 2090 12802 11417 19770 17153 10118
1065,8426 18956 10838 8145 12499 16502 12466 18287 344 3602
1066,3622 7904 6466 11573 2897 7076 7039 7499 7700 2853
1087,10591 1111 16994 13029 2627 6353 12639 37 4910 637
1092,19770 9579 14904 14306 19466 9804 18743 1641 19305 2665
1099,12510 15900 10848 2151 14322 1149 10591 10269 15542 16107
1103,3698 3001 4301 1489 8627 4954 11947 4359 10089 6239
1108,15312 12173 9060 9670 17764 3413 18289 3832 9678 4255
1115,3424 4301 7989 817 14360 9984 16579 16756 12715 19339
1120,6113 7133 18051 1813 953 7174 13105 17357 10019 14774
1126,14826 868 20172 10496 17584 2497 5606 4910 10251 14309
1129,4201 7550 10316 6915 19024 17404 19467 11016 14832 10659
1147,6197 8297 2392 12173 13238 15543 11654 15312 14784 10257
1163,7544 6868 12931 8709 8466 18404 9257 18599 7517 18093
1169,11882 12666 14471 14022 13406 14907 17586 18361 4369 20193
1174,15752 11174 6423 1428 9465 12360 17312 19952 17080 12830
1238,8018 1111 3431 5074 19317 4910 14322 15373 10848 868
1254,8018 80 2780 17568 7009 2437 11070 6933 1195 19317
