playlist_id,track_ids
7,17154 4492 8749 5924 14765 20443 4052 13542 15779 10300
25,4202 699 800 16866 7077 1900 1111 7545 19134 3788
29,8001 2159 15341 3903 15886 1944 12075 5186 18361 2508
34,6285 14751 1357 1850 7517 6581 15386 19540 5746 11774
50,20287 20037 17429 12963 15354 11896 19166 13763 17034 8229
52,9441 8456 8838 19173 14827 1935 16293 18254 17247 1434
60,4111 18904 4916 1944 1898 10201 9229 14867 1551 18669
64,15038 10089 12507 5726 5604 12765 9717 2203 8437 16484
77,1461 7478 13542 15498 1698 13424 18119 20242 7868 9346
80,14683 18026 16391 9670 10203 3919 15335 7323 3413 12226
106,15474 20263 6103 1591 11275 10567 10848 18096 12436 2873
138,19825 18856 18824 17663 5149 15322 5651 5882 10834 11451
143,20172 8491 4401 868 7506 14826 5606 10251 14732 14277
149,4364 19783 15570 13980 10496 12182 5978 14758 11107 360
169,7157 19858 18615 4710 14213 6901 18254 6985 14375 2253
180,6433 17515 14453 2088 2402 436 1111 6971 20571 13188
210,14904 19305 16583 394 2006 18743 8112 4745 19075 10977
231,508 6695 8640 1687 1149 2989 15931 10481 4865 15771
241,1641 10706 4026 5359 4058 18421 15090 3788 7545 5786
244,15209 17096 13237 15578 360 18728 14395 3190 13782 16760
256,8356 6606 19462 1060 16708 7256 18404 14907 5655 628
258,11366 4364 6253 14395 14591 360 15209 15578 1746 6556
265,8155 16009 11200 13032 14180 5664 11243 20591 14066 3169
268,3855 5817 4743 14149 3750 56 11759 9231 18249 405
271,14306 19075 19466 394 8342 5023 19305 16583 10691 16100
272,12712 6672 15988 2551 15098 18425 3961 1271 7961 8731
275,11107 17239 10264 13237 14591 2674 360 6253 13980 9705
277,7224 16673 10481 8640 6971 1023 4301 14659 3001 20163
290,14907 18404 2508 10957 11715 13406 19462 1944 4148 12931
310,8749 16451 12164 6557 20443 7811 4603 9676 16973 9963
326,17034 20169 9941 16820 12639 10636 1069 18074 7475 2912
365,8437 14659 12765 13129 20461 16433 20135 13402 7989 13212
392,6933 13959 11070 17786 15710 18440 18493 10496 5997 2272
407,10659 7550 18418 17404 3880 14490 9528 18899 5527 5818
413,15781 15090 1714 1641 10691 5564 20169 4058 37 7545
422,4089 8640 1180 2489 508 4433 13297 10259 3256 2922
432,16930 520 3944 6577 8950 8498 14213 17359 6492 13972
455,13276 11016 4072 5527 2807 4201 395 6915 12225 13573
470,5606 7506 12510 14826 648 868 2997 20172 8866 15204
492,8749 19662 20242 15360 956 1063 12311 15471 5924 2204
495,18743 9963 9508 17200 17820 8749 14154 1502 11074 14668
497,2117 550 17157 13034 4069 15907 457 541 20268 12425
505,1898 9229 3855 18040 7197 14149 16008 559 6453 10975
509,5606 16820 8767 2437 2997 4910 8953 12510 9291 9941
514,2740 17972 17096 1494 15670 14591 8481 9061 5928 3190
529,1111 7506 8491 20172 16494 11943 17584 9690 11369 868
532,797 2417 19858 7321 5147 4710 14375 6489 14204 12490
537,20145 5658 6246 12879 15093 19956 20373 3875 8926 1730
545,16465 18285 6925 1830 20371 4526 6367 5674 18547 5252
564,11882 13310 11930 6223 15722 15432 2359 10834 13056 13876
567,10316 4072 10561 2631 4201 15974 2719 12225 6915 18751
580,10848 20172 648 5606 411 4949 7506 1149 10251 4401
582,17634 15498 14597 8358 4909 5679 358 11496 14714 20150
592,16708 2508 9257 4743 8709 16521 19340 18404 18275 9003
611,12426 1290 16433 2980 19991 17984 7085 9778 4301 15542
615,10081 913 1039 11016 16336 1014 14558 10316 7844 10870
619,6577 13129 11715 10201 3565 9784 3685 2166 18303 1192
622,6093 18876 624 11283 6985 9051 11414 11148 16225 9307
625,19858 7157 18254 1012 18615 14213 6985 2253 1374 14375
631,11938 16274 19494 5987 17301 2160 1385 6530 9205 11211
633,6892 13980 14758 18728 15578 14591 6253 14395 10496 3245
636,12173 9670 6 17764 2212 3832 15633 10694 19292 845
642,1534 9710 16820 9291 5881 13006 19555 17918 13237 3073
646,3403 5846 14994 18899 1144 10636 15495 1085 2317 12718
676,573 10250 3885 9712 541 18649 2674 778 9624 5576
683,4720 699 1020 16486 14178 7153 5534 5524 4954 3491
686,11654 18289 2212 3212 14679 9961 4255 19654 18026 16585
704,3830 2497 411 14826 16502 14008 10251 15771 11369 7506
709,17663 10834 9834 19154 1992 18856 5149 9246 12897 14147
714,11756 15942 11740 368 5020 16484 3304 19929 4653 20359
719,12919 2680 5054 4926 16274 10222 19494 19060 11870 10910
721,573 7619 13101 6253 3885 2037 10250 360 11032 13237
724,17550 3410 19486 20213 16080 5746 10992 5003 15386 10367
731,4013 20169 7153 15781 12721 19838 16866 11357 19589 14668
735,10496 6253 18728 11366 4364 11896 17096 2740 360 17631
737,4089 508 2989 10481 15038 7081 3256 519 12765 9886
740,2508 9003 4800 7544 16521 17200 5750 56 6408 12623
744,3001 15090 5463 19991 2980 14178 4765 16303 4058 15750
746,9253 3860 19462 658 2236 5474 5655 17563 14022 3624
774,8160 12633 18617 11196 8377 10684 11661 8360 7669 6494
788,15474 6103 10848 20263 2873 20197 18096 11226 411 8491
818,8640 6433 8437 6823 7224 10089 20163 519 13154 15942
859,6776 8045 7544 1253 12623 6408 5750 16708 8709 8466
914,19254 14178 5463 4765 394 1085 1149 19602 3996 7163
924,11196 5089 4106 18266 10684 18096 10567 894 17556 6494
925,2551 17663 6672 20232 12712 663 9473 10834 19969 4253
926,3189 14008 19431 15771 4514 7506 868 7163 3830 8866
927,7363 1979 16930 20007 20497 6492 8950 6577 11599 9314
949,19662 2873 12436 18096 8956 15578 4106 11638 17774 13216
957,4079 2783 4268 17971 17052 19464 4710 7914 15288 18111
961,3961 8047 9504 9473 17663 19969 13973 17241 11688 14147
988,8356 5186 15886 17200 15341 8001 8218 2159 18830 4615
994,7539 9175 20262 14774 13384 1329 17138 16351 2638 10019
1016,1944 4347 8356 15750 3698 371 4549 18830 13570 3445
1021,17383 12804 5700 15392 4443 1246 2863 8129 2915 15548
1027,6509 5965 17744 10916 2693 7344 8413 13711 7453 10511
1046,12599 3097 1020 4720 19008 3011 18446 2617 1231 8934
1057,7100 9963 19834 14091 2090 11417 17153 14012 9007 12802
1065,18956 8145 8426 10838 12499 344 16502 18287 3602 12466
1066,3622 7904 6466 11573 2897 7076 2853 7039 7700 7499
1087,1111 10591 16994 13029 2627 12639 37 6353 4910 15781
1092,19770 9579 14904 9804 14306 19466 19305 18743 2665 1641
1099,12510 10848 15900 8866 2151 10591 10269 20172 14322 16107
1103,3698 3001 4301 10089 4359 4954 1489 11157 8627 1023
1108,15312 12173 9060 9670 3413 17764 18289 2212 12295 3832
1115,4301 3424 7989 817 14360 9984 12715 3698 3001 16579
1120,6113 7133 18051 1813 7174 13105 10019 953 17357 16491
1126,14826 10496 5606 14309 868 4910 2497 20172 19662 7506
1129,4201 10316 7550 6915 17404 19024 14832 18377 19467 11016
1147,6197 2392 8297 12173 11654 15312 13238 15543 9060 14784
1163,7544 6868 8709 8466 12931 9257 18599 18404 14430 9231
1169,11882 12666 18361 14022 14471 14907 17586 4369 13406 20193
1174,15752 9465 12830 10932 11174 11045 9023 17776 6423 13363
1238,1111 3431 19317 8018 5606 5074 868 8145 4910 10848
1254,2780 8018 17568 80 7009 11070 2437 5100 19317 1719
1274,2674 13139 5606 541 2497 11107 20172 13542 17568 3885
1285,4346 8849 3876 8540 1588 5193 12668 16905 13624 10346
1302,1357 18763 1710 17166 14827 8838 17247 15092 7931 6285
1316,19733 3893 5482 20415 5661 15458 6078 7070 16944 4675
1319,3473 10698 9477 20056 19466 2755 19776 7100 3534 305
1341,18446 5890 5911 5359 15558 16973 12822 8749 2780 4052
1346,7516 4347 18830 8356 8725 11251 770 17042 8138 12197
1350,3242 9246 1271 20232 2551 12744 5355 17663 12395 13052
1353,573 13980 16612 18389 7092 778 5903 10264 6556 17538
1363,15771 14904 1372 12783 10848 16494 3996 15775 10861 5905
1371,16673 19339 1944 16303 4301 13803 5925 16457 9231 15775
1379,6569 2085 16128 17709 16477 18352 9083 4281 1933 18316
1383,9051 1056 19773 3700 17699 5273 456 4496 13787 15664
1390,4865 8169 8539 9508 15090 17200 8138 9963 14668 2964
1398,13906 8996 6695 4952 13041 2520 8164 10038 8466 7760
1404,5023 387 19075 6068 4745 5612 8614 394 3799 19770
1415,16630 12414 16199 1681 104 2084 13561 2811 7065 4323
1417,11227 17748 5700 18244 10446 12472 9216 18798 6313 820
1454,16583 12762 3453 20461 10466 2858 15837 9804 10691 9753
1456,18358 13251 18945 6444 4355 4433 12997 8021 16163 2144
1463,9060 9670 2186 12226 18057 2869 16861 17764 19205 4185
1481,1641 19305 4745 4058 18743 4026 9804 3551 5359 1020
1505,17550 15386 11774 3410 13003 16080 13518 14751 7750 10470
1519,1195 17568 4113 6015 14665 17786 18493 482 5997 15710
1524,14659 18231 9007 20461 17247 17947 13210 14046 7907 6230
1534,19205 8297 2392 12173 15543 18026 16585 3413 15312 11654
1542,214 20244 13908 17213 4298 19295 17396 9625 5473 7066
1545,19192 6667 3022 2423 14612 2993 2052 3650 2090 15269
1554,20172 411 8491 15771 14008 14826 4288 2497 10788 17584
1560,15312 9670 17764 18289 7323 3413 11654 2212 9961 352
1588,13129 9388 11715 4369 250 12666 3511 4774 3787 11571
1590,15328 1328 4811 2700 9365 14345 19385 5024 20197 5171
1601,16502 10848 8145 11943 14732 20172 7506 14826 15187 2919
1637,18599 6868 4199 6704 9231 7517 14430 8709 8045 6733
1639,18987 9093 9602 13886 20351 15386 3410 521 13734 19028
1661,6379 15053 2994 18578 11951 344 3264 5640 5167 3097
1673,405 8138 1502 17200 8356 9508 1944 4743 1898 1641
1679,7153 740 14247 6716 14190 4457 12908 226 15100 19838
1682,14360 1290 7989 2980 11157 18262 11753 10957 9778 12426
1692,12507 11157 1290 18262 6823 17984 579 11740 20372 308
1701,1066 5247 11407 3511 18490 1730 11413 7605 14797 19928
1703,10706 5100 15781 4026 3551 4202 10708 1111 11357 1133
1712,13034 20555 13006 17826 19576 19812 5669 20362 12010 20572
1713,1069 5112 15725 1899 13971 2436 20287 13823 10776 14173
1729,3001 7989 3698 6823 15750 17984 16673 14360 14662 9903
1730,5149 3961 18856 12071 9246 4672 9473 2918 9940 17414
1731,1329 1813 7539 10019 19396 8296 17138 11478 9175 2591
1734,14309 4057 6981 8229 13671 15088 11663 12999 18058 12963
1740,16585 3919 16861 18701 15312 2186 20121 19205 1048 5878
1742,14826 10848 11943 17346 17487 7506 1422 2957 4910 20172
1747,10237 6780 3377 8296 18504 17102 17321 8486 1471 836
1755,6892 14668 11233 18617 11196 1724 15779 19844 13250 14097
1766,10848 20263 2272 4401 15474 5572 2873 20197 6103 411
1807,13216 797 14826 12436 8491 15771 17984 2497 3830 1111
1814,17383 15548 17748 15392 17345 15667 12804 15503 10446 11231
1820,5817 9229 18040 16008 3855 3950 12066 13862 19890 1247
1852,14360 1710 11740 7131 3304 16083 16297 7989 20120 13129
1854,2997 10848 20172 5141 11943 16494 8539 18428 4910 4514
1871,19711 10511 10916 5965 13354 17315 17534 12536 12576 9815
1880,125 9118 6799 14007 4376 12718 19536 4267 16436 16800
1881,2581 13402 8540 16433 3876 4346 1588 12668 5193 16905
1883,15410 12622 4998 2518 7463 13731 3410 222 316 13202
1885,10706 1587 15781 4202 4026 17346 5359 14378 18332 3790
1898,6985 18615 6409 18254 1012 4710 14213 13592 7739 13043
1904,11496 18743 8539 15498 4743 12311 8169 19075 956 3375
1907,13980 6253 15578 16471 8956 18728 2740 3885 6892 18381
1912,16820 12639 1719 17918 18503 10636 7728 8767 9941 9974
1916,1944 11916 18644 18830 8356 10434 19814 15778 17056 14134
1927,8018 15373 8798 6937 1895 14367 5576 6464 18982 19163
1953,19462 16708 1300 12931 3624 1365 5474 11882 1060 18404
1958,6408 15050 12931 9257 1322 12623 9003 1828 5746 3410
1959,8356 8169 12075 9231 16457 16521 17820 17200 1476 56
1963,3885 13980 6253 13139 8956 16760 17239 11206 4364 14395
1967,6092 15949 13370 13735 2608 4309 6054 18100 11837 11530
1978,17764 9670 3413 6 3919 15312 9961 10694 12295 19205
1979,9202 20532 13154 7889 1023 12507 6433 16144 17535 8437
1986,11157 1290 18262 11740 3304 5722 13119 6823 1489 11715
2005,16601 12510 797 7153 10591 4910 10269 15542 19838 8866
2014,723 12718 19699 13452 4807 2984 1482 4266 2317 18627
2015,13622 8112 9508 11282 7000 11029 8539 14904 9804 4865
2022,13593 8342 8033 4704 20444 333 8618 1779 12196 3272
2042,4013 3790 6716 11357 16820 19838 5100 12162 12639 16601
2061,4986 10654 975 7578 8426 3602 18956 5765 5551 12499
2068,17034 4057 6981 2740 3190 11405 4259 18855 11490 16471
2070,5020 16756 8437 6971 7989 6433 12507 10833 11715 15942
2080,2151 6823 19602 15900 797 15542 10591 19214 7882 3164
