playlist_id,track_ids
7,17154 4492 20443 5924 14765 8749 10100 4052 13542 15779
25,4202 699 1900 800 7077 19134 5620 18567 1111 16866
29,8001 2159 15341 3903 15886 12075 1944 18361 9231 56
34,6285 14751 1850 19540 20306 15386 6581 1357 5746 7517
50,20287 17429 15354 19166 12963 20037 11896 13763 6189 15954
52,9441 8456 14827 8838 16293 19173 17247 1935 18254 1434
60,4111 18904 4916 17192 10201 1898 13862 559 18669 14867
64,10089 5604 15038 12507 5726 9717 12765 8437 4014 2203
77,7478 1461 13542 15498 1698 13424 362 17154 19590 17129
80,14683 18026 9670 16391 10203 15335 7323 3919 3413 12226
106,15474 6103 20263 1591 11275 2873 12436 10567 18096 20295
138,19825 18856 17663 18824 5149 5882 11451 5651 15322 9473
143,20172 8491 868 4401 7506 14826 10251 14732 14277 1149
149,4364 19783 15570 13980 12182 5978 10496 14758 11107 360
169,7157 19858 18615 4710 6901 14213 11268 2253 13043 18254
180,6433 17515 14453 436 2088 2402 20571 7400 14322 9034
210,19305 14904 16583 394 2006 18743 387 8112 10977 16486
231,508 1687 8640 17200 6695 1149 2989 15931 10481 15771
241,5359 4026 1641 4058 10706 18421 3788 7163 5786 15090
244,15209 13237 17096 360 18728 15578 14395 16760 3190 13782
256,8356 1060 19462 6606 18404 14907 7256 16708 5655 3600
258,11366 4364 6253 14591 14395 360 15209 15578 1746 6556
265,8155 11200 16009 13032 14180 5664 20591 14066 11243 3067
268,5817 3855 4743 14149 3750 56 18249 11759 9231 405
271,19466 14306 394 8342 19305 8033 5023 19075 10691 6788
272,12712 6672 15988 2551 18425 15098 3961 1271 8731 2859
275,11107 13237 17239 14591 10264 2674 360 13980 6253 15578
277,7224 16673 8640 10481 11715 6971 14659 1023 20163 4301
290,14907 10957 13406 11715 2508 18404 19462 1944 4148 507
310,8749 6557 16451 20443 12164 4603 9676 19243 7811 13259
326,17034 20169 9941 10636 12639 16820 18074 1069 2912 7475
365,8437 14659 20461 16433 13129 12765 20135 13212 13402 7989
392,6933 17786 11070 15710 13959 18493 18440 2272 10496 5997
407,10659 7550 5818 18418 17404 3880 16338 14490 18899 9528
413,15781 15090 37 18399 1641 5564 1714 2164 7545 20135
422,8640 4089 2489 1180 3256 508 4433 13297 10259 2922
432,16930 520 3944 8950 6577 8498 17359 14213 6492 20077
455,13276 11016 4072 5527 2807 4201 395 12225 13573 6915
470,5606 7506 12510 2997 648 14826 868 15204 8866 20172
492,8749 5924 19662 15360 11233 20242 1063 12311 15471 961
495,18743 9508 9963 17200 11074 17820 14154 8749 1502 5679
497,2117 550 17157 13034 4069 457 15907 15926 13990 20134
505,1898 9229 3855 18040 7197 14149 16008 10975 559 14790
509,5606 16820 8767 2437 8953 2997 1196 7506 9941 14023
514,17972 2740 17096 1494 15670 8481 9061 14591 5928 3190
529,1111 7506 20172 8491 11943 13785 16494 17584 11369 5141
532,797 2417 19858 7321 4710 5147 14375 18254 6489 8796
537,20145 12879 3875 6246 5658 20373 19956 15093 1730 8926
545,16465 18285 6925 1830 20371 6367 4526 7436 18547 5674
564,11882 13310 11930 15722 15432 6223 1513 7624 2359 13876
567,10316 4072 2631 10561 12225 2719 4201 15974 18751 7844
580,10848 20172 648 5606 4949 411 7506 1149 10251 4401
582,17634 15498 4909 14597 8358 5679 358 11496 14714 7460
592,16708 8709 9257 4743 15050 19340 2508 17586 18275 16521
611,12426 19991 2980 16433 1290 17984 9778 7085 17524 15542
615,10081 913 11016 1039 10870 4201 10316 16336 9242 14558
619,6577 13129 11715 3565 10201 9784 18303 2166 3685 3001
622,6093 624 11283 18876 11148 6985 9051 11414 9429 9307
625,19858 7157 1012 18254 2253 18615 14213 1374 14375 13043
631,11938 16274 19494 5987 17301 2160 1385 6530 16482 11835
633,13980 6892 14591 14758 18728 15578 6253 14395 3190 3245
636,12173 9670 6 17764 3832 2212 15633 10694 3919 865
642,9710 1534 9291 17918 13006 3073 16820 5881 11474 13237
646,3403 5846 14994 18899 1144 10636 15495 13439 1085 229
676,573 3885 18649 9712 541 10250 778 2674 9624 5576
683,4720 699 1020 16486 14178 7153 5534 5524 3491 2006
686,11654 18289 2212 3212 9961 14679 4255 19654 18026 16585
704,3830 2497 411 14826 14008 16502 10251 15771 2579 11369
709,17663 10834 9834 1992 19154 12897 9246 14147 18856 5149
714,11756 368 7193 19929 11740 3304 20359 5099 9957 15942
719,12919 2680 5054 4926 10222 16274 10910 19494 11870 19060
721,573 7619 2037 13101 6253 360 9624 10264 11032 13139
724,17550 3410 19486 16080 20213 10992 15386 10367 5746 5003
731,4013 20169 12721 7153 19838 15781 11357 1020 14668 797
735,6253 10496 18728 4364 11366 17096 360 18381 2740 11896
737,4089 508 2989 10481 15038 5020 3256 7081 519 9886
740,2508 9003 7544 4800 56 5750 12623 16521 6408 12075
744,3001 19991 5463 15090 15775 4058 14178 4026 19602 1372
746,9253 3860 19462 658 5474 5655 2236 17563 14022 1322
774,8160 12633 11196 8377 18617 10684 1724 11661 2891 7669
