playlist_id,track_ids
7,17154 5924 8749 20443 14765 13542 4492 10100 4603 11233
25,4202 699 7545 16866 7077 1900 19134 800 3788 10839
29,8001 2159 15341 3903 15886 12075 1944 2508 18361 5186
34,6285 14751 1850 1357 20306 6951 9803 15386 6581 5338
50,20287 20037 12963 11896 15354 19166 13763 17429 17034 6189
52,9441 8838 14827 19173 8456 1935 1357 18254 16293 6577
60,4111 17192 18904 4916 10201 18995 1551 18475 14867 7701
64,15038 10089 5604 12507 12051 3924 12765 12753 14128 8437
77,1461 7478 11641 15498 13542 18119 3417 9346 14524 7868
80,14683 18026 16391 10203 9670 3919 15335 19205 7323 3413
106,15474 6103 20263 1591 18096 2873 20295 11275 10567 2497
138,19825 18856 18824 5149 17663 15322 11451 5882 5651 6137
143,20172 8491 4401 7506 868 14826 10251 14277 1149 14732
149,4364 13980 15570 19783 10496 14758 12182 11107 5978 17239
169,7157 19858 18615 4710 14213 18254 13043 6901 6409 11268
180,6433 17515 9034 20571 14453 7400 11155 436 6971 17420
210,19305 14904 16583 394 2006 18743 19075 4745 8112 5751
231,1687 508 8640 15931 2897 2989 1149 10513 10720 15771
241,1641 4026 10706 5359 18421 4058 15090 7163 7545 3788
244,15209 17096 13237 15578 18728 360 14395 10264 13782 3190
256,8356 1060 6606 14907 19462 7256 19340 18830 18404 16708
258,6253 11366 14591 4364 14395 360 15578 15209 18381 10264
265,8155 11200 16009 13032 20591 14180 5664 11243 3067 3169
268,3855 5817 4743 14149 3750 56 11759 18249 9231 10975
271,14306 19075 394 19466 8342 5023 19305 10691 8033 16583
272,12712 6672 15988 2551 15098 3961 18425 8731 7961 1271
275,11107 17239 13237 10264 2674 14591 360 6253 15578 13980
277,16673 10481 7224 8640 4301 6971 1023 20163 11715 3001
290,14907 13406 10957 18404 19462 2508 12931 4148 11715 4774
310,8749 20443 16451 12164 6557 7811 4603 9676 19243 2765
326,17034 20169 9941 16820 12639 10636 8304 18074 2912 1069
365,8437 12765 14659 20461 20135 16433 10055 13129 13212 6732
392,17786 6933 11070 18493 13139 13959 2674 5997 15710 3885
407,5818 14490 7550 10659 17404 5527 3880 2821 18418 9528
413,1714 15781 15090 37 10691 9463 4058 20135 1641 5564
422,8640 3256 4089 508 2922 2489 4433 9864 10259 13661
432,16930 520 3944 8950 6577 8498 6492 14213 15967 19152
455,13276 11016 4072 2807 4201 5527 395 13573 6915 14718
470,5606 7506 12510 14826 648 868 2997 8866 20172 10848
492,8749 1063 12311 5924 20242 956 11233 14714 15471 14765
495,9963 18743 9508 17200 8749 11074 17820 14668 4148 14154
497,2117 550 17157 11101 541 15926 13034 7009 12425 457
505,1898 9229 3855 18040 7197 14149 16008 10975 6453 14289
509,5606 8767 16820 2437 2997 7506 8822 9941 12510 14826
514,2740 17096 17972 1494 14591 9061 6253 1260 5928 3190
529,1111 7506 20172 8491 11943 411 17584 4910 16494 8145
532,2417 797 19858 14204 14375 7475 14213 18254 8796 3630
537,20145 12879 15093 19956 6246 20373 19067 3875 5658 8926
545,16465 18285 1830 6925 20371 4526 6367 7436 19352 5674
564,13310 11882 11930 15432 7624 13876 15722 10777 1513 16276
567,10316 4072 10561 4201 2631 2719 15974 7844 12225 18751
580,10848 20172 648 5606 411 7506 4949 1149 10251 4401
582,17634 15498 4909 14597 8358 14714 5679 7460 358 11496
592,16708 2508 8709 9257 4743 9003 19340 18275 18404 18669
611,1290 16433 2980 12426 19991 17984 3698 9778 4301 11157
615,10081 913 1039 11016 4201 14558 10870 10316 8498 1014
619,6577 9784 11715 3565 10201 18303 2166 13129 13089 13243
622,6093 11283 18876 624 11148 9429 9982 19773 16311 11414
625,19858 7157 18254 18615 1012 14213 14375 11635 13043 1374
631,11938 5987 19494 16274 17301 2160 3990 6530 16482 5228
633,13980 6892 14591 18728 15578 14758 6253 14395 3190 3245
636,12173 9670 6 17764 3832 2212 10694 15633 19292 3919
642,9710 16820 13006 5881 1534 17918 9291 13237 5100 11474
646,3403 5846 18899 1144 14994 10636 15495 1085 13439 2317
676,573 18649 3885 541 9712 2674 10250 9624 10264 778
