playlist_id,track_ids
7,17154 5924 8749 20443 14765 13542 4492 4603 10100 12311
25,4202 699 7545 16866 7077 1900 800 10839 19134 3788
29,8001 2159 15341 3903 15886 12075 2508 5186 1944 18361
34,6285 14751 20306 1357 1850 6951 9803 15386 6581 7517
50,20287 20037 17429 12963 11896 19166 13763 15354 17034 12425
52,9441 8838 8456 19173 14827 1935 1357 18254 6577 1434
60,4111 17192 18904 4916 10201 1551 7701 18475 18995 559
64,15038 5604 10089 12507 12051 3924 9909 12765 12753 14128
77,1461 7478 15498 9346 11641 13542 14524 18119 3417 16536
80,14683 18026 16391 10203 9670 3919 15335 19205 7323 3413
106,15474 6103 20263 1591 18096 2873 11275 20295 2497 17984
138,19825 18856 18824 5149 17663 15322 11451 5882 5651 6137
143,20172 8491 4401 7506 868 14826 14277 10251 1149 14732
149,4364 15570 13980 19783 10496 14758 5978 11107 12182 11896
169,7157 19858 18615 4710 14213 18254 2253 13043 6901 11268
180,6433 17515 20571 9034 14453 6971 436 11155 7400 17420
210,19305 14904 16583 394 2006 18743 4745 19075 8112 387
231,1687 508 8640 2897 15931 2989 1149 10513 16325 10720
241,4026 1641 5359 10706 18421 4058 15090 7545 7163 3788
244,15209 17096 13237 15578 18728 360 14395 13782 10264 3190
256,8356 6606 1060 14907 7256 19462 18404 19340 18830 16708
258,11366 6253 4364 14591 14395 360 15578 15209 18381 10264
265,8155 11200 16009 13032 20591 14180 5664 3067 11243 3169
268,3855 5817 4743 14149 3750 56 11759 18249 9231 10975
271,14306 19075 394 19466 5023 8342 19305 10691 8033 16583
272,12712 6672 15988 2551 15098 18425 3961 7961 8731 1271
275,11107 17239 10264 13237 2674 14591 6253 360 15578 13980
277,16673 7224 10481 8640 4301 6971 1023 11715 3001 14659
290,14907 10957 2508 13406 18404 19462 12931 11715 4148 4774
310,8749 20443 12164 16451 6557 7811 4603 9676 2765 19243
326,17034 9941 20169 12639 16820 10636 8304 18074 2912 3811
365,8437 12765 20461 14659 20135 16433 10055 13212 13129 6732
392,17786 18493 6933 13959 5997 11070 2674 15710 13139 11107
407,5818 14490 7550 17404 10659 5527 18418 2719 2821 3880
413,1714 15781 15090 20135 10691 37 4058 9463 1641 5564
422,8640 3256 4089 508 2922 2489 4433 1180 10259 9864
432,16930 520 3944 8950 6577 8498 6492 14213 19152 15967
