playlist_id,track_ids
7,17154 8749 5924 14765 15935 13542 10100 20443 4603 4189
25,4202 699 7545 16866 7077 3788 1900 2018 19134 1422
29,8001 2159 15341 3903 15886 1944 5186 2508 12075 18361
34,6285 14751 1850 1357 9803 20076 6951 7311 15386 6581
50,20037 20287 17429 13368 12718 13763 17034 17926 12425 11896
52,8838 9441 19173 8456 1357 18254 14827 1935 6577 18963
60,4111 18904 4916 17192 18669 14867 18995 13940 14289 1551
64,15038 10089 12507 5604 12765 2203 8437 9717 5726 15547
77,1461 18119 3417 11641 13188 9346 14524 1442 5851 7868
80,14683 18026 9670 3919 16391 10203 15335 19205 7323 11654
106,15474 6103 1591 11275 20295 17984 18096 20263 2497 10848
138,19825 18856 18824 5149 17663 11451 5651 6137 10834 15322
143,20172 8491 4401 7506 868 14277 10251 14826 5606 14732
149,13980 14758 4364 10496 19783 15570 11896 3347 18401 5978
169,19858 7157 18615 4710 14213 18254 14375 6409 7739 6985
180,17515 6433 436 17420 20571 9034 7400 14453 2402 11155
210,14904 19305 16583 394 2006 18743 4745 19075 8112 5751
231,508 8640 13737 10481 15931 8348 1149 1687 2989 2922
241,1641 4026 10706 5359 4058 15090 18421 7163 7545 3788
244,15209 17096 15578 13237 18728 360 10264 14395 13782 4364
256,8356 1060 7256 19462 14907 18830 12550 18404 15778 16708
258,11366 6253 14395 4364 14591 360 15209 18381 15578 6556
265,8155 11200 16009 13032 20591 14180 11243 5664 3067 3169
268,5817 3855 4743 14149 3750 11759 18249 56 10975 4023
271,19075 19466 394 8342 5023 19305 14306 8033 16583 10691
272,12712 15098 18425 6672 2551 15988 8731 3961 20232 1271
275,11107 17239 2674 10264 13237 14591 6253 10250 360 15578
277,10481 16673 7224 8640 15942 4301 11715 1023 6971 20163
290,14907 13406 11715 18404 12931 19462 2508 10957 4148 4774
310,8749 12164 20443 16451 7811 4603 6557 2765 9676 15498
326,17034 9941 16820 8304 12639 20169 19431 16905 10636 2912
365,8437 12765 20461 14659 10055 20135 6732 13129 16433 13435
392,6933 17786 18493 15710 13959 14665 2674 5997 4113 15713
407,7550 17404 5527 2719 2920 10659 14490 18899 9528 18377
413,15781 15090 37 5564 4058 1714 7545 10269 18399 1641
422,8640 3256 4433 2489 4089 2922 508 9864 13297 1180
