playlist_id,track_ids
7,17154 5924 8749 14765 20443 4492 13542 10100 4603 15935
25,4202 699 7545 7077 1900 16866 19134 3788 2018 1111
29,8001 2159 15341 3903 15886 12075 5186 1944 2508 18361
34,6285 1357 14751 1850 20306 9803 6581 6951 15386 7517
50,20287 20037 12963 15354 19166 11896 17429 13763 6189 17034
52,9441 8838 19173 14827 8456 1935 1357 18254 16293 1434
60,4111 18904 4916 17192 14867 1551 18995 10201 1898 18669
64,10089 5604 15038 12507 12765 8437 9717 5726 12051 3924
77,1461 7478 11641 3417 15498 18119 14524 13542 9346 19590
80,14683 18026 9670 16391 10203 3919 15335 19205 7323 12226
106,15474 6103 20263 1591 18096 20295 11275 2873 10567 17984
138,19825 18856 18824 17663 5149 11451 5651 15322 5882 10834
143,20172 8491 4401 868 7506 14826 10251 14277 1149 5606
149,4364 19783 13980 15570 10496 12182 14758 5978 11107 17239
169,7157 19858 18615 4710 14213 18254 6409 6901 11268 13043
180,6433 17515 9034 20571 436 7400 14453 11155 13165 17420
210,19305 14904 16583 394 2006 18743 19075 4745 8112 5751
231,1687 508 8640 2897 15931 1149 2989 10481 10720 15771
241,4026 1641 5359 10706 18421 4058 15090 7545 7163 3788
244,15209 17096 13237 15578 18728 360 14395 3190 13782 10264
256,8356 1060 7256 6606 14907 19462 18404 18830 19340 16708
258,6253 11366 14591 4364 14395 360 15578 15209 18381 10264
265,8155 11200 16009 13032 20591 14180 5664 11243 3067 3169
268,3855 5817 4743 14149 3750 56 18249 11759 9231 10975
271,14306 19075 394 19466 5023 8342 19305 10691 8033 16583
272,12712 6672 15988 2551 15098 18425 3961 8731 1271 7961
275,11107 17239 13237 10264 2674 14591 360 6253 15578 13980
277,16673 10481 7224 8640 6971 4301 1023 20163 14659 11715
290,14907 13406 10957 2508 18404 12931 19462 4148 11715 507
310,8749 20443 16451 12164 6557 4603 9676 7811 19243 2765
326,17034 20169 9941 16820 12639 10636 18074 1069 2912 8304
365,8437 12765 14659 20461 20135 16433 10055 13129 13212 8540
392,17786 6933 18493 13959 5997 11070 13139 15710 2674 14665
407,17404 7550 10659 14490 5818 3880 18418 9528 5527 2719
413,15781 15090 1714 37 1641 4058 10691 5564 20135 20169
422,8640 4089 3256 508 2922 2489 1180 4433 10259 13297
432,16930 520 3944 8950 6577 8498 6492 14213 19152 19058
455,13276 11016 4072 2807 5527 395 4201 13573 6915 8781
470,5606 12510 7506 14826 648 2997 868 8866 20172 10848
492,8749 1063 5924 20242 12311 956 11233 15360 15471 14765
