BayesianSearch: New best config found. Config: {'top1': 230, 'normalize_similarity': True, 'alphaRP3': 1.4832244488977957, 'betaRP': 0.15322845691382767} - MAP results: 0.021591558881823795 - time: 2018-12-14 22:25:28.116957
BayesianSearch: Config is suboptimal. Config: {'top1': 770, 'normalize_similarity': False, 'alphaRP3': 0.5297935871743488, 'betaRP': 0.6019018036072145} - MAP results: 0.016307881611120765 - time: 2018-12-14 22:26:36.381733
BayesianSearch: Config is suboptimal. Config: {'top1': 430, 'normalize_similarity': True, 'alphaRP3': 0.2694028056112225, 'betaRP': 1.4031042084168337} - MAP results: 0.0027752910060152066 - time: 2018-12-14 22:27:37.871006
BayesianSearch: Config is suboptimal. Config: {'top1': 120, 'normalize_similarity': True, 'alphaRP3': 1.4832244488977957, 'betaRP': 1.0746112224448898} - MAP results: 0.005572474058608091 - time: 2018-12-14 22:28:30.667529
BayesianSearch: Config is suboptimal. Config: {'top1': 395, 'normalize_similarity': True, 'alphaRP3': 1.0946412825651302, 'betaRP': 1.7956933867735472} - MAP results: 0.002012088655087274 - time: 2018-12-14 22:29:31.750944
BayesianSearch: Config is suboptimal. Config: {'top1': 465, 'normalize_similarity': False, 'alphaRP3': 1.7516272545090181, 'betaRP': 1.623434869739479} - MAP results: 0.002571450245693021 - time: 2018-12-14 22:30:33.863926
BayesianSearch: Config is suboptimal. Config: {'top1': 725, 'normalize_similarity': False, 'alphaRP3': 0.2253366733466934, 'betaRP': 0.4777154308617235} - MAP results: 0.01983100461070423 - time: 2018-12-14 22:31:38.311494
BayesianSearch: Config is suboptimal. Config: {'top1': 80, 'normalize_similarity': True, 'alphaRP3': 1.6474709418837676, 'betaRP': 0.7421122244488979} - MAP results: 0.01090730080476306 - time: 2018-12-14 22:32:28.128976
BayesianSearch: Config is suboptimal. Config: {'top1': 790, 'normalize_similarity': False, 'alphaRP3': 0.01301803607214429, 'betaRP': 0.005006012024048097} - MAP results: 0.019270788760527194 - time: 2018-12-14 22:33:42.782707
BayesianSearch: New best config found. Config: {'top1': 10, 'normalize_similarity': True, 'alphaRP3': 0.10115030060120242, 'betaRP': 0.01301803607214429} - MAP results: 0.02193102724004223 - time: 2018-12-14 22:34:38.337040
BayesianSearch: Config is suboptimal. Config: {'top1': 35, 'normalize_similarity': True, 'alphaRP3': 2.0, 'betaRP': 0.029042084168336677} - MAP results: 0.020166074760778092 - time: 2018-12-14 22:35:39.712044
BayesianSearch: New best config found. Config: {'top1': 15, 'normalize_similarity': False, 'alphaRP3': 0.8943406813627256, 'betaRP': 0.001} - MAP results: 0.022957025639808903 - time: 2018-12-14 22:36:38.096388
BayesianSearch: Config is suboptimal. Config: {'top1': 765, 'normalize_similarity': False, 'alphaRP3': 1.9839759519038078, 'betaRP': 0.009012024048096194} - MAP results: 0.01906859323901093 - time: 2018-12-14 22:37:53.941868
