BayesianSearch: New best config found. Config: {'top1': 721, 'lambda_i': 0.4151566351461877, 'lambda_j': 0.7876427945130493} - MAP results: 0.02199722526774445 - time: 2018-12-14 23:30:03.548856
BayesianSearch: Config is suboptimal. Config: {'top1': 511, 'lambda_i': 0.1254514030999787, 'lambda_j': 0.5940933802162401} - MAP results: 0.021522645836752657 - time: 2018-12-14 23:37:13.596866
BayesianSearch: New best config found. Config: {'top1': 651, 'lambda_i': 0.469736472769021, 'lambda_j': 0.6011090571979808} - MAP results: 0.022098667374422454 - time: 2018-12-14 23:47:13.351103
BayesianSearch: New best config found. Config: {'top1': 281, 'lambda_i': 0.6159894030587588, 'lambda_j': 0.7093680635654898} - MAP results: 0.02238154232837191 - time: 2018-12-14 23:56:00.823270
BayesianSearch: New best config found. Config: {'top1': 131, 'lambda_i': 0.6892356201296567, 'lambda_j': 0.35586838378889707} - MAP results: 0.02262832221205144 - time: 2018-12-15 00:03:41.381925
BayesianSearch: Config is suboptimal. Config: {'top1': 21, 'lambda_i': 0.49271255352616306, 'lambda_j': 0.5939742742929915} - MAP results: 0.022353241624392946 - time: 2018-12-15 00:11:44.390296
BayesianSearch: Config is suboptimal. Config: {'top1': 11, 'lambda_i': 0.3531897756715504, 'lambda_j': 0.2945881169203829} - MAP results: 0.021716929733564164 - time: 2018-12-15 00:21:02.880400
BayesianSearch: Config is suboptimal. Config: {'top1': 211, 'lambda_i': 0.7092471585420875, 'lambda_j': 0.12432689200081537} - MAP results: 0.02242932311855846 - time: 2018-12-15 00:27:48.025681
BayesianSearch: Config is suboptimal. Config: {'top1': 501, 'lambda_i': 0.9945263064873435, 'lambda_j': 0.954095270625531} - MAP results: 0.022061986998497967 - time: 2018-12-15 00:33:32.508355
BayesianSearch: Config is suboptimal. Config: {'top1': 791, 'lambda_i': 0.9118705185984495, 'lambda_j': 4.566440957054496e-05} - MAP results: 0.022236110611036586 - time: 2018-12-15 00:40:16.223384
BayesianSearch: New best config found. Config: {'top1': 621, 'lambda_i': 0.8015587173629624, 'lambda_j': 0.21957175004487728, 'shrink1': -1} - MAP results: 0.022181867625512074 - time: 2018-12-15 11:05:20.973974
BayesianSearch: New best config found. Config: {'top1': 31, 'lambda_i': 0.6773395222840383, 'lambda_j': 0.8081194436018146, 'shrink1': -1} - MAP results: 0.022283768661343805 - time: 2018-12-15 11:08:01.697623
BayesianSearch: Config is suboptimal. Config: {'top1': 731, 'lambda_i': 0.21155395700261914, 'lambda_j': 0.5151976699548999, 'shrink1': -1} - MAP results: 0.021789031895956656 - time: 2018-12-15 11:11:08.526801
BayesianSearch: Config is suboptimal. Config: {'top1': 481, 'lambda_i': 0.32686648095887094, 'lambda_j': 0.49905952988267865, 'shrink1': -1} - MAP results: 0.022043571527787197 - time: 2018-12-15 11:14:14.081171
BayesianSearch: New best config found. Config: {'top1': 131, 'lambda_i': 0.8026022135726315, 'lambda_j': 0.7368567233758788, 'shrink1': -1} - MAP results: 0.02247295561922247 - time: 2018-12-15 11:17:07.192211
BayesianSearch: Config is suboptimal. Config: {'top1': 751, 'lambda_i': 0.7620953165266922, 'lambda_j': 0.027999359577316585, 'shrink1': -1} - MAP results: 0.022130154817091477 - time: 2018-12-15 11:20:11.883279
BayesianSearch: Config is suboptimal. Config: {'top1': 581, 'lambda_i': 0.35089555469351574, 'lambda_j': 0.6255253090653408, 'shrink1': -1} - MAP results: 0.022075350852257255 - time: 2018-12-15 11:23:38.079533
BayesianSearch: Config is suboptimal. Config: {'top1': 271, 'lambda_i': 0.30727949364908236, 'lambda_j': 0.5951381535130618, 'shrink1': -1} - MAP results: 0.022285504338089304 - time: 2018-12-15 11:26:44.826915
BayesianSearch: Config is suboptimal. Config: {'top1': 771, 'lambda_i': 0.9990114943863344, 'lambda_j': 0.9520090705477355, 'shrink1': -1} - MAP results: 0.02194692390550509 - time: 2018-12-15 11:30:02.187056
BayesianSearch: Config is suboptimal. Config: {'top1': 111, 'lambda_i': 0.02949046671746569, 'lambda_j': 0.4256187469459035, 'shrink1': -1} - MAP results: 0.021930272218098224 - time: 2018-12-15 11:33:00.643666
