BayesianSearch: Testing config: {'top1': 350, 'shrink1': -1, 'alphaP3': 0.790184368737475} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Testing config: {'top1': 570, 'shrink1': -1, 'alphaP3': 1.9799699398797597} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Testing config: {'top1': 400, 'shrink1': -1, 'alphaP3': 1.8958436873747495} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Testing config: {'top1': 310, 'shrink1': -1, 'alphaP3': 1.1547314629258518} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Testing config: {'top1': 120, 'shrink1': -1, 'alphaP3': 0.4656973947895792} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Testing config: {'top1': 150, 'shrink1': -1, 'alphaP3': 1.1587374749498998} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Testing config: {'top1': 580, 'shrink1': -1, 'alphaP3': 1.9359038076152306} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Testing config: {'top1': 340, 'shrink1': -1, 'alphaP3': 1.1547314629258518} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: New best config found. Config: {'top1': 370, 'shrink1': -1, 'alphaP3': 1.5513266533066132} - MAP results: 0.04819468952776524 - time: 2018-12-14 20:40:41.229043
BayesianSearch: New best config found. Config: {'top1': 200, 'shrink1': -1, 'alphaP3': 0.790184368737475} - MAP results: 0.05027900300396369 - time: 2018-12-14 20:41:16.611452
BayesianSearch: Config is suboptimal. Config: {'top1': 120, 'shrink1': -1, 'alphaP3': 1.6915370741482967} - MAP results: 0.050157846740634074 - time: 2018-12-14 20:41:50.610140
BayesianSearch: Config is suboptimal. Config: {'top1': 180, 'shrink1': -1, 'alphaP3': 0.2293426853707415} - MAP results: 0.049139862140590775 - time: 2018-12-14 20:42:25.489618
BayesianSearch: Config is suboptimal. Config: {'top1': 190, 'shrink1': -1, 'alphaP3': 1.703555110220441} - MAP results: 0.04933642754450932 - time: 2018-12-14 20:43:04.567154
BayesianSearch: Config is suboptimal. Config: {'top1': 430, 'shrink1': -1, 'alphaP3': 1.8758136272545092} - MAP results: 0.046338758126341875 - time: 2018-12-14 20:43:43.655748
BayesianSearch: Config is suboptimal. Config: {'top1': 450, 'shrink1': -1, 'alphaP3': 0.20530661322645294} - MAP results: 0.045910079545730696 - time: 2018-12-14 20:44:22.596820
BayesianSearch: New best config found. Config: {'top1': 40, 'shrink1': -1, 'alphaP3': 1.3069599198396793} - MAP results: 0.05195789907327284 - time: 2018-12-14 20:45:01.971114
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 0.9103647294589179} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 20:45:42.863099
BayesianSearch: New best config found. Config: {'top1': 50, 'shrink1': -1, 'alphaP3': 0.1331983967935872} - MAP results: 0.05208499518197967 - time: 2018-12-14 20:47:37.383102
BayesianSearch: Config is suboptimal. Config: {'top1': 150, 'shrink1': -1, 'alphaP3': 1.4631943887775551} - MAP results: 0.05078096339520266 - time: 2018-12-14 20:48:18.000319
BayesianSearch: Config is suboptimal. Config: {'top1': 190, 'shrink1': -1, 'alphaP3': 0.8222324649298598} - MAP results: 0.05043513830679264 - time: 2018-12-14 20:49:01.602942
BayesianSearch: Config is suboptimal. Config: {'top1': 250, 'shrink1': -1, 'alphaP3': 1.9278917835671343} - MAP results: 0.04716678494832939 - time: 2018-12-14 20:49:47.132151
BayesianSearch: Config is suboptimal. Config: {'top1': 180, 'shrink1': -1, 'alphaP3': 0.7300941883767536} - MAP results: 0.05044833735136073 - time: 2018-12-14 20:50:34.881416
BayesianSearch: Config is suboptimal. Config: {'top1': 20, 'shrink1': -1, 'alphaP3': 1.3670501002004007} - MAP results: 0.04951962611981893 - time: 2018-12-14 20:51:14.765462
BayesianSearch: Config is suboptimal. Config: {'top1': 560, 'shrink1': -1, 'alphaP3': 1.8918376753507016} - MAP results: 0.045573542229566014 - time: 2018-12-14 20:52:12.402663
BayesianSearch: Config is suboptimal. Config: {'top1': 380, 'shrink1': -1, 'alphaP3': 0.4616913827655311} - MAP results: 0.04722206350944477 - time: 2018-12-14 20:53:05.218699
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 0.001} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 20:53:55.323550
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 0.3855771543086173} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 20:54:42.224754
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 0.001} - MAP results: 0.044196662345324225 - time: 2018-12-14 20:55:43.368747
