BayesianSearch: New best config found. Config: {'top1': 410, 'sgd_mode': 'adagrad', 'lambda_i': 0.24801506103892657, 'lambda_j': 0.8528959335205327} - MAP results: 0.048489192305991594 - time: 2018-12-14 21:24:16.179333
BayesianSearch: Config is suboptimal. Config: {'top1': 490, 'sgd_mode': 'adagrad', 'lambda_i': 0.5102151322720178, 'lambda_j': 0.8070228952131243} - MAP results: 0.04788396707716431 - time: 2018-12-14 21:26:56.604140
BayesianSearch: Config is suboptimal. Config: {'top1': 410, 'sgd_mode': 'adagrad', 'lambda_i': 0.01808782980381296, 'lambda_j': 0.2174609776943508} - MAP results: 0.045998470257797776 - time: 2018-12-14 21:29:37.745622
BayesianSearch: Config is suboptimal. Config: {'top1': 350, 'sgd_mode': 'adagrad', 'lambda_i': 0.6821195910320823, 'lambda_j': 0.6111750939945471} - MAP results: 0.046797647757888215 - time: 2018-12-14 21:32:10.062537
BayesianSearch: New best config found. Config: {'top1': 290, 'sgd_mode': 'adagrad', 'lambda_i': 0.21830913494129978, 'lambda_j': 0.6874107058863184} - MAP results: 0.0487620829857039 - time: 2018-12-14 21:34:51.301864
BayesianSearch: Config is suboptimal. Config: {'top1': 340, 'sgd_mode': 'adagrad', 'lambda_i': 0.9061597823641716, 'lambda_j': 0.8752956352500514} - MAP results: 0.04458596417461927 - time: 2018-12-14 21:37:27.423793
BayesianSearch: Config is suboptimal. Config: {'top1': 100, 'sgd_mode': 'adagrad', 'lambda_i': 0.053788301356430535, 'lambda_j': 0.6147728301638322} - MAP results: 0.04801703008896166 - time: 2018-12-14 21:39:56.559112
BayesianSearch: Config is suboptimal. Config: {'top1': 130, 'sgd_mode': 'adagrad', 'lambda_i': 0.9181012198607736, 'lambda_j': 0.428828569799259} - MAP results: 0.043242006085260964 - time: 2018-12-14 21:42:24.853372
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'sgd_mode': 'adagrad', 'lambda_i': 2.8329317779874786e-07, 'lambda_j': 1.0} - MAP results: 0.045142758500824394 - time: 2018-12-14 21:45:19.887342
BayesianSearch: Config is suboptimal. Config: {'top1': 10, 'sgd_mode': 'adagrad', 'lambda_i': 9.770428486849223e-12, 'lambda_j': 1.0018070030544433e-11} - MAP results: 0.04334564048788122 - time: 2018-12-14 21:47:56.125616
BayesianSearch: Config is suboptimal. Config: {'top1': 180, 'sgd_mode': 'adagrad', 'lambda_i': 5.287233724263522e-07, 'lambda_j': 1.0222257308583268e-08} - MAP results: 0.0465866848818394 - time: 2018-12-14 21:50:24.453581
BayesianSearch: Config is suboptimal. Config: {'top1': 530, 'sgd_mode': 'adagrad', 'lambda_i': 0.00703313244445547, 'lambda_j': 0.9859820698681111} - MAP results: 0.045363188011588874 - time: 2018-12-14 21:52:48.493602
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'sgd_mode': 'adagrad', 'lambda_i': 0.9999999628266865, 'lambda_j': 0.9999997859905451} - MAP results: 0.04366752418889668 - time: 2018-12-14 21:55:09.663978
BayesianSearch: Config is suboptimal. Config: {'top1': 80, 'sgd_mode': 'adagrad', 'lambda_i': 0.0, 'lambda_j': 0.0} - MAP results: 0.04720922614483929 - time: 2018-12-14 21:57:25.649552
BayesianSearch: Config is suboptimal. Config: {'top1': 340, 'sgd_mode': 'adagrad', 'lambda_i': 0.006297765867145033, 'lambda_j': 0.9936586217876818} - MAP results: 0.04576300402863019 - time: 2018-12-14 21:59:27.922337
BayesianSearch: Config is suboptimal. Config: {'top1': 30, 'sgd_mode': 'adagrad', 'lambda_i': 0.9942650077583544, 'lambda_j': 0.9825563532784606} - MAP results: 0.03747255193550076 - time: 2018-12-14 22:01:34.526965
BayesianSearch: Config is suboptimal. Config: {'top1': 250, 'sgd_mode': 'adagrad', 'lambda_i': 0.023411630819105134, 'lambda_j': 0.01000757599314439} - MAP results: 0.04663685795093787 - time: 2018-12-14 22:03:47.836613
BayesianSearch: Config is suboptimal. Config: {'top1': 300, 'sgd_mode': 'adagrad', 'lambda_i': 0.01948690316546542, 'lambda_j': 0.01905205795899989} - MAP results: 0.046388554194843876 - time: 2018-12-14 22:06:04.774970
BayesianSearch: Testing config: {'topK': 355, 'normalize_similarity': False, 'alphaRP3': 0.4056072144288578, 'betaRP': 1.086629258517034} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 220, 'normalize_similarity': False, 'alphaRP3': 1.5553326653306614, 'betaRP': 0.8502745490981964} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 775, 'normalize_similarity': True, 'alphaRP3': 0.9624428857715431, 'betaRP': 1.7315971943887776} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 755, 'normalize_similarity': False, 'alphaRP3': 0.06109018036072145, 'betaRP': 0.24536673346693388} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 115, 'normalize_similarity': True, 'alphaRP3': 1.3470200400801604, 'betaRP': 1.6394589178356713} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 235, 'normalize_similarity': True, 'alphaRP3': 0.914370741482966, 'betaRP': 1.7516272545090181} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 610, 'normalize_similarity': False, 'alphaRP3': 1.1587374749498998, 'betaRP': 1.419128256513026} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 795, 'normalize_similarity': False, 'alphaRP3': 0.29744488977955913, 'betaRP': 1.0345511022044087} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 745, 'normalize_similarity': True, 'alphaRP3': 1.707561122244489, 'betaRP': 0.7180761523046093} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 65, 'normalize_similarity': False, 'alphaRP3': 0.2213306613226453, 'betaRP': 0.3895831663326654} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 495, 'normalize_similarity': False, 'alphaRP3': 1.835753507014028, 'betaRP': 0.6019018036072145} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 60, 'normalize_similarity': True, 'alphaRP3': 1.547320641282565, 'betaRP': 0.4777154308617235} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 85, 'normalize_similarity': False, 'alphaRP3': 1.2588877755511023, 'betaRP': 0.5618416833667336} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 25, 'normalize_similarity': True, 'alphaRP3': 0.4697034068136273, 'betaRP': 1.0265390781563126} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 530, 'normalize_similarity': True, 'alphaRP3': 0.021030060120240484, 'betaRP': 1.8557835671342686} - Exception object of type 'int' has no len()
BayesianSearch: Testing config: {'topK': 360, 'normalize_similarity': True, 'alphaRP3': 1.9679519038076154, 'betaRP': 0.8903346693386774} - Exception object of type 'int' has no len()
BayesianSearch: Config is suboptimal. Config: {'top1': 160, 'sgd_mode': 'adagrad', 'lambda_i': 0.013720891413108283, 'lambda_j': 0.9989060453968734} - MAP results: 0.04665220144724309 - time: 2018-12-14 22:08:14.001803
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'sgd_mode': 'adagrad', 'lambda_i': 4.827581437097911e-14, 'lambda_j': 4.194299011663042e-14} - MAP results: 0.045291203070151505 - time: 2018-12-14 22:10:32.432969
BayesianSearch: Config is suboptimal. Config: {'top1': 390, 'sgd_mode': 'adagrad', 'lambda_i': 0.9847757552284601, 'lambda_j': 0.976759986660051} - MAP results: 0.043850218703486085 - time: 2018-12-14 22:12:52.692979
BayesianSearch: Config is suboptimal. Config: {'top1': 450, 'sgd_mode': 'adagrad', 'lambda_i': 0.004287703091193085, 'lambda_j': 0.9686588365389033} - MAP results: 0.04545640921216594 - time: 2018-12-14 22:15:14.616612
BayesianSearch: Config is suboptimal. Config: {'top1': 210, 'sgd_mode': 'adagrad', 'lambda_i': 0.9764276975886765, 'lambda_j': 0.9910125306741921} - MAP results: 0.04336728525667941 - time: 2018-12-14 22:17:47.206698
BayesianSearch: Config is suboptimal. Config: {'top1': 10, 'sgd_mode': 'adagrad', 'lambda_i': 5.401520727147869e-08, 'lambda_j': 1.0} - MAP results: 0.04325091769348901 - time: 2018-12-14 22:20:33.498850
BayesianSearch: Config is suboptimal. Config: {'top1': 270, 'sgd_mode': 'adagrad', 'lambda_i': 0.9999281084829802, 'lambda_j': 0.0716383325437655} - MAP results: 0.04358241786739228 - time: 2018-12-14 22:23:27.433691
BayesianSearch: Config is suboptimal. Config: {'top1': 440, 'sgd_mode': 'adagrad', 'lambda_i': 0.9973122518773627, 'lambda_j': 0.1402629043539102} - MAP results: 0.04390835547121271 - time: 2018-12-14 22:26:31.753022
BayesianSearch: Config is suboptimal. Config: {'top1': 120, 'sgd_mode': 'adagrad', 'lambda_i': 0.010169451929333495, 'lambda_j': 0.010012083901808744} - MAP results: 0.047212352215941236 - time: 2018-12-14 22:29:27.598357
BayesianSearch: Config is suboptimal. Config: {'top1': 260, 'sgd_mode': 'adagrad', 'lambda_i': 0.002649171394140226, 'lambda_j': 0.9753513682395687} - MAP results: 0.0460052877932024 - time: 2018-12-14 22:32:26.761693
BayesianSearch: Config is suboptimal. Config: {'top1': 40, 'sgd_mode': 'adagrad', 'lambda_i': 0.0033036600341032063, 'lambda_j': 0.8970005543534408} - MAP results: 0.046747440585708004 - time: 2018-12-14 22:35:14.040496
BayesianSearch: Config is suboptimal. Config: {'top1': 520, 'sgd_mode': 'adagrad', 'lambda_i': 0.9894147496887988, 'lambda_j': 0.03258098119037145} - MAP results: 0.043863929487819996 - time: 2018-12-14 22:38:15.964198
BayesianSearch: Config is suboptimal. Config: {'top1': 510, 'sgd_mode': 'adagrad', 'lambda_i': 0.9819320462717167, 'lambda_j': 0.9991088712367386} - MAP results: 0.04403380536406399 - time: 2018-12-14 22:41:22.455977
BayesianSearch: Config is suboptimal. Config: {'top1': 500, 'sgd_mode': 'adagrad', 'lambda_i': 0.009975295541646112, 'lambda_j': 0.022827250786240816} - MAP results: 0.045689328392178395 - time: 2018-12-14 22:44:28.192061
BayesianSearch: Config is suboptimal. Config: {'top1': 560, 'sgd_mode': 'adagrad', 'lambda_i': 0.15352525592666888, 'lambda_j': 0.017035513319700546} - MAP results: 0.04770128114375273 - time: 2018-12-14 22:47:35.943656
BayesianSearch: Config is suboptimal. Config: {'top1': 220, 'sgd_mode': 'adagrad', 'lambda_i': 0.0013436101944661605, 'lambda_j': 0.08632753051850528} - MAP results: 0.04631156848048215 - time: 2018-12-14 22:50:43.059135
BayesianSearch: Config is suboptimal. Config: {'top1': 80, 'sgd_mode': 'adagrad', 'lambda_i': 0.0032533313425858745, 'lambda_j': 0.9985293411983504} - MAP results: 0.04717159763144105 - time: 2018-12-14 22:53:59.857527
BayesianSearch: Config is suboptimal. Config: {'top1': 280, 'sgd_mode': 'adagrad', 'lambda_i': 0.0014898745058687934, 'lambda_j': 0.24535178796562007} - MAP results: 0.04596246876576009 - time: 2018-12-14 22:57:25.797611
BayesianSearch: Config is suboptimal. Config: {'top1': 300, 'sgd_mode': 'adagrad', 'lambda_i': 0.01681817435862032, 'lambda_j': 0.977013044202001} - MAP results: 0.045964740658451755 - time: 2018-12-14 23:00:44.652415
BayesianSearch: Config is suboptimal. Config: {'top1': 370, 'sgd_mode': 'adagrad', 'lambda_i': 0.008032545491627685, 'lambda_j': 0.9808325731318543} - MAP results: 0.04582435824498908 - time: 2018-12-14 23:04:10.092693
BayesianSearch: Config is suboptimal. Config: {'top1': 470, 'sgd_mode': 'adagrad', 'lambda_i': 0.9902012959190329, 'lambda_j': 0.9967290144818339} - MAP results: 0.043908530553469896 - time: 2018-12-14 23:07:49.426591
BayesianSearch: Config is suboptimal. Config: {'top1': 290, 'sgd_mode': 'adagrad', 'lambda_i': 0.9742875473417215, 'lambda_j': 0.967497632493381} - MAP results: 0.04390075883724391 - time: 2018-12-14 23:10:26.401912
BayesianSearch: Config is suboptimal. Config: {'top1': 170, 'sgd_mode': 'adagrad', 'lambda_i': 0.9698968358764232, 'lambda_j': 0.005518927883013114} - MAP results: 0.04329097673431766 - time: 2018-12-14 23:12:40.888315
BayesianSearch: Config is suboptimal. Config: {'top1': 230, 'sgd_mode': 'adagrad', 'lambda_i': 0.046210130651883397, 'lambda_j': 0.9688419310378981} - MAP results: 0.0470230662451881 - time: 2018-12-14 23:15:06.390866
BayesianSearch: Config is suboptimal. Config: {'top1': 230, 'sgd_mode': 'adagrad', 'lambda_i': 0.8725302794244638, 'lambda_j': 0.03372357412600924} - MAP results: 0.044851015200396555 - time: 2018-12-14 23:17:37.987353
BayesianSearch: Config is suboptimal. Config: {'top1': 190, 'sgd_mode': 'adagrad', 'lambda_i': 0.004626617967001367, 'lambda_j': 0.9847364530025111} - MAP results: 0.04648540846463387 - time: 2018-12-14 23:20:05.263781
BayesianSearch: Config is suboptimal. Config: {'top1': 130, 'sgd_mode': 'adagrad', 'lambda_i': 0.010486943775625313, 'lambda_j': 0.9835401683945457} - MAP results: 0.046867606907583854 - time: 2018-12-14 23:22:21.077848
