BayesianSearch: New best config found. Config: {'top1': 91, 'shrink1': -1, 'alphaRP3': 0.49774549098196397, 'betaRP': 0.2333486973947896} - MAP results: 0.02752700835481232 - time: 2018-12-14 19:50:01.140299
BayesianSearch: Config is suboptimal. Config: {'top1': 676, 'shrink1': -1, 'alphaRP3': 1.575362725450902, 'betaRP': 1.1547314629258518} - MAP results: 0.0003804297712776936 - time: 2018-12-14 19:51:21.604421
BayesianSearch: Config is suboptimal. Config: {'top1': 291, 'shrink1': -1, 'alphaRP3': 1.0025030060120241, 'betaRP': 1.5593386773547095} - MAP results: 0.00019461430495010943 - time: 2018-12-14 19:52:10.469710
BayesianSearch: Config is suboptimal. Config: {'top1': 791, 'shrink1': -1, 'alphaRP3': 1.2228336673346694, 'betaRP': 0.29744488977955913} - MAP results: 0.02667108727515126 - time: 2018-12-14 19:53:07.751850
BayesianSearch: Config is suboptimal. Config: {'top1': 776, 'shrink1': -1, 'alphaRP3': 0.029042084168336677, 'betaRP': 0.5658476953907816} - MAP results: 0.02452007340554001 - time: 2018-12-14 19:54:06.143840
BayesianSearch: Config is suboptimal. Config: {'top1': 676, 'shrink1': -1, 'alphaRP3': 1.0225330661322645, 'betaRP': 1.0345511022044087} - MAP results: 0.0006985097534427295 - time: 2018-12-14 19:55:01.950492
BayesianSearch: Config is suboptimal. Config: {'top1': 161, 'shrink1': -1, 'alphaRP3': 1.8918376753507016, 'betaRP': 1.9399098196392786} - MAP results: 0.00016720587806501447 - time: 2018-12-14 19:55:48.179817
BayesianSearch: Config is suboptimal. Config: {'top1': 241, 'shrink1': -1, 'alphaRP3': 1.0906352705410822, 'betaRP': 0.9344008016032065} - MAP results: 0.0012254783139385372 - time: 2018-12-14 19:56:36.355658
BayesianSearch: Config is suboptimal. Config: {'top1': 16, 'shrink1': -1, 'alphaRP3': 1.9799699398797597, 'betaRP': 0.005006012024048097} - MAP results: 0.019538198430368928 - time: 2018-12-14 19:57:25.313710
BayesianSearch: Config is suboptimal. Config: {'top1': 776, 'shrink1': -1, 'alphaRP3': 0.07711422845691383, 'betaRP': 0.005006012024048097} - MAP results: 0.024154072762168206 - time: 2018-12-14 19:58:30.871923
BayesianSearch: Config is suboptimal. Config: {'top1': 16, 'shrink1': -1, 'alphaRP3': 0.005006012024048097, 'betaRP': 1.955933867735471} - MAP results: 0.00016257837234723405 - time: 2018-12-14 19:59:16.494408
BayesianSearch: Config is suboptimal. Config: {'top1': 786, 'shrink1': -1, 'alphaRP3': 1.9198797595190382, 'betaRP': 0.001} - MAP results: 0.02477563134447164 - time: 2018-12-14 20:00:20.930675
BayesianSearch: Config is suboptimal. Config: {'top1': 791, 'shrink1': -1, 'alphaRP3': 0.05307815631262526, 'betaRP': 1.991987975951904} - MAP results: 0.00016360289760311558 - time: 2018-12-14 20:01:25.688181
BayesianSearch: Config is suboptimal. Config: {'top1': 11, 'shrink1': -1, 'alphaRP3': 0.017024048096192387, 'betaRP': 0.04506613226452906} - MAP results: 0.020441729151129368 - time: 2018-12-14 20:02:10.621010
BayesianSearch: Config is suboptimal. Config: {'top1': 51, 'shrink1': -1, 'alphaRP3': 1.0625931863727456, 'betaRP': 0.005006012024048097} - MAP results: 0.02623845023041972 - time: 2018-12-14 20:02:58.936450
BayesianSearch: Config is suboptimal. Config: {'top1': 791, 'shrink1': -1, 'alphaRP3': 0.9183767535070141, 'betaRP': 0.001} - MAP results: 0.025131861378389235 - time: 2018-12-14 20:04:01.677823
BayesianSearch: Config is suboptimal. Config: {'top1': 786, 'shrink1': -1, 'alphaRP3': 1.9679519038076154, 'betaRP': 1.9879819639278558} - MAP results: 0.00017017306158169642 - time: 2018-12-14 20:05:09.878220
BayesianSearch: Config is suboptimal. Config: {'top1': 481, 'shrink1': -1, 'alphaRP3': 1.503254509018036, 'betaRP': 0.033048096192384774} - MAP results: 0.02610783154648532 - time: 2018-12-14 20:06:13.441357
BayesianSearch: Config is suboptimal. Config: {'top1': 776, 'shrink1': -1, 'alphaRP3': 1.995993987975952, 'betaRP': 0.3935891783567135} - MAP results: 0.020322725455602635 - time: 2018-12-14 20:07:22.042978
BayesianSearch: Config is suboptimal. Config: {'top1': 491, 'shrink1': -1, 'alphaRP3': 0.373559118236473, 'betaRP': 0.20530661322645294} - MAP results: 0.026620126879047697 - time: 2018-12-14 20:08:24.354473
BayesianSearch: Config is suboptimal. Config: {'top1': 796, 'shrink1': -1, 'alphaRP3': 1.5152725450901805, 'betaRP': 0.08112024048096193} - MAP results: 0.025733428577981207 - time: 2018-12-14 20:09:30.770567
BayesianSearch: Config is suboptimal. Config: {'top1': 381, 'shrink1': -1, 'alphaRP3': 0.9103647294589179, 'betaRP': 0.1372044088176353} - MAP results: 0.026995205750345537 - time: 2018-12-14 20:10:35.132300
BayesianSearch: Config is suboptimal. Config: {'top1': 6, 'shrink1': -1, 'alphaRP3': 0.5578356713426854, 'betaRP': 0.021030060120240484} - MAP results: 0.017570026100991076 - time: 2018-12-14 20:11:30.529187
BayesianSearch: Config is suboptimal. Config: {'top1': 6, 'shrink1': -1, 'alphaRP3': 0.02503607214428858, 'betaRP': 0.6299438877755512} - MAP results: 0.017650851756826395 - time: 2018-12-14 20:12:21.906251
BayesianSearch: Config is suboptimal. Config: {'top1': 21, 'shrink1': -1, 'alphaRP3': 0.9704549098196393, 'betaRP': 1.995993987975952} - MAP results: 0.00016722851564398287 - time: 2018-12-14 20:13:13.993452
