BayesianSearch: New best config found. Config: {'top1': 21, 'sgd_mode': 'adam', 'lambda_i': 0.18045583762060668, 'lambda_j': 0.9127782401522707} - MAP results: 0.021700151994299012 - time: 2018-12-14 20:49:16.612297
BayesianSearch: Config is suboptimal. Config: {'top1': 151, 'sgd_mode': 'adam', 'lambda_i': 0.5237793309812311, 'lambda_j': 0.6757073956306554} - MAP results: 0.017521306316390407 - time: 2018-12-14 20:52:40.153071
BayesianSearch: Config is suboptimal. Config: {'top1': 591, 'sgd_mode': 'adam', 'lambda_i': 0.7702020896015883, 'lambda_j': 0.11262652648782367} - MAP results: 0.01765258170550276 - time: 2018-12-14 20:56:27.260370
BayesianSearch: New best config found. Config: {'top1': 611, 'sgd_mode': 'adagrad', 'lambda_i': 0.44081758804351545, 'lambda_j': 0.8309465383688703} - MAP results: 0.022274501357190845 - time: 2018-12-14 21:01:19.807940
BayesianSearch: Config is suboptimal. Config: {'top1': 521, 'sgd_mode': 'adagrad', 'lambda_i': 0.7656774791552924, 'lambda_j': 0.7226963976711626} - MAP results: 0.01739457542437749 - time: 2018-12-14 21:05:53.969420
BayesianSearch: Config is suboptimal. Config: {'top1': 101, 'sgd_mode': 'adagrad', 'lambda_i': 0.9669697747998166, 'lambda_j': 0.6546012179892049} - MAP results: 0.010609216019860172 - time: 2018-12-14 21:10:27.057332
BayesianSearch: New best config found. Config: {'top1': 501, 'sgd_mode': 'adam', 'lambda_i': 0.24760216721408113, 'lambda_j': 0.6995771794610048} - MAP results: 0.025122043945481617 - time: 2018-12-14 21:15:53.932587
BayesianSearch: Config is suboptimal. Config: {'top1': 51, 'sgd_mode': 'adam', 'lambda_i': 0.7770584818433321, 'lambda_j': 0.6276738043921104} - MAP results: 0.010907206748931284 - time: 2018-12-14 21:20:55.963845
BayesianSearch: New best config found. Config: {'top1': 791, 'sgd_mode': 'adagrad', 'lambda_i': 0.03868852215907281, 'lambda_j': 0.020779886132281544} - MAP results: 0.025479230810427796 - time: 2018-12-14 21:26:10.675379
BayesianSearch: Config is suboptimal. Config: {'top1': 361, 'sgd_mode': 'adagrad', 'lambda_i': 0.0, 'lambda_j': 2.1135825396148625e-16} - MAP results: 0.024801650600653237 - time: 2018-12-14 21:31:51.295939
BayesianSearch: Config is suboptimal. Config: {'top1': 701, 'sgd_mode': 'adam', 'lambda_i': 0.013272452187941597, 'lambda_j': 0.9573238473618165} - MAP results: 0.02476465243394995 - time: 2018-12-14 21:38:34.113560
BayesianSearch: Config is suboptimal. Config: {'top1': 561, 'sgd_mode': 'adagrad', 'lambda_i': 0.007793155645316907, 'lambda_j': 0.008784622475505932} - MAP results: 0.024832304710713026 - time: 2018-12-14 21:44:33.735351
BayesianSearch: Config is suboptimal. Config: {'top1': 321, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 0.9999999876014436} - MAP results: 0.024741723063705902 - time: 2018-12-14 21:50:06.182445
BayesianSearch: Config is suboptimal. Config: {'top1': 1, 'sgd_mode': 'adagrad', 'lambda_i': 0.0, 'lambda_j': 0.0} - MAP results: 0.013223410153838941 - time: 2018-12-14 21:55:28.870097
BayesianSearch: Config is suboptimal. Config: {'top1': 91, 'sgd_mode': 'adagrad', 'lambda_i': 0.007554405240084772, 'lambda_j': 0.9703164333862866} - MAP results: 0.025371193039718333 - time: 2018-12-14 22:00:34.979314
BayesianSearch: Config is suboptimal. Config: {'top1': 421, 'sgd_mode': 'adagrad', 'lambda_i': 0.007738627740143, 'lambda_j': 0.9976751972687462} - MAP results: 0.024824289830928794 - time: 2018-12-14 22:04:52.846913
BayesianSearch: Config is suboptimal. Config: {'top1': 791, 'sgd_mode': 'adam', 'lambda_i': 0.04159664482906833, 'lambda_j': 0.9504904932421057} - MAP results: 0.025404160003626865 - time: 2018-12-14 22:08:59.508828
BayesianSearch: Config is suboptimal. Config: {'top1': 241, 'sgd_mode': 'adagrad', 'lambda_i': 0.0028263466589849573, 'lambda_j': 0.9683012292112655} - MAP results: 0.024970233899856677 - time: 2018-12-14 22:12:58.798456
BayesianSearch: Config is suboptimal. Config: {'top1': 551, 'sgd_mode': 'adam', 'lambda_i': 0.012450348549612356, 'lambda_j': 0.996739307012208} - MAP results: 0.02478779476974679 - time: 2018-12-14 22:17:03.108360
