BayesianSearch: New best config found. Config: {'weights1': 0.4352708455998633, 'weights2': 0.9888675957849619, 'weights3': 0.48903280989103226, 'weights4': 0.09240871656055005, 'weights5': 0.17244462784065084, 'normalize': False} - results: {'ROC_AUC': 0.4614497142857098, 'PRECISION': 0.146569999999999, 'RECALL': 0.146569999999999, 'RECALL_TEST_LEN': 0.146569999999999, 'MAP': 0.07962288095238029, 'MRR': 0.4036677380952411, 'NDCG': 0.16963145168870689, 'F1': 0.146569999999999, 'HIT_RATE': 1.4657, 'ARHR': 0.5605390079365091, 'NOVELTY': 0.005341635313667286, 'DIVERSITY_MEAN_INTER_LIST': 0.9729232923292329, 'DIVERSITY_HERFINDAHL': 0.9972826, 'COVERAGE_ITEM': 0.13103949600193845, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.20187074306839187, 'SHANNON_ENTROPY': 9.408623496226712} - time: 2018-11-30 12:48:30.741622
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9048106146987038, 'weights2': 0.771027412349046, 'weights3': 0.19008990973740514, 'weights4': 0.6471044400410481, 'weights5': 0.4155719294737661, 'normalize': False} - results: {'ROC_AUC': 0.4614497142857098, 'PRECISION': 0.146569999999999, 'RECALL': 0.146569999999999, 'RECALL_TEST_LEN': 0.146569999999999, 'MAP': 0.07962288095238029, 'MRR': 0.4036677380952411, 'NDCG': 0.16963145168870689, 'F1': 0.146569999999999, 'HIT_RATE': 1.4657, 'ARHR': 0.5605390079365091, 'NOVELTY': 0.005341635313667286, 'DIVERSITY_MEAN_INTER_LIST': 0.9729232923292329, 'DIVERSITY_HERFINDAHL': 0.9972826, 'COVERAGE_ITEM': 0.13103949600193845, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.20187074306839187, 'SHANNON_ENTROPY': 9.408623496226712} - time: 2018-11-30 12:48:59.720115
BayesianSearch: New best config found. Config: {'weights1': 0.13485727247630042, 'weights2': 0.4133649361327919, 'weights3': 0.26967741764473807, 'weights4': 0.2136607298128641, 'weights5': 0.8161858761587102, 'normalize': False} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:02:40.418254
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5046112813352868, 'weights2': 0.6982780453009302, 'weights3': 0.028150093787789432, 'weights4': 0.9434406944357812, 'weights5': 0.48394502285606766, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:02:54.101043
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.7576472481203066, 'weights2': 0.8182423397928273, 'weights3': 0.28159843432051856, 'weights4': 0.08589540667751361, 'weights5': 0.6304157374979127, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:03:12.725127
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.7732760630264471, 'weights2': 0.35050521519659117, 'weights3': 0.2568713279909225, 'weights4': 0.625631080756995, 'weights5': 0.6376903283644735, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:03:25.611360
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5349494200079934, 'weights2': 0.9416907345301052, 'weights3': 0.4219849174440288, 'weights4': 0.38691696378424867, 'weights5': 0.17276065461048673, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:03:37.929597
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.11398399888222577, 'weights2': 0.5747181551014313, 'weights3': 0.9482100802250684, 'weights4': 0.832906777813191, 'weights5': 0.6992698465687922, 'normalize': False} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:03:50.449032
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.12775712622742363, 'weights2': 0.3085350167938665, 'weights3': 0.0825371695433097, 'weights4': 0.0034839990083306294, 'weights5': 0.6142767464033437, 'normalize': False} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:04:03.642945
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.29373076648886776, 'weights2': 0.7754438439668297, 'weights3': 0.7876514511232896, 'weights4': 0.339518278228613, 'weights5': 0.13179215034569636, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:04:16.675709
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.8167324069787832, 'weights2': 0.8310441522899962, 'weights3': 0.865240185656552, 'weights4': 0.6033198980837396, 'weights5': 0.3668978526187574, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:04:27.219320
