BayesianSearch: Testing config: {'weights1': 0.23180517047020277, 'weights2': 0.41357428976515653, 'weights3': 0.8132138611521404, 'weights4': 0.8411219162287701, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: Testing config: {'weights1': 0.5670166374978496, 'weights2': 0.37998212760771444, 'weights3': 0.7850629119942067, 'weights4': 0.7790164970493407, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: Testing config: {'weights1': 0.2063375451817041, 'weights2': 0.8182104008267403, 'weights3': 0.3198941172935217, 'weights4': 0.25139024810700117, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: Testing config: {'weights1': 0.4747025373069542, 'weights2': 0.05588687202218012, 'weights3': 0.7930425226164968, 'weights4': 0.8207067619027614, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: New best config found. Config: {'weights1': 0.2906402285928006, 'weights2': 0.8210657412596557, 'weights3': 0.12723485237833698, 'weights4': 0.8992215622957728, 'normalize': True} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:30:26.710478
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5197793248887387, 'weights2': 0.677384387375351, 'weights3': 0.3586214946457744, 'weights4': 0.45881152404473247, 'normalize': False} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:30:43.531928
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9358934259551653, 'weights2': 0.7107722557291343, 'weights3': 0.2793938410632095, 'weights4': 0.5913322996990573, 'normalize': True} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:31:00.490638
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.6817682074425928, 'weights2': 0.3287032270151117, 'weights3': 0.7111902870953043, 'weights4': 0.6418007936049841, 'normalize': True} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:31:17.579466
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4224710579483173, 'weights2': 0.6112485611808197, 'weights3': 0.3697195516552291, 'weights4': 0.4677847312490758, 'normalize': True} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:31:34.187372
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9879369356417419, 'weights2': 0.6536121157810632, 'weights3': 0.0992456213613373, 'weights4': 0.16906346871308708, 'normalize': False} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:31:50.659980
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.638577096660483, 'weights2': 0.8363111939412746, 'weights3': 0.10785948416907098, 'weights4': 0.6338721432567168, 'normalize': False} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:32:07.179961
BayesianSearch: New best config found. Config: {'weights1': 0.9279919957862851, 'weights2': 0.6511643003594845, 'weights3': 0.531136954987624, 'weights4': 0.6902938951064499, 'normalize': True} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:36:19.710216
BayesianSearch: New best config found. Config: {'weights1': 0.9980643824179255, 'weights2': 0.4622102505217308, 'weights3': 0.7687847918590809, 'weights4': 0.5449061881386379, 'normalize': False} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:45:52.484193
BayesianSearch: New best config found. Config: {'weights1': 0.8667674086194815, 'weights2': 0.7862694617327278, 'weights3': 0.7567731653096063, 'weights4': 0.21534082858621395, 'normalize': False} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:49:17.527230
BayesianSearch: New best config found. Config: {'weights1': 0.8548798989733436, 'weights2': 0.6584743329596228, 'weights3': 0.8093261823515953, 'weights4': 0.09169248507936889, 'normalize': True} - results: {'ROC_AUC': 0.49152076587301247, 'PRECISION': 0.16803999999999594, 'RECALL': 0.16803999999999594, 'RECALL_TEST_LEN': 0.16803999999999594, 'MAP': 0.09453428968253871, 'MRR': 0.4436600396825404, 'NDCG': 0.19360138265267016, 'F1': 0.16803999999999594, 'HIT_RATE': 1.6804, 'ARHR': 0.6375350793650804, 'NOVELTY': 0.005563124000301528, 'DIVERSITY_MEAN_INTER_LIST': 0.9859679107910791, 'DIVERSITY_HERFINDAHL': 0.9985869314, 'COVERAGE_ITEM': 0.22815604555367094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2399487194733489, 'SHANNON_ENTROPY': 10.428692597197445} - time: 2018-11-30 12:58:38.261641
