BayesianSearch: New best config found. Config: {'weights1': 0.7484846418522555, 'weights2': 0.1371883925158769, 'weights3': 0.700219557035323, 'weights4': 0.31963216955404716, 'normalize': False} - results: {'ROC_AUC': 0.2843901904761903, 'PRECISION': 0.09451000000000308, 'RECALL': 0.09451000000000308, 'RECALL_TEST_LEN': 0.09451000000000308, 'MAP': 0.053179829365079534, 'MRR': 0.2586513492063492, 'NDCG': 0.11024504956901074, 'F1': 0.09451000000000308, 'HIT_RATE': 0.9451, 'ARHR': 0.3665814682539712, 'NOVELTY': 0.006305540957503902, 'DIVERSITY_MEAN_INTER_LIST': 0.885801800180018, 'DIVERSITY_HERFINDAHL': 0.988571322, 'COVERAGE_ITEM': 0.23605524594136176, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.19033747126436784, 'SHANNON_ENTROPY': 9.097229826960334} - time: 2018-11-30 13:41:27.616681
BayesianSearch: New best config found. Config: {'weights1': 0.9896113097253028, 'weights2': 0.2431257090035347, 'weights3': 0.9925868534753276, 'weights4': 0.9790603218037077, 'normalize': False} - results: {'ROC_AUC': 0.2858758333333332, 'PRECISION': 0.09546000000000315, 'RECALL': 0.09546000000000315, 'RECALL_TEST_LEN': 0.09546000000000315, 'MAP': 0.05369907936507951, 'MRR': 0.261110277777778, 'NDCG': 0.11130657207071781, 'F1': 0.09546000000000315, 'HIT_RATE': 0.9546, 'ARHR': 0.37005682539682866, 'NOVELTY': 0.006289664115530795, 'DIVERSITY_MEAN_INTER_LIST': 0.8856718011801181, 'DIVERSITY_HERFINDAHL': 0.9885583234, 'COVERAGE_ITEM': 0.2265568209353041, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18889935842600514, 'SHANNON_ENTROPY': 9.05636881521526} - time: 2018-11-30 13:41:45.210751
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.003040451485212592, 'weights2': 0.2819963238017066, 'weights3': 0.8618145845023272, 'weights4': 0.2920091561426289, 'normalize': True} - results: {'ROC_AUC': 0.282613234126984, 'PRECISION': 0.09336000000000357, 'RECALL': 0.09336000000000357, 'RECALL_TEST_LEN': 0.09336000000000357, 'MAP': 0.05141271428571446, 'MRR': 0.25665615079365056, 'NDCG': 0.10842738128602505, 'F1': 0.09336000000000357, 'HIT_RATE': 0.9336, 'ARHR': 0.3594981349206372, 'NOVELTY': 0.006225700746327428, 'DIVERSITY_MEAN_INTER_LIST': 0.8851626702670268, 'DIVERSITY_HERFINDAHL': 0.9885074154, 'COVERAGE_ITEM': 0.1921007996123092, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18604784363177804, 'SHANNON_ENTROPY': 8.905537818592432} - time: 2018-11-30 13:42:02.785052
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5273335348501237, 'weights2': 0.856430838564129, 'weights3': 0.8482704491200773, 'weights4': 0.916961064667848, 'normalize': True} - results: {'ROC_AUC': 0.28834400396825355, 'PRECISION': 0.09628000000000339, 'RECALL': 0.09628000000000339, 'RECALL_TEST_LEN': 0.09628000000000339, 'MAP': 0.053569507936508054, 'MRR': 0.2623172222222223, 'NDCG': 0.11184378394782543, 'F1': 0.09628000000000339, 'HIT_RATE': 0.9628, 'ARHR': 0.3708147619047642, 'NOVELTY': 0.0062316337496417335, 'DIVERSITY_MEAN_INTER_LIST': 0.8850352275227523, 'DIVERSITY_HERFINDAHL': 0.9884946724, 'COVERAGE_ITEM': 0.18439544463290525, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18705697320021022, 'SHANNON_ENTROPY': 8.875165045417127} - time: 2018-11-30 13:42:20.318995
BayesianSearch: New best config found. Config: {'weights1': 0.4891150620486837, 'weights2': 0.5085350803281301, 'weights3': 0.42863877828878216, 'weights4': 0.902657212801267, 'normalize': False} - results: {'ROC_AUC': 0.2886944365079366, 'PRECISION': 0.09728000000000332, 'RECALL': 0.09728000000000332, 'RECALL_TEST_LEN': 0.09728000000000332, 'MAP': 0.05449864285714316, 'MRR': 0.2639889285714292, 'NDCG': 0.11309483826383948, 'F1': 0.09728000000000332, 'HIT_RATE': 0.9728, 'ARHR': 0.37516626984127177, 'NOVELTY': 0.006247254295017171, 'DIVERSITY_MEAN_INTER_LIST': 0.8851287428742874, 'DIVERSITY_HERFINDAHL': 0.988504023, 'COVERAGE_ITEM': 0.19030772958565545, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18776746435845212, 'SHANNON_ENTROPY': 8.90416570016677} - time: 2018-11-30 13:42:37.891066
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1656740130201213, 'weights2': 0.17213216878297688, 'weights3': 0.8506244316341177, 'weights4': 0.5975995412043222, 'normalize': True} - results: {'ROC_AUC': 0.28414959920634875, 'PRECISION': 0.0945600000000035, 'RECALL': 0.0945600000000035, 'RECALL_TEST_LEN': 0.0945600000000035, 'MAP': 0.05233134920634934, 'MRR': 0.2594121031746031, 'NDCG': 0.10988521289154887, 'F1': 0.09456000000000352, 'HIT_RATE': 0.9456, 'ARHR': 0.36455543650793865, 'NOVELTY': 0.006239412538011759, 'DIVERSITY_MEAN_INTER_LIST': 0.8853038403840384, 'DIVERSITY_HERFINDAHL': 0.988521531, 'COVERAGE_ITEM': 0.2021322994911558, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.1863071188878236, 'SHANNON_ENTROPY': 8.94852715103523} - time: 2018-11-30 13:42:55.627883
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5297507519809893, 'weights2': 0.2807787270627461, 'weights3': 0.023162339055701642, 'weights4': 0.469987417534549, 'normalize': True} - results: {'ROC_AUC': 0.27610024206349276, 'PRECISION': 0.09110000000000285, 'RECALL': 0.09110000000000285, 'RECALL_TEST_LEN': 0.09110000000000285, 'MAP': 0.05193574206349234, 'MRR': 0.24853742063492062, 'NDCG': 0.1066400810353458, 'F1': 0.09110000000000285, 'HIT_RATE': 0.911, 'ARHR': 0.3552738492063505, 'NOVELTY': 0.006373222276833635, 'DIVERSITY_MEAN_INTER_LIST': 0.8857367096709671, 'DIVERSITY_HERFINDAHL': 0.9885648136, 'COVERAGE_ITEM': 0.2244245214441483, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.19535134715025904, 'SHANNON_ENTROPY': 9.078025478674183} - time: 2018-11-30 13:43:13.275824
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.697947615725717, 'weights2': 0.23315405827645608, 'weights3': 0.9099548122463527, 'weights4': 0.7901491539081406, 'normalize': False} - results: {'ROC_AUC': 0.28667226984126926, 'PRECISION': 0.09521000000000329, 'RECALL': 0.09521000000000329, 'RECALL_TEST_LEN': 0.09521000000000329, 'MAP': 0.05329631746031762, 'MRR': 0.26094075396825417, 'NDCG': 0.1109511662773788, 'F1': 0.0952100000000033, 'HIT_RATE': 0.9521, 'ARHR': 0.36869158730159, 'NOVELTY': 0.006273840798167312, 'DIVERSITY_MEAN_INTER_LIST': 0.8855707050705071, 'DIVERSITY_HERFINDAHL': 0.9885482148, 'COVERAGE_ITEM': 0.21768839350617883, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.1887878433118184, 'SHANNON_ENTROPY': 9.023012799293301} - time: 2018-11-30 13:43:30.858479
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9827088101545229, 'weights2': 0.9180588421432914, 'weights3': 0.004124157346538038, 'weights4': 0.9251438554576165, 'normalize': False} - results: {'ROC_AUC': 0.2809373888888885, 'PRECISION': 0.09309000000000306, 'RECALL': 0.09309000000000306, 'RECALL_TEST_LEN': 0.09309000000000306, 'MAP': 0.052637142857142986, 'MRR': 0.2510087301587304, 'NDCG': 0.1083787209481001, 'F1': 0.09309000000000306, 'HIT_RATE': 0.9309, 'ARHR': 0.3594950396825411, 'NOVELTY': 0.00631134125050347, 'DIVERSITY_MEAN_INTER_LIST': 0.8851635863586359, 'DIVERSITY_HERFINDAHL': 0.988507507, 'COVERAGE_ITEM': 0.19796462321298763, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18844104258443467, 'SHANNON_ENTROPY': 8.93540078382075} - time: 2018-11-30 13:43:58.539057
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.008656428588470377, 'weights2': 0.08859761608967875, 'weights3': 0.06012168890323211, 'weights4': 0.9983836382354969, 'normalize': False} - results: {'ROC_AUC': 0.28964266269841227, 'PRECISION': 0.09744000000000339, 'RECALL': 0.09744000000000339, 'RECALL_TEST_LEN': 0.09744000000000339, 'MAP': 0.054327496031746185, 'MRR': 0.2640928174603175, 'NDCG': 0.11310367433205247, 'F1': 0.09744000000000339, 'HIT_RATE': 0.9744, 'ARHR': 0.3746765873015907, 'NOVELTY': 0.006204222192353815, 'DIVERSITY_MEAN_INTER_LIST': 0.8844382758275828, 'DIVERSITY_HERFINDAHL': 0.9884349832, 'COVERAGE_ITEM': 0.16733704870365884, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18105645628257092, 'SHANNON_ENTROPY': 8.757740648521871} - time: 2018-11-30 13:44:26.914018
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.02005130642182329, 'weights2': 0.941278362278361, 'weights3': 0.05658852163281625, 'weights4': 0.9328211136690497, 'normalize': True} - results: {'ROC_AUC': 0.28287302777777784, 'PRECISION': 0.09318000000000347, 'RECALL': 0.09318000000000347, 'RECALL_TEST_LEN': 0.09318000000000347, 'MAP': 0.051676884920635165, 'MRR': 0.25462063492063514, 'NDCG': 0.10823041083142161, 'F1': 0.09318000000000348, 'HIT_RATE': 0.9318, 'ARHR': 0.3586820238095262, 'NOVELTY': 0.006189500683203639, 'DIVERSITY_MEAN_INTER_LIST': 0.8839030243024303, 'DIVERSITY_HERFINDAHL': 0.9883814634, 'COVERAGE_ITEM': 0.14354252483644295, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18208067499156258, 'SHANNON_ENTROPY': 8.633758116502015} - time: 2018-11-30 13:44:55.001826
