BayesianSearch: Testing config: {'pop1': 197.4231750886533, 'pop2': 522.8761647131797, 'normalize': True} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 251.46647692419245, 'pop2': 383.8110351399888, 'normalize': True} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 255.06194573881683, 'pop2': 382.50420770715664, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 189.13137625662037, 'pop2': 543.1177639941567, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 141.6611761876562, 'pop2': 520.5490096186641, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 233.06729366498865, 'pop2': 520.5325596181008, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 217.898418042851, 'pop2': 429.56170717457655, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 162.65214724455143, 'pop2': 314.787432561556, 'normalize': True} - Exception Weights and recommender list have different lenghts
BayesianSearch: New best config found. Config: {'pop1': 204.6599687508364, 'pop2': 582.3738614952741, 'normalize': True} - results: {'ROC_AUC': 0.5060486468253936, 'PRECISION': 0.177719999999996, 'RECALL': 0.177719999999996, 'RECALL_TEST_LEN': 0.177719999999996, 'MAP': 0.10354229761904651, 'MRR': 0.4663844444444446, 'NDCG': 0.20635401207506657, 'F1': 0.177719999999996, 'HIT_RATE': 1.7772, 'ARHR': 0.6833449603174596, 'NOVELTY': 0.005666322617381922, 'DIVERSITY_MEAN_INTER_LIST': 0.9890342394239423, 'DIVERSITY_HERFINDAHL': 0.9988935336, 'COVERAGE_ITEM': 0.2630966803973831, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2574836316758748, 'SHANNON_ENTROPY': 10.752765480702134} - time: 2018-11-30 16:05:15.253648
BayesianSearch: Config is suboptimal. Config: {'pop1': 272.2231093470328, 'pop2': 355.53520707204797, 'normalize': True} - results: {'ROC_AUC': 0.5066274444444405, 'PRECISION': 0.17638999999999613, 'RECALL': 0.17638999999999613, 'RECALL_TEST_LEN': 0.17638999999999613, 'MAP': 0.10349046031745925, 'MRR': 0.46753238095238175, 'NDCG': 0.20574305518344044, 'F1': 0.17638999999999613, 'HIT_RATE': 1.7639, 'ARHR': 0.6836095238095249, 'NOVELTY': 0.005655028170565297, 'DIVERSITY_MEAN_INTER_LIST': 0.9883393659365937, 'DIVERSITY_HERFINDAHL': 0.9988240532, 'COVERAGE_ITEM': 0.26338744850981344, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25093187637969094, 'SHANNON_ENTROPY': 10.701463863588847} - time: 2018-11-30 16:05:33.975469
BayesianSearch: Config is suboptimal. Config: {'pop1': 292.98275014548506, 'pop2': 409.9343010046903, 'normalize': False} - results: {'ROC_AUC': 0.5055668650793613, 'PRECISION': 0.176409999999996, 'RECALL': 0.176409999999996, 'RECALL_TEST_LEN': 0.176409999999996, 'MAP': 0.10328753571428456, 'MRR': 0.46576130952381056, 'NDCG': 0.20546925846785308, 'F1': 0.176409999999996, 'HIT_RATE': 1.7641, 'ARHR': 0.68194142857143, 'NOVELTY': 0.005668694663306376, 'DIVERSITY_MEAN_INTER_LIST': 0.9886042624262427, 'DIVERSITY_HERFINDAHL': 0.9988505402, 'COVERAGE_ITEM': 0.264162830142961, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2547210528246515, 'SHANNON_ENTROPY': 10.730372811959985} - time: 2018-11-30 16:05:52.659374
BayesianSearch: New best config found. Config: {'pop1': 209.01325097559027, 'pop2': 366.9789170849813, 'normalize': False} - results: {'ROC_AUC': 0.5084297182539645, 'PRECISION': 0.17753999999999584, 'RECALL': 0.17753999999999584, 'RECALL_TEST_LEN': 0.17753999999999584, 'MAP': 0.10386758730158628, 'MRR': 0.4691878174603183, 'NDCG': 0.20679053034707903, 'F1': 0.17753999999999584, 'HIT_RATE': 1.7754, 'ARHR': 0.6863480555555558, 'NOVELTY': 0.005641429121874857, 'DIVERSITY_MEAN_INTER_LIST': 0.9882907470747074, 'DIVERSITY_HERFINDAHL': 0.9988191918, 'COVERAGE_ITEM': 0.26081899685001214, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25089702396433217, 'SHANNON_ENTROPY': 10.689207001577419} - time: 2018-11-30 16:06:11.854646
BayesianSearch: Config is suboptimal. Config: {'pop1': 219.71555912214652, 'pop2': 586.8109003334114, 'normalize': True} - results: {'ROC_AUC': 0.5056324722222187, 'PRECISION': 0.17760999999999605, 'RECALL': 0.17760999999999605, 'RECALL_TEST_LEN': 0.17760999999999605, 'MAP': 0.10355528968253863, 'MRR': 0.4663427380952382, 'NDCG': 0.20627919888719917, 'F1': 0.17760999999999605, 'HIT_RATE': 1.7761, 'ARHR': 0.6832350396825393, 'NOVELTY': 0.005669597864438998, 'DIVERSITY_MEAN_INTER_LIST': 0.9890574157415741, 'DIVERSITY_HERFINDAHL': 0.998895851, 'COVERAGE_ITEM': 0.2640659074388175, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25730782385321105, 'SHANNON_ENTROPY': 10.756648730835899} - time: 2018-11-30 16:06:30.562631
BayesianSearch: Config is suboptimal. Config: {'pop1': 297.65079003958056, 'pop2': 339.244862694986, 'normalize': True} - results: {'ROC_AUC': 0.5053838611111072, 'PRECISION': 0.17664999999999578, 'RECALL': 0.17664999999999578, 'RECALL_TEST_LEN': 0.17664999999999578, 'MAP': 0.10341601984126837, 'MRR': 0.46651857142857245, 'NDCG': 0.2057147413648665, 'F1': 0.17664999999999578, 'HIT_RATE': 1.7665, 'ARHR': 0.6827212301587315, 'NOVELTY': 0.005657981615302415, 'DIVERSITY_MEAN_INTER_LIST': 0.9882892729272927, 'DIVERSITY_HERFINDAHL': 0.9988190444, 'COVERAGE_ITEM': 0.2622728374121638, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.251032569739516, 'SHANNON_ENTROPY': 10.696284800955166} - time: 2018-11-30 16:06:48.916461
BayesianSearch: Config is suboptimal. Config: {'pop1': 152.0565134657897, 'pop2': 559.540093206681, 'normalize': True} - results: {'ROC_AUC': 0.5062754523809495, 'PRECISION': 0.17795999999999604, 'RECALL': 0.17795999999999604, 'RECALL_TEST_LEN': 0.17795999999999604, 'MAP': 0.10365467857142749, 'MRR': 0.46705833333333385, 'NDCG': 0.20658832796737553, 'F1': 0.17795999999999604, 'HIT_RATE': 1.7796, 'ARHR': 0.6840284126984119, 'NOVELTY': 0.005658678950383686, 'DIVERSITY_MEAN_INTER_LIST': 0.9889712491249125, 'DIVERSITY_HERFINDAHL': 0.9988872352, 'COVERAGE_ITEM': 0.26086745820208385, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25765421248142645, 'SHANNON_ENTROPY': 10.74242500997159} - time: 2018-11-30 16:07:07.210464
BayesianSearch: Config is suboptimal. Config: {'pop1': 191.17141674934834, 'pop2': 555.5500424615293, 'normalize': False} - results: {'ROC_AUC': 0.5068345238095209, 'PRECISION': 0.17770999999999593, 'RECALL': 0.17770999999999593, 'RECALL_TEST_LEN': 0.17770999999999593, 'MAP': 0.10361995238095136, 'MRR': 0.46698523809523823, 'NDCG': 0.2064642513372004, 'F1': 0.17770999999999595, 'HIT_RATE': 1.7771, 'ARHR': 0.6839869444444433, 'NOVELTY': 0.00566335233511164, 'DIVERSITY_MEAN_INTER_LIST': 0.9889953315331533, 'DIVERSITY_HERFINDAHL': 0.9988896432, 'COVERAGE_ITEM': 0.2625636055245941, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2573268536630374, 'SHANNON_ENTROPY': 10.748591012974227} - time: 2018-11-30 16:07:25.859808
BayesianSearch: New best config found. Config: {'pop1': 124.27747823786832, 'pop2': 304.0058277363387, 'normalize': True} - results: {'ROC_AUC': 0.5073947222222185, 'PRECISION': 0.17816999999999597, 'RECALL': 0.17816999999999597, 'RECALL_TEST_LEN': 0.17816999999999597, 'MAP': 0.10392705555555436, 'MRR': 0.4704782142857156, 'NDCG': 0.20723047131150962, 'F1': 0.17816999999999597, 'HIT_RATE': 1.7817, 'ARHR': 0.6872452777777771, 'NOVELTY': 0.005623044987811253, 'DIVERSITY_MEAN_INTER_LIST': 0.9880401440144014, 'DIVERSITY_HERFINDAHL': 0.998794134, 'COVERAGE_ITEM': 0.25427671432032956, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2497587919207317, 'SHANNON_ENTROPY': 10.649671493382503} - time: 2018-11-30 16:07:50.592869
BayesianSearch: New best config found. Config: {'pop1': 130.1779938262608, 'pop2': 345.54433845946795, 'normalize': False} - results: {'ROC_AUC': 0.5078580873015835, 'PRECISION': 0.17829999999999588, 'RECALL': 0.17829999999999588, 'RECALL_TEST_LEN': 0.17829999999999588, 'MAP': 0.10421882539682428, 'MRR': 0.4706130555555568, 'NDCG': 0.20749358059465886, 'F1': 0.17829999999999588, 'HIT_RATE': 1.783, 'ARHR': 0.6883348015873013, 'NOVELTY': 0.005628363421330724, 'DIVERSITY_MEAN_INTER_LIST': 0.9881544194419443, 'DIVERSITY_HERFINDAHL': 0.9988055604, 'COVERAGE_ITEM': 0.2566997819239157, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2504814647036617, 'SHANNON_ENTROPY': 10.666590760301075} - time: 2018-11-30 16:08:14.578716
BayesianSearch: Config is suboptimal. Config: {'pop1': 106.2533193061166, 'pop2': 406.1778439483205, 'normalize': False} - results: {'ROC_AUC': 0.5080288849206313, 'PRECISION': 0.17824999999999586, 'RECALL': 0.17824999999999586, 'RECALL_TEST_LEN': 0.17824999999999586, 'MAP': 0.10404362698412606, 'MRR': 0.46965619047619167, 'NDCG': 0.20729795118644834, 'F1': 0.17824999999999583, 'HIT_RATE': 1.7825, 'ARHR': 0.6873184126984122, 'NOVELTY': 0.005637771506115381, 'DIVERSITY_MEAN_INTER_LIST': 0.9884128692869286, 'DIVERSITY_HERFINDAHL': 0.9988314028, 'COVERAGE_ITEM': 0.2578143930215653, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2539510806239429, 'SHANNON_ENTROPY': 10.694784559692149} - time: 2018-11-30 16:08:38.694983
