BayesianSearch: New best config found. Config: {'weights1': 0.6012261727860275, 'weights2': 1.4824418043682348, 'weights3': 0.02821046854753595, 'weights4': 0.9921340349588981, 'weights5': 1.9778374294801055, 'weights6': 1.5579539557181326} - MAP results: 0.010263373241549552 - time: 2018-12-06 13:16:19.739393
BayesianSearch: Testing config: {'weights1': 0.5892983366538205, 'weights2': 0.21028586684570305, 'weights3': 1.8620052589739047, 'weights4': 1.530775298583144, 'weights5': 0.12225753863713007, 'weights6': 1.2502581037259908} - Exception [Errno 2] No such file or directory: 'IntermediateComputations/Cluster_0_dict_Kmeans_3.pkl'
BayesianSearch: Testing config: {'weights1': 1.859236964898485, 'weights2': 0.9589452344163283, 'weights3': 1.1913987146296203, 'weights4': 1.5629160177922192, 'weights5': 1.935784993773763, 'weights6': 1.489444202580115} - Exception [Errno 2] No such file or directory: 'IntermediateComputations/Cluster_0_dict_Kmeans_3.pkl'
BayesianSearch: Testing config: {'weights1': 1.665903712472617, 'weights2': 1.307981086349358, 'weights3': 1.2806248923371628, 'weights4': 0.7821535954129151, 'weights5': 0.18886457045500538, 'weights6': 0.596984844183645} - Exception [Errno 2] No such file or directory: 'IntermediateComputations/Cluster_0_dict_Kmeans_3.pkl'
BayesianSearch: Testing config: {'weights1': 0.028645936710655517, 'weights2': 0.49512325579490857, 'weights3': 1.764607323436135, 'weights4': 0.9828619507322334, 'weights5': 1.5592901044039236, 'weights6': 1.0501747610568408} - Exception [Errno 2] No such file or directory: 'IntermediateComputations/Cluster_0_dict_Kmeans_3.pkl'
BayesianSearch: Testing config: {'weights1': 1.2896592914171543, 'weights2': 1.5467579757829986, 'weights3': 0.23749163918283833, 'weights4': 1.6763127297635587, 'weights5': 1.0205704083970584, 'weights6': 0.5479010388964196} - Exception [Errno 2] No such file or directory: 'IntermediateComputations/Cluster_0_dict_Kmeans_3.pkl'
BayesianSearch: Testing config: {'weights1': 0.4128882623132559, 'weights2': 0.9580612154163055, 'weights3': 1.5235819194709863, 'weights4': 0.6886068106986027, 'weights5': 0.9927575805429352, 'weights6': 0.4440277903574765} - Exception [Errno 2] No such file or directory: 'IntermediateComputations/Cluster_0_dict_Kmeans_3.pkl'
BayesianSearch: Testing config: {'weights1': 1.278822646465576, 'weights2': 1.326716331353772, 'weights3': 1.9898980626713818, 'weights4': 1.9927273266712746, 'weights5': 1.2484993397027313, 'weights6': 1.6400343753925053} - Exception [Errno 2] No such file or directory: 'IntermediateComputations/Cluster_0_dict_Kmeans_3.pkl'
BayesianSearch: Testing config: {'weights1': 1.7336683348166022, 'weights2': 0.7380585976571108, 'weights3': 0.32976703143342934, 'weights4': 0.8926158192278753, 'weights5': 0.9004859688071902, 'weights6': 0.534774989536944} - Exception [Errno 2] No such file or directory: 'IntermediateComputations/Cluster_0_dict_Kmeans_3.pkl'
BayesianSearch: New best config found. Config: {'weights1': 0.7175593046860769, 'weights2': 1.3025017058563941, 'weights3': 1.9731813807394545, 'weights4': 0.7630258150062605, 'weights5': 0.4393633625623492, 'weights6': 0.703753500410969} - MAP results: 0.01093022626056652 - time: 2018-12-06 14:09:50.332537
BayesianSearch: New best config found. Config: {'weights1': 1.60626412584349, 'weights2': 1.1918631997835885, 'weights3': 1.1575206790255415, 'weights4': 0.46866811198310976, 'weights5': 0.9671184276762437, 'weights6': 0.3074867937491681} - MAP results: 0.011121469189463377 - time: 2018-12-06 14:16:20.117537
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.04000260177464798, 'weights2': 1.9853348120086776, 'weights3': 0.9336813638520223, 'weights4': 0.6717759502394709, 'weights5': 0.5984661482030529, 'weights6': 0.06565543271439211} - MAP results: 0.011093150561466376 - time: 2018-12-06 14:19:27.438363
BayesianSearch: Config is suboptimal. Config: {'weights1': 1.7753096262712742, 'weights2': 1.702552114248711, 'weights3': 0.38850878792492005, 'weights4': 0.8633503745660127, 'weights5': 1.8147687003287585, 'weights6': 0.6412412277257677} - MAP results: 0.010885887961894363 - time: 2018-12-06 14:22:45.645326
BayesianSearch: Config is suboptimal. Config: {'weights1': 1.1337165879398587, 'weights2': 1.1040097390886536, 'weights3': 0.9895863384966004, 'weights4': 0.6649896539124622, 'weights5': 0.8055321338122481, 'weights6': 0.13853767482081603} - MAP results: 0.011120731585844066 - time: 2018-12-06 14:25:58.113141
BayesianSearch: Config is suboptimal. Config: {'weights1': 1.8763074463109009, 'weights2': 1.2339027563180254, 'weights3': 1.3501104205587644, 'weights4': 0.005366275515725771, 'weights5': 0.034758077161296086, 'weights6': 1.0251304831212038} - MAP results: 0.010968677384003273 - time: 2018-12-06 14:29:04.085831
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.6428280568885714, 'weights2': 1.1275668008895179, 'weights3': 1.6562301338755918, 'weights4': 1.9379330639734256, 'weights5': 0.7623393467156219, 'weights6': 0.36481154620682} - MAP results: 0.011031288885005175 - time: 2018-12-06 14:32:03.906291
BayesianSearch: Config is suboptimal. Config: {'weights1': 1.4718003953965266, 'weights2': 1.8783191455030328, 'weights3': 1.73533384752653, 'weights4': 1.8128523171253361, 'weights5': 0.39625979110181087, 'weights6': 0.6752270351348477} - MAP results: 0.011068627511281643 - time: 2018-12-06 14:35:01.387298
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.29408481639033246, 'weights2': 0.7675482839890773, 'weights3': 1.2121109348226204, 'weights4': 0.06499642267742867, 'weights5': 1.8738673779875339, 'weights6': 0.4709850797281714} - MAP results: 0.010988678580910627 - time: 2018-12-06 14:37:51.198465
BayesianSearch: Config is suboptimal. Config: {'weights1': 1.8510025070424327, 'weights2': 1.7988601596225988, 'weights3': 1.841942589278919, 'weights4': 0.16599540631460763, 'weights5': 1.9342010427165908, 'weights6': 0.48654253682877235} - MAP results: 0.01107677754540357 - time: 2018-12-06 14:41:15.246181
