BayesianSearch: New best config found. Config: {'weights1': 0.4, 'weights2': 0.7000000000000001, 'weights3': 0.6000000000000001, 'weights4': 0.6000000000000001, 'weights5': 0.7000000000000001, 'normalize': True} - MAP results: 0.03760396428571447 - time: 2018-11-30 17:33:45.217115
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2, 'weights2': 0.9, 'weights3': 0.4, 'weights4': 0.6000000000000001, 'weights5': 0.7000000000000001, 'normalize': True} - MAP results: 0.036765261904762134 - time: 2018-11-30 17:33:59.018679
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 0.8, 'weights3': 0.7000000000000001, 'weights4': 0.9, 'weights5': 0.1, 'normalize': True} - MAP results: 0.03705580952380963 - time: 2018-11-30 17:34:12.585611
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 0.6000000000000001, 'weights3': 0.6000000000000001, 'weights4': 0.9, 'weights5': 0.1, 'normalize': True} - MAP results: 0.03733390476190486 - time: 2018-11-30 17:34:26.104426
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2, 'weights2': 0.6000000000000001, 'weights3': 0.1, 'weights4': 0.1, 'weights5': 0.1, 'normalize': True} - MAP results: 0.0363808095238096 - time: 2018-11-30 17:34:39.690808
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 0.30000000000000004, 'weights3': 0.4, 'weights4': 0.9, 'weights5': 0.9, 'normalize': False} - MAP results: 0.03637193253968264 - time: 2018-11-30 17:34:52.932572
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1, 'weights2': 0.1, 'weights3': 0.5, 'weights4': 0.30000000000000004, 'weights5': 0.9, 'normalize': False} - MAP results: 0.03595201587301601 - time: 2018-11-30 17:35:07.545933
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1, 'weights2': 0.7000000000000001, 'weights3': 0.0, 'weights4': 0.0, 'weights5': 0.7000000000000001, 'normalize': True} - MAP results: 0.036126170634920754 - time: 2018-11-30 17:35:21.690431
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.9, 'weights3': 0.4, 'weights4': 0.1, 'weights5': 0.1, 'normalize': False} - MAP results: 0.03653629365079371 - time: 2018-11-30 17:35:35.607455
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 0.2, 'weights3': 0.2, 'weights4': 0.5, 'weights5': 0.5, 'normalize': False} - MAP results: 0.03629578968253982 - time: 2018-11-30 17:35:49.767580
BayesianSearch: New best config found. Config: {'weights1': 0.1, 'weights2': 0.2, 'weights3': 0.7000000000000001, 'weights4': 0.5, 'weights5': 0.4, 'normalize': True} - MAP results: 0.03806544841269853 - time: 2018-11-30 17:36:03.685416
