BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.1, 'weights2': 1.2, 'weights3': 0.4, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.4, 'weights2': 0.9, 'weights3': 0.3, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.5, 'weights2': 0.7, 'weights3': 0.5, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 0.5, 'weights3': 0.3, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.4, 'weights2': 0.7, 'weights3': 0.5, 'normalize': True} - Exception Weights and recommender list have different lenghts
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.5, 'weights2': 0.9, 'weights3': 0.6, 'normalize': False} - results: {'ROC_AUC': 0.4963466071428539, 'PRECISION': 0.17380999999999638, 'RECALL': 0.17380999999999638, 'RECALL_TEST_LEN': 0.17380999999999638, 'MAP': 0.09892947222222148, 'MRR': 0.45480420634920726, 'NDCG': 0.20065366288125516, 'F1': 0.17380999999999638, 'HIT_RATE': 1.7381, 'ARHR': 0.6617395634920646, 'NOVELTY': 0.005556929142743687, 'DIVERSITY_MEAN_INTER_LIST': 0.9869183538353836, 'DIVERSITY_HERFINDAHL': 0.9986819662, 'COVERAGE_ITEM': 0.2259268233583717, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2443931160197298, 'SHANNON_ENTROPY': 10.466567382924383}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0, 'weights2': 1, 'weights3': 0.4, 'normalize': True} - results: {'ROC_AUC': 0.492227968253964, 'PRECISION': 0.17046999999999632, 'RECALL': 0.17046999999999632, 'RECALL_TEST_LEN': 0.17046999999999632, 'MAP': 0.09622646031745945, 'MRR': 0.4495676984126995, 'NDCG': 0.19684661142006515, 'F1': 0.17046999999999632, 'HIT_RATE': 1.7047, 'ARHR': 0.6494428968253987, 'NOVELTY': 0.0055150927182104955, 'DIVERSITY_MEAN_INTER_LIST': 0.9850519711971196, 'DIVERSITY_HERFINDAHL': 0.9984953465999999, 'COVERAGE_ITEM': 0.20222922219529924, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2379252946813608, 'SHANNON_ENTROPY': 10.27147502901472}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 0.9, 'weights3': 0.1, 'normalize': True} - results: {'ROC_AUC': 0.4960346349206321, 'PRECISION': 0.17304999999999604, 'RECALL': 0.17304999999999604, 'RECALL_TEST_LEN': 0.17304999999999604, 'MAP': 0.0999141031746023, 'MRR': 0.4552615079365089, 'NDCG': 0.20073213400691747, 'F1': 0.17304999999999604, 'HIT_RATE': 1.7305, 'ARHR': 0.6643130555555575, 'NOVELTY': 0.005593164024118503, 'DIVERSITY_MEAN_INTER_LIST': 0.9854645184518452, 'DIVERSITY_HERFINDAHL': 0.9985365972, 'COVERAGE_ITEM': 0.2306275745093288, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23721173529411765, 'SHANNON_ENTROPY': 10.414819242890818}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.4, 'weights2': 1, 'weights3': 0.5, 'normalize': False} - results: {'ROC_AUC': 0.49682551587301144, 'PRECISION': 0.17343999999999615, 'RECALL': 0.17343999999999615, 'RECALL_TEST_LEN': 0.17343999999999615, 'MAP': 0.0987130634920625, 'MRR': 0.455080833333334, 'NDCG': 0.20036317162290215, 'F1': 0.17343999999999615, 'HIT_RATE': 1.7344, 'ARHR': 0.661169484126983, 'NOVELTY': 0.005545875075417325, 'DIVERSITY_MEAN_INTER_LIST': 0.9862607380738074, 'DIVERSITY_HERFINDAHL': 0.9986162112, 'COVERAGE_ITEM': 0.21846377513932638, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.242236500332668, 'SHANNON_ENTROPY': 10.403080109450649}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.4, 'normalize': False} - results: {'ROC_AUC': 0.49618088888888595, 'PRECISION': 0.17487999999999643, 'RECALL': 0.17487999999999643, 'RECALL_TEST_LEN': 0.17487999999999643, 'MAP': 0.09999846031745957, 'MRR': 0.4571427777777788, 'NDCG': 0.2019513194963336, 'F1': 0.17487999999999643, 'HIT_RATE': 1.7488, 'ARHR': 0.6662875793650803, 'NOVELTY': 0.005585678773397239, 'DIVERSITY_MEAN_INTER_LIST': 0.9877850105010502, 'DIVERSITY_HERFINDAHL': 0.9987686232, 'COVERAGE_ITEM': 0.2401744608674582, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24762363526326409, 'SHANNON_ENTROPY': 10.570654486903148}
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.2, 'weights2': 0.7, 'weights3': 0, 'normalize': False} - Exception 'NoneType' object is not subscriptable
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.2, 'weights2': 1.5, 'weights3': 0.5, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.2, 'weights2': 1, 'weights3': 0.8, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.4, 'weights2': 0.9, 'weights3': 0.8, 'normalize': True} - results: {'ROC_AUC': 0.027499166666666634, 'PRECISION': 0.012109999999999984, 'RECALL': 0.012109999999999984, 'RECALL_TEST_LEN': 0.012109999999999984, 'MAP': 0.008032301587301583, 'MRR': 0.026233253968253958, 'NDCG': 0.013677082382887602, 'F1': 0.012109999999999982, 'HIT_RATE': 0.1211, 'ARHR': 0.04424083333333333, 'NOVELTY': 0.007904523057651734, 'DIVERSITY_MEAN_INTER_LIST': 0.3951533293329333, 'DIVERSITY_HERFINDAHL': 0.9395113814, 'COVERAGE_ITEM': 0.10007269202810759, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.033412013552758954, 'SHANNON_ENTROPY': 4.6680232864468145}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.1, 'weights2': 0.7, 'weights3': 0.5, 'normalize': True} - results: {'ROC_AUC': 0.027327099206349185, 'PRECISION': 0.011769999999999985, 'RECALL': 0.011769999999999985, 'RECALL_TEST_LEN': 0.011769999999999985, 'MAP': 0.0077118373015872994, 'MRR': 0.02577753968253968, 'NDCG': 0.013295376627892255, 'F1': 0.011769999999999985, 'HIT_RATE': 0.1177, 'ARHR': 0.0430077777777778, 'NOVELTY': 0.007904089851231429, 'DIVERSITY_MEAN_INTER_LIST': 0.3951525412541254, 'DIVERSITY_HERFINDAHL': 0.9395113026, 'COVERAGE_ITEM': 0.09789193118488006, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03332054428500743, 'SHANNON_ENTROPY': 4.666061817849484}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0, 'weights2': 0.7, 'weights3': 0.7, 'normalize': True} - results: {'ROC_AUC': 0.02675163888888888, 'PRECISION': 0.011519999999999978, 'RECALL': 0.011519999999999978, 'RECALL_TEST_LEN': 0.011519999999999978, 'MAP': 0.0073882976190476225, 'MRR': 0.02544365079365079, 'NDCG': 0.012968181297928094, 'F1': 0.01151999999999998, 'HIT_RATE': 0.1152, 'ARHR': 0.04187238095238096, 'NOVELTY': 0.007904100055143467, 'DIVERSITY_MEAN_INTER_LIST': 0.39515238123812385, 'DIVERSITY_HERFINDAHL': 0.9395112865999999, 'COVERAGE_ITEM': 0.09784346983280834, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03326182178217822, 'SHANNON_ENTROPY': 4.665800731553738}
