BayesianSearch: New best config found. Config: {'topK': 150, 'alpha': 0.8794157343607814, 'beta': 0.7974425344220373, 'normalize_similarity': True} - results: {'ROC_AUC': 0.25034335714285727, 'PRECISION': 0.08532000000000398, 'RECALL': 0.08532000000000398, 'RECALL_TEST_LEN': 0.08532000000000398, 'MAP': 0.03939109920634938, 'MRR': 0.1918271825396812, 'NDCG': 0.08892145155370236, 'F1': 0.08532000000000398, 'HIT_RATE': 0.8532, 'ARHR': 0.26956126984126966, 'NOVELTY': 0.007748133609256118, 'DIVERSITY_MEAN_INTER_LIST': 0.9964228022802281, 'DIVERSITY_HERFINDAHL': 0.999632316, 'COVERAGE_ITEM': 0.5478555851708262, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3579852078542367, 'SHANNON_ENTROPY': 12.302898705676274} - time: 2018-11-29 14:49:02.142187
BayesianSearch: New best config found. Config: {'topK': 20, 'alpha': 0.8449171377678637, 'beta': 0.10699651886120654, 'normalize_similarity': False} - results: {'ROC_AUC': 0.4487937896825364, 'PRECISION': 0.14759999999999873, 'RECALL': 0.14759999999999873, 'RECALL_TEST_LEN': 0.14759999999999873, 'MAP': 0.08348110714285616, 'MRR': 0.3957338095238124, 'NDCG': 0.1707752677485347, 'F1': 0.14759999999999873, 'HIT_RATE': 1.476, 'ARHR': 0.5640275396825396, 'NOVELTY': 0.005901428157027772, 'DIVERSITY_MEAN_INTER_LIST': 0.9899624342434243, 'DIVERSITY_HERFINDAHL': 0.9989863438, 'COVERAGE_ITEM': 0.386721589532348, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25660772835484275, 'SHANNON_ENTROPY': 11.182088050371865} - time: 2018-11-29 14:49:21.929557
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'alpha': 1.8712434576145047, 'beta': 0.8747651594642332, 'normalize_similarity': False} - results: {'ROC_AUC': 0.04258319047619044, 'PRECISION': 0.012419999999999863, 'RECALL': 0.012419999999999863, 'RECALL_TEST_LEN': 0.012419999999999863, 'MAP': 0.004861138888888901, 'MRR': 0.028541626984126954, 'NDCG': 0.012369363891333342, 'F1': 0.012419999999999863, 'HIT_RATE': 0.1242, 'ARHR': 0.03601539682539681, 'NOVELTY': 0.008510906779002734, 'DIVERSITY_MEAN_INTER_LIST': 0.9985279527952795, 'DIVERSITY_HERFINDAHL': 0.99984281, 'COVERAGE_ITEM': 0.7099588078507391, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.4823178663572452, 'SHANNON_ENTROPY': 13.165391287933364} - time: 2018-11-29 14:49:45.271491
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'alpha': 0.25149567796156647, 'beta': 1.7851600607119071, 'normalize_similarity': False} - results: {'ROC_AUC': 0.004816246031746033, 'PRECISION': 0.0012799999999999986, 'RECALL': 0.0012799999999999986, 'RECALL_TEST_LEN': 0.0012799999999999986, 'MAP': 0.0008187182539682535, 'MRR': 0.003853690476190476, 'NDCG': 0.0015479969240725041, 'F1': 0.0012799999999999986, 'HIT_RATE': 0.0128, 'ARHR': 0.00526964285714286, 'NOVELTY': 0.009711860946641615, 'DIVERSITY_MEAN_INTER_LIST': 0.9766694709470948, 'DIVERSITY_HERFINDAHL': 0.9976571804, 'COVERAGE_ITEM': 0.12493336564090138, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24189874369910822, 'SHANNON_ENTROPY': 9.611398245709037} - time: 2018-11-29 14:50:14.785047
BayesianSearch: New best config found. Config: {'topK': 400, 'alpha': 1.0825789048031562, 'beta': 0.4745408422962496, 'normalize_similarity': True} - results: {'ROC_AUC': 0.4800252698412657, 'PRECISION': 0.16803999999999664, 'RECALL': 0.16803999999999664, 'RECALL_TEST_LEN': 0.16803999999999664, 'MAP': 0.09416838095237971, 'MRR': 0.43202527777777944, 'NDCG': 0.1919486439138651, 'F1': 0.16803999999999664, 'HIT_RATE': 1.6804, 'ARHR': 0.6279716269841279, 'NOVELTY': 0.005798512218283831, 'DIVERSITY_MEAN_INTER_LIST': 0.9874086968696869, 'DIVERSITY_HERFINDAHL': 0.9987309956, 'COVERAGE_ITEM': 0.40009692270414343, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2162609712970813, 'SHANNON_ENTROPY': 10.87707465295727} - time: 2018-11-29 14:50:46.643783
BayesianSearch: New best config found. Config: {'topK': 20, 'alpha': 0.2305214035192471, 'beta': 0.20034959767127458, 'normalize_similarity': True} - results: {'ROC_AUC': 0.4857001111111078, 'PRECISION': 0.16546999999999645, 'RECALL': 0.16546999999999645, 'RECALL_TEST_LEN': 0.16546999999999645, 'MAP': 0.09427101984126869, 'MRR': 0.43531079365079484, 'NDCG': 0.19099491092711687, 'F1': 0.16546999999999645, 'HIT_RATE': 1.6547, 'ARHR': 0.6296104761904768, 'NOVELTY': 0.005737466316161554, 'DIVERSITY_MEAN_INTER_LIST': 0.9909165996599659, 'DIVERSITY_HERFINDAHL': 0.9990817508, 'COVERAGE_ITEM': 0.295808093045796, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.27466452416052417, 'SHANNON_ENTROPY': 11.017619497373117} - time: 2018-11-29 14:51:07.895574
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'alpha': 1.5991628293274045, 'beta': 0.14374489500068854, 'normalize_similarity': False} - results: {'ROC_AUC': 0.2270635753968259, 'PRECISION': 0.06775000000000314, 'RECALL': 0.06775000000000314, 'RECALL_TEST_LEN': 0.06775000000000314, 'MAP': 0.03519605158730178, 'MRR': 0.1809321428571415, 'NDCG': 0.07582365401387214, 'F1': 0.06775000000000314, 'HIT_RATE': 0.6775, 'ARHR': 0.2443482539682542, 'NOVELTY': 0.006842688779529147, 'DIVERSITY_MEAN_INTER_LIST': 0.9984646824682467, 'DIVERSITY_HERFINDAHL': 0.9998364836, 'COVERAGE_ITEM': 0.6932881027380664, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.48566288949465297, 'SHANNON_ENTROPY': 13.135010525163556} - time: 2018-11-29 14:51:33.897237
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'alpha': 1.7384336017942912, 'beta': 0.34316622289808185, 'normalize_similarity': True} - results: {'ROC_AUC': 0.46877405952380485, 'PRECISION': 0.15388999999999736, 'RECALL': 0.15388999999999736, 'RECALL_TEST_LEN': 0.15388999999999736, 'MAP': 0.08608404761904669, 'MRR': 0.4146302380952402, 'NDCG': 0.17791343995705247, 'F1': 0.15388999999999736, 'HIT_RATE': 1.5389, 'ARHR': 0.5873123412698414, 'NOVELTY': 0.00600720225625083, 'DIVERSITY_MEAN_INTER_LIST': 0.9920182978297829, 'DIVERSITY_HERFINDAHL': 0.9991919096, 'COVERAGE_ITEM': 0.38308698812696873, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.273439124715406, 'SHANNON_ENTROPY': 11.324794928444057} - time: 2018-11-29 14:51:52.122541
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': True} - results: {'ROC_AUC': 0.45517316666666513, 'PRECISION': 0.14533999999999822, 'RECALL': 0.14533999999999822, 'RECALL_TEST_LEN': 0.14533999999999822, 'MAP': 0.07707851190476157, 'MRR': 0.3945077777777807, 'NDCG': 0.16629499542936682, 'F1': 0.14533999999999822, 'HIT_RATE': 1.4534, 'ARHR': 0.5449400793650834, 'NOVELTY': 0.0052845815306731, 'DIVERSITY_MEAN_INTER_LIST': 0.9674566416641663, 'DIVERSITY_HERFINDAHL': 0.9967359896, 'COVERAGE_ITEM': 0.1207172280106615, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.17513841091492777, 'SHANNON_ENTROPY': 9.085442638652552} - time: 2018-11-29 14:52:19.232790
BayesianSearch: Config is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: {'ROC_AUC': 0.39563478968253796, 'PRECISION': 0.11529000000000365, 'RECALL': 0.11529000000000365, 'RECALL_TEST_LEN': 0.11529000000000365, 'MAP': 0.05695994047619042, 'MRR': 0.326781150793652, 'NDCG': 0.13104041146561504, 'F1': 0.11529000000000365, 'HIT_RATE': 1.1529, 'ARHR': 0.4276983730158766, 'NOVELTY': 0.005244672281925043, 'DIVERSITY_MEAN_INTER_LIST': 0.9624786678667867, 'DIVERSITY_HERFINDAHL': 0.996238242, 'COVERAGE_ITEM': 0.098425006057669, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.17339438976377955, 'SHANNON_ENTROPY': 8.808329104574945} - time: 2018-11-29 14:52:50.470925
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'alpha': 2.0, 'beta': 2.0, 'normalize_similarity': True} - results: {'ROC_AUC': 0.0071133095238095235, 'PRECISION': 0.0018800000000000004, 'RECALL': 0.0018800000000000004, 'RECALL_TEST_LEN': 0.0018800000000000004, 'MAP': 0.000998400793650793, 'MRR': 0.005326031746031751, 'NDCG': 0.0021138716369867327, 'F1': 0.0018800000000000004, 'HIT_RATE': 0.0188, 'ARHR': 0.006844246031746035, 'NOVELTY': 0.009546353633727819, 'DIVERSITY_MEAN_INTER_LIST': 0.9839961096109611, 'DIVERSITY_HERFINDAHL': 0.998389771, 'COVERAGE_ITEM': 0.18139084080445844, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24014894764957267, 'SHANNON_ENTROPY': 10.145536324415376} - time: 2018-11-29 14:53:50.208524
