BayesianSearch: Testing config: {'topK': 200, 'shrink': 200, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7036023186976204} - Exception too many indices for array
BayesianSearch: New best config found. Config: {'topK': 20, 'shrink': 500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7623792023186278} - results: {'ROC_AUC': 0.370476277777776, 'PRECISION': 0.11944000000000213, 'RECALL': 0.11944000000000213, 'RECALL_TEST_LEN': 0.11944000000000213, 'MAP': 0.06726626190476188, 'MRR': 0.3239475000000014, 'NDCG': 0.13829719658643008, 'F1': 0.11944000000000213, 'HIT_RATE': 1.1944, 'ARHR': 0.4571383333333364, 'NOVELTY': 0.00597960024504295, 'DIVERSITY_MEAN_INTER_LIST': 0.995436611661166, 'DIVERSITY_HERFINDAHL': 0.9995337068, 'COVERAGE_ITEM': 0.49304579597770776, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3242101326781327, 'SHANNON_ENTROPY': 11.988343124630473} - time: 2018-11-30 10:59:06.699295
BayesianSearch: New best config found. Config: {'topK': 20, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.47263315146363105} - results: {'ROC_AUC': 0.389890515873014, 'PRECISION': 0.12641000000000058, 'RECALL': 0.12641000000000058, 'RECALL_TEST_LEN': 0.12641000000000058, 'MAP': 0.0712685515873012, 'MRR': 0.34061277777777926, 'NDCG': 0.14627332958728076, 'F1': 0.12641000000000058, 'HIT_RATE': 1.2641, 'ARHR': 0.4830169444444473, 'NOVELTY': 0.005871429462876542, 'DIVERSITY_MEAN_INTER_LIST': 0.9948546934693469, 'DIVERSITY_HERFINDAHL': 0.9994755208, 'COVERAGE_ITEM': 0.4591713108795735, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.30547423174335164, 'SHANNON_ENTROPY': 11.801802523857326} - time: 2018-11-30 10:59:49.369865
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 100, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.594541139137122} - results: {'ROC_AUC': 0.47043974603174177, 'PRECISION': 0.15815999999999678, 'RECALL': 0.15815999999999678, 'RECALL_TEST_LEN': 0.15815999999999678, 'MAP': 0.08895826984126903, 'MRR': 0.42465396825397084, 'NDCG': 0.18310121753960848, 'F1': 0.15815999999999678, 'HIT_RATE': 1.5816, 'ARHR': 0.6052862698412705, 'NOVELTY': 0.005657554411816186, 'DIVERSITY_MEAN_INTER_LIST': 0.9914484808480848, 'DIVERSITY_HERFINDAHL': 0.9991349336, 'COVERAGE_ITEM': 0.30705112672643564, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2674739719109989, 'SHANNON_ENTROPY': 11.043862315047253} - time: 2018-11-30 11:00:41.186237
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 300, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9280805928748543} - results: {'ROC_AUC': 0.4862726349206318, 'PRECISION': 0.16247999999999674, 'RECALL': 0.16247999999999674, 'RECALL_TEST_LEN': 0.16247999999999674, 'MAP': 0.09042309920634836, 'MRR': 0.43542611111111373, 'NDCG': 0.18778809556290507, 'F1': 0.16247999999999674, 'HIT_RATE': 1.6248, 'ARHR': 0.6198293650793655, 'NOVELTY': 0.005521471274142115, 'DIVERSITY_MEAN_INTER_LIST': 0.9874321832183218, 'DIVERSITY_HERFINDAHL': 0.998733344, 'COVERAGE_ITEM': 0.22258299006542281, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24299468001741403, 'SHANNON_ENTROPY': 10.45753805921457} - time: 2018-11-30 11:01:33.523604
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.445285240098378} - results: {'ROC_AUC': 0.47051367857142484, 'PRECISION': 0.158329999999997, 'RECALL': 0.158329999999997, 'RECALL_TEST_LEN': 0.158329999999997, 'MAP': 0.0889688253968246, 'MRR': 0.4242798015873035, 'NDCG': 0.18316114999726416, 'F1': 0.158329999999997, 'HIT_RATE': 1.5833, 'ARHR': 0.6051193253968249, 'NOVELTY': 0.005664617069360289, 'DIVERSITY_MEAN_INTER_LIST': 0.9915843884388439, 'DIVERSITY_HERFINDAHL': 0.999148523, 'COVERAGE_ITEM': 0.30889265810516114, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.26973635450980393, 'SHANNON_ENTROPY': 11.065406255671558} - time: 2018-11-30 11:02:22.435254
BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'shrink': 300, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4303032546130443} - results: {'ROC_AUC': 0.47590648015872855, 'PRECISION': 0.15253999999999737, 'RECALL': 0.15253999999999737, 'RECALL_TEST_LEN': 0.15253999999999737, 'MAP': 0.08239940873015815, 'MRR': 0.41935996031746325, 'NDCG': 0.1763085773445666, 'F1': 0.15253999999999737, 'HIT_RATE': 1.5254, 'ARHR': 0.5821684126984165, 'NOVELTY': 0.005372348222295831, 'DIVERSITY_MEAN_INTER_LIST': 0.9795183758375838, 'DIVERSITY_HERFINDAHL': 0.9979420424, 'COVERAGE_ITEM': 0.14359098618851465, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.21497525641025642, 'SHANNON_ENTROPY': 9.676992294865498} - time: 2018-11-30 11:03:20.489056
BayesianSearch: Config is suboptimal. Config: {'topK': 5, 'shrink': 300, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.229695592186542} - results: {'ROC_AUC': 0.23979972222222282, 'PRECISION': 0.07198000000000292, 'RECALL': 0.07198000000000292, 'RECALL_TEST_LEN': 0.07198000000000292, 'MAP': 0.03900455555555588, 'MRR': 0.19840757936507838, 'NDCG': 0.08263216068446637, 'F1': 0.07198000000000292, 'HIT_RATE': 0.7198, 'ARHR': 0.27124805555555553, 'NOVELTY': 0.006351937324228778, 'DIVERSITY_MEAN_INTER_LIST': 0.9688888808880889, 'DIVERSITY_HERFINDAHL': 0.9968791992, 'COVERAGE_ITEM': 0.5623455294402714, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.31895855924170613, 'SHANNON_ENTROPY': 11.519563365267933} - time: 2018-11-30 11:04:05.152407
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4579256706249799} - results: {'ROC_AUC': 0.48788965873015505, 'PRECISION': 0.16380999999999665, 'RECALL': 0.16380999999999665, 'RECALL_TEST_LEN': 0.16380999999999665, 'MAP': 0.09123388095238026, 'MRR': 0.4384396825396841, 'NDCG': 0.18924110890328885, 'F1': 0.16380999999999665, 'HIT_RATE': 1.6381, 'ARHR': 0.6245296428571417, 'NOVELTY': 0.0055266033967946515, 'DIVERSITY_MEAN_INTER_LIST': 0.9876347934793479, 'DIVERSITY_HERFINDAHL': 0.998753603, 'COVERAGE_ITEM': 0.22447298279622002, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24455396935031298, 'SHANNON_ENTROPY': 10.480006355372677} - time: 2018-11-30 11:04:57.150243
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 10, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9997056724589686} - results: {'ROC_AUC': 0.4691806349206317, 'PRECISION': 0.14738999999999833, 'RECALL': 0.14738999999999833, 'RECALL_TEST_LEN': 0.14738999999999833, 'MAP': 0.07890871825396766, 'MRR': 0.4075458333333365, 'NDCG': 0.1701785912513733, 'F1': 0.14738999999999833, 'HIT_RATE': 1.4739, 'ARHR': 0.5614567063492092, 'NOVELTY': 0.005334191215654361, 'DIVERSITY_MEAN_INTER_LIST': 0.9763649164916491, 'DIVERSITY_HERFINDAHL': 0.997626728, 'COVERAGE_ITEM': 0.13171795493094257, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.20325549834497975, 'SHANNON_ENTROPY': 9.467677284831948} - time: 2018-11-30 11:06:58.682953
BayesianSearch: Config is suboptimal. Config: {'topK': 400, 'shrink': 200, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9948910569660705} - results: {'ROC_AUC': 0.4802404880952352, 'PRECISION': 0.1555899999999972, 'RECALL': 0.1555899999999972, 'RECALL_TEST_LEN': 0.1555899999999972, 'MAP': 0.08483700396825314, 'MRR': 0.42479873015873265, 'NDCG': 0.17984319804385304, 'F1': 0.1555899999999972, 'HIT_RATE': 1.5559, 'ARHR': 0.5938044841269866, 'NOVELTY': 0.005423419638772991, 'DIVERSITY_MEAN_INTER_LIST': 0.9829154695469546, 'DIVERSITY_HERFINDAHL': 0.9982817178, 'COVERAGE_ITEM': 0.17048703658832082, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.22203124751349815, 'SHANNON_ENTROPY': 9.96042302000729} - time: 2018-11-30 11:07:58.208295
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.010773676608907712} - results: {'ROC_AUC': 0.47370891269840976, 'PRECISION': 0.1561999999999973, 'RECALL': 0.1561999999999973, 'RECALL_TEST_LEN': 0.1561999999999973, 'MAP': 0.08597126984126914, 'MRR': 0.4225176190476211, 'NDCG': 0.18048989752829075, 'F1': 0.1561999999999973, 'HIT_RATE': 1.562, 'ARHR': 0.5958130555555571, 'NOVELTY': 0.005546583234317192, 'DIVERSITY_MEAN_INTER_LIST': 0.9871798499849985, 'DIVERSITY_HERFINDAHL': 0.9987081132, 'COVERAGE_ITEM': 0.20697843469832808, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24964036048689137, 'SHANNON_ENTROPY': 10.407816109664047} - time: 2018-11-30 11:09:00.931065
