BayesianSearch: Testing config: {'topK': 150, 'shrink': 50, 'similarity': 'dice', 'normalize': True} - Exception too many indices for array
BayesianSearch: New best config found. Config: {'topK': 300, 'shrink': 200, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.4887987539682509, 'PRECISION': 0.16041999999999712, 'RECALL': 0.16041999999999712, 'RECALL_TEST_LEN': 0.16041999999999712, 'MAP': 0.08868851984126859, 'MRR': 0.4351553571428584, 'NDCG': 0.18571972427889705, 'F1': 0.16041999999999712, 'HIT_RATE': 1.6042, 'ARHR': 0.613833571428572, 'NOVELTY': 0.005466050293371142, 'DIVERSITY_MEAN_INTER_LIST': 0.9851034123412341, 'DIVERSITY_HERFINDAHL': 0.9985004902, 'COVERAGE_ITEM': 0.19098618851465957, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23266955352612886, 'SHANNON_ENTROPY': 10.185089192524593} - time: 2018-11-30 10:58:07.808341
BayesianSearch: New best config found. Config: {'topK': 400, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.48598932142856804, 'PRECISION': 0.16077999999999668, 'RECALL': 0.16077999999999668, 'RECALL_TEST_LEN': 0.16077999999999668, 'MAP': 0.08844496825396715, 'MRR': 0.43405706349206613, 'NDCG': 0.1856766235627234, 'F1': 0.16077999999999668, 'HIT_RATE': 1.6078, 'ARHR': 0.6126584523809518, 'NOVELTY': 0.005468884798177665, 'DIVERSITY_MEAN_INTER_LIST': 0.984975099509951, 'DIVERSITY_HERFINDAHL': 0.9984876602, 'COVERAGE_ITEM': 0.18803004603828447, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23363412522545735, 'SHANNON_ENTROPY': 10.170634800361821} - time: 2018-11-30 10:59:07.927357
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 10, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.4358976626984103, 'PRECISION': 0.14690999999999815, 'RECALL': 0.14690999999999815, 'RECALL_TEST_LEN': 0.14690999999999815, 'MAP': 0.08406378968253908, 'MRR': 0.39176349206349403, 'NDCG': 0.17041800185963513, 'F1': 0.14690999999999815, 'HIT_RATE': 1.4691, 'ARHR': 0.563970952380953, 'NOVELTY': 0.00574784091971774, 'DIVERSITY_MEAN_INTER_LIST': 0.9930548854885488, 'DIVERSITY_HERFINDAHL': 0.999295558, 'COVERAGE_ITEM': 0.38444390598497696, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.27795624401310814, 'SHANNON_ENTROPY': 11.399205462662666} - time: 2018-11-30 10:59:48.086640
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.48548323809523436, 'PRECISION': 0.16249999999999667, 'RECALL': 0.16249999999999667, 'RECALL_TEST_LEN': 0.16249999999999667, 'MAP': 0.0904374484126975, 'MRR': 0.4352672222222244, 'NDCG': 0.18777339837923646, 'F1': 0.16249999999999667, 'HIT_RATE': 1.625, 'ARHR': 0.6197363888888885, 'NOVELTY': 0.005520231301110126, 'DIVERSITY_MEAN_INTER_LIST': 0.9873809260926092, 'DIVERSITY_HERFINDAHL': 0.9987282188, 'COVERAGE_ITEM': 0.2220983765447056, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24268611692844677, 'SHANNON_ENTROPY': 10.45236366500742} - time: 2018-11-30 11:00:35.852357
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 50, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.44833221428571135, 'PRECISION': 0.15058999999999775, 'RECALL': 0.15058999999999775, 'RECALL_TEST_LEN': 0.15058999999999775, 'MAP': 0.0861273531746025, 'MRR': 0.40433519841270044, 'NDCG': 0.17502754014655947, 'F1': 0.15058999999999775, 'HIT_RATE': 1.5059, 'ARHR': 0.5801439682539687, 'NOVELTY': 0.005716224773625279, 'DIVERSITY_MEAN_INTER_LIST': 0.992615909590959, 'DIVERSITY_HERFINDAHL': 0.9992516648, 'COVERAGE_ITEM': 0.3623455294402714, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2748054560042792, 'SHANNON_ENTROPY': 11.302662741428279} - time: 2018-11-30 11:01:20.686123
BayesianSearch: Config is suboptimal. Config: {'topK': 400, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.48469701984126523, 'PRECISION': 0.15721999999999717, 'RECALL': 0.15721999999999717, 'RECALL_TEST_LEN': 0.15721999999999717, 'MAP': 0.08614257142857058, 'MRR': 0.43033400793651033, 'NDCG': 0.1821116211101413, 'F1': 0.15721999999999717, 'HIT_RATE': 1.5722, 'ARHR': 0.6022625000000009, 'NOVELTY': 0.005425805226529574, 'DIVERSITY_MEAN_INTER_LIST': 0.9830180358035804, 'DIVERSITY_HERFINDAHL': 0.9982919734, 'COVERAGE_ITEM': 0.16903319602616912, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2256284494124391, 'SHANNON_ENTROPY': 9.972750349864171} - time: 2018-11-30 11:02:11.003794
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 500, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.3245164365079353, 'PRECISION': 0.10246000000000481, 'RECALL': 0.10246000000000481, 'RECALL_TEST_LEN': 0.10246000000000481, 'MAP': 0.05665601190476199, 'MRR': 0.27728916666666675, 'NDCG': 0.11788125698491932, 'F1': 0.10246000000000481, 'HIT_RATE': 1.0246, 'ARHR': 0.38770285714285957, 'NOVELTY': 0.006035399523779391, 'DIVERSITY_MEAN_INTER_LIST': 0.9951460306030603, 'DIVERSITY_HERFINDAHL': 0.9995046516, 'COVERAGE_ITEM': 0.5149503271141265, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.32788544838618616, 'SHANNON_ENTROPY': 12.044500301900246} - time: 2018-11-30 11:02:51.933061
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 100, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.32879652380952235, 'PRECISION': 0.103570000000005, 'RECALL': 0.103570000000005, 'RECALL_TEST_LEN': 0.103570000000005, 'MAP': 0.057287317460317545, 'MRR': 0.28307253968254104, 'NDCG': 0.11949597116485237, 'F1': 0.103570000000005, 'HIT_RATE': 1.0357, 'ARHR': 0.3940194841269876, 'NOVELTY': 0.006016472354841264, 'DIVERSITY_MEAN_INTER_LIST': 0.9952323712371237, 'DIVERSITY_HERFINDAHL': 0.9995132848, 'COVERAGE_ITEM': 0.51083111218803, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3234228552456839, 'SHANNON_ENTROPY': 12.020022868908313} - time: 2018-11-30 11:03:32.531325
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 500, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.4783596349206315, 'PRECISION': 0.16089999999999707, 'RECALL': 0.16089999999999707, 'RECALL_TEST_LEN': 0.16089999999999707, 'MAP': 0.09104273015872968, 'MRR': 0.43230067460317734, 'NDCG': 0.18668368833363055, 'F1': 0.16089999999999707, 'HIT_RATE': 1.609, 'ARHR': 0.6180290079365094, 'NOVELTY': 0.005613214049939953, 'DIVERSITY_MEAN_INTER_LIST': 0.9903897689768977, 'DIVERSITY_HERFINDAHL': 0.999029073, 'COVERAGE_ITEM': 0.2865519748000969, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2583496043287115, 'SHANNON_ENTROPY': 10.890285484883226} - time: 2018-11-30 11:04:16.187391
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 100, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.4870620912698371, 'PRECISION': 0.16353999999999677, 'RECALL': 0.16353999999999677, 'RECALL_TEST_LEN': 0.16353999999999677, 'MAP': 0.09100910714285641, 'MRR': 0.4378059523809545, 'NDCG': 0.18887204790413378, 'F1': 0.16353999999999677, 'HIT_RATE': 1.6354, 'ARHR': 0.6231724603174588, 'NOVELTY': 0.005523835774185148, 'DIVERSITY_MEAN_INTER_LIST': 0.9875339353935394, 'DIVERSITY_HERFINDAHL': 0.9987435182, 'COVERAGE_ITEM': 0.22267991276956628, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24446670583115754, 'SHANNON_ENTROPY': 10.467960537907288} - time: 2018-11-30 11:05:12.462547
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.4733650119047594, 'PRECISION': 0.15166999999999797, 'RECALL': 0.15166999999999797, 'RECALL_TEST_LEN': 0.15166999999999797, 'MAP': 0.08169715873015791, 'MRR': 0.41802789682539987, 'NDCG': 0.17529584441035986, 'F1': 0.15166999999999797, 'HIT_RATE': 1.5167, 'ARHR': 0.578905714285715, 'NOVELTY': 0.005368150566825231, 'DIVERSITY_MEAN_INTER_LIST': 0.9790696449644964, 'DIVERSITY_HERFINDAHL': 0.9978971738, 'COVERAGE_ITEM': 0.13661255149018658, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2177920283687943, 'SHANNON_ENTROPY': 9.63157659838105} - time: 2018-11-30 11:06:57.647801
