BayesianSearch: New best config found. Config: {'topK': 10, 'shrink': 300, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.10579328929021226, 'tversky_beta': 1.9655341528480705} - results: {'ROC_AUC': 0.3283524603174587, 'PRECISION': 0.10347000000000493, 'RECALL': 0.10347000000000493, 'RECALL_TEST_LEN': 0.10347000000000493, 'MAP': 0.05742593650793647, 'MRR': 0.282533650793652, 'NDCG': 0.1194427764646709, 'F1': 0.10347000000000495, 'HIT_RATE': 1.0347, 'ARHR': 0.3939979761904797, 'NOVELTY': 0.00601875414730336, 'DIVERSITY_MEAN_INTER_LIST': 0.9951887788778878, 'DIVERSITY_HERFINDAHL': 0.999508926, 'COVERAGE_ITEM': 0.5127211049188273, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.32337174558170306, 'SHANNON_ENTROPY': 12.021975807494897} - time: 2018-11-30 11:41:37.198524
BayesianSearch: New best config found. Config: {'topK': 400, 'shrink': 500, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8440472399954702, 'tversky_beta': 0.03129577001733996} - results: {'ROC_AUC': 0.48500909920634466, 'PRECISION': 0.1571799999999972, 'RECALL': 0.1571799999999972, 'RECALL_TEST_LEN': 0.1571799999999972, 'MAP': 0.08618331349206268, 'MRR': 0.43059488095238313, 'NDCG': 0.182148089902848, 'F1': 0.1571799999999972, 'HIT_RATE': 1.5718, 'ARHR': 0.6025756349206363, 'NOVELTY': 0.005426042455454754, 'DIVERSITY_MEAN_INTER_LIST': 0.9830342194219421, 'DIVERSITY_HERFINDAHL': 0.9982935916, 'COVERAGE_ITEM': 0.16908165737824085, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2257121318051576, 'SHANNON_ENTROPY': 9.973790895976895} - time: 2018-11-30 11:42:39.849727
BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'shrink': 200, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7534591094817829, 'tversky_beta': 0.6917469785898838} - results: {'ROC_AUC': 0.47601386507936333, 'PRECISION': 0.15279999999999744, 'RECALL': 0.15279999999999744, 'RECALL_TEST_LEN': 0.15279999999999744, 'MAP': 0.0825274126984122, 'MRR': 0.4197569841269872, 'NDCG': 0.17656247891262172, 'F1': 0.15279999999999744, 'HIT_RATE': 1.528, 'ARHR': 0.5828981746031787, 'NOVELTY': 0.005373478864297493, 'DIVERSITY_MEAN_INTER_LIST': 0.9795972177217721, 'DIVERSITY_HERFINDAHL': 0.9979499258, 'COVERAGE_ITEM': 0.14446329052580567, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.21480568075117373, 'SHANNON_ENTROPY': 9.683894246859444} - time: 2018-11-30 11:43:32.624715
BayesianSearch: Config is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2708659982178634, 'tversky_beta': 0.12041025665115934} - results: {'ROC_AUC': 0.25350398015873016, 'PRECISION': 0.07759000000000327, 'RECALL': 0.07759000000000327, 'RECALL_TEST_LEN': 0.07759000000000327, 'MAP': 0.04192959523809557, 'MRR': 0.21428492063491944, 'NDCG': 0.08911091133952141, 'F1': 0.07759000000000327, 'HIT_RATE': 0.7759, 'ARHR': 0.29288845238095335, 'NOVELTY': 0.0062442563603591, 'DIVERSITY_MEAN_INTER_LIST': 0.9864523852385239, 'DIVERSITY_HERFINDAHL': 0.998635374, 'COVERAGE_ITEM': 0.558565543978677, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.33331677452936587, 'SHANNON_ENTROPY': 11.913087202057115} - time: 2018-11-30 11:44:15.800190
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 300, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8063713502489345, 'tversky_beta': 1.7145739648529839} - results: {'ROC_AUC': 0.46975338888888757, 'PRECISION': 0.14878999999999834, 'RECALL': 0.14878999999999834, 'RECALL_TEST_LEN': 0.14878999999999834, 'MAP': 0.07974167063492023, 'MRR': 0.4107698412698449, 'NDCG': 0.1718299621395767, 'F1': 0.14878999999999834, 'HIT_RATE': 1.4879, 'ARHR': 0.5669982936507973, 'NOVELTY': 0.005338258304143883, 'DIVERSITY_MEAN_INTER_LIST': 0.9766418941894189, 'DIVERSITY_HERFINDAHL': 0.997654423, 'COVERAGE_ITEM': 0.12992488490428883, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.20676887397464577, 'SHANNON_ENTROPY': 9.478187982101666} - time: 2018-11-30 11:45:08.109846
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 50, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.48999144722109667, 'tversky_beta': 1.9408252182995755} - results: {'ROC_AUC': 0.4682172738095218, 'PRECISION': 0.1591299999999977, 'RECALL': 0.1591299999999977, 'RECALL_TEST_LEN': 0.1591299999999977, 'MAP': 0.0903711111111101, 'MRR': 0.4233641269841297, 'NDCG': 0.18420066893920303, 'F1': 0.1591299999999977, 'HIT_RATE': 1.5913, 'ARHR': 0.6086414682539697, 'NOVELTY': 0.005646315104181849, 'DIVERSITY_MEAN_INTER_LIST': 0.9910813601360137, 'DIVERSITY_HERFINDAHL': 0.9990982252, 'COVERAGE_ITEM': 0.3081172764720136, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2621724139015569, 'SHANNON_ENTROPY': 11.01135965252804} - time: 2018-11-30 11:45:49.568382
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 500, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8956475270878625, 'tversky_beta': 1.164444509318448} - results: {'ROC_AUC': 0.47831334920634533, 'PRECISION': 0.1608999999999971, 'RECALL': 0.1608999999999971, 'RECALL_TEST_LEN': 0.1608999999999971, 'MAP': 0.09102809126984074, 'MRR': 0.4319531746031771, 'NDCG': 0.1866271342009306, 'F1': 0.1608999999999971, 'HIT_RATE': 1.609, 'ARHR': 0.6176921031746044, 'NOVELTY': 0.005613265739020413, 'DIVERSITY_MEAN_INTER_LIST': 0.9903924312431244, 'DIVERSITY_HERFINDAHL': 0.9990293392, 'COVERAGE_ITEM': 0.28679428156045556, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25822214901165735, 'SHANNON_ENTROPY': 10.890707986704687} - time: 2018-11-30 11:46:25.867629
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 200, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.297400771279051, 'tversky_beta': 0.9676206253716733} - results: {'ROC_AUC': 0.47901813888888567, 'PRECISION': 0.16116999999999718, 'RECALL': 0.16116999999999718, 'RECALL_TEST_LEN': 0.16116999999999718, 'MAP': 0.09133840476190391, 'MRR': 0.43318642857143147, 'NDCG': 0.18707685682624578, 'F1': 0.16116999999999718, 'HIT_RATE': 1.6117, 'ARHR': 0.6195375793650814, 'NOVELTY': 0.0056148720506316, 'DIVERSITY_MEAN_INTER_LIST': 0.9904164356435644, 'DIVERSITY_HERFINDAHL': 0.9990317394, 'COVERAGE_ITEM': 0.2867458202083838, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2591395268671849, 'SHANNON_ENTROPY': 10.895621077524542} - time: 2018-11-30 11:46:59.145804
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: {'ROC_AUC': 0.48523637301586997, 'PRECISION': 0.1594299999999971, 'RECALL': 0.1594299999999971, 'RECALL_TEST_LEN': 0.1594299999999971, 'MAP': 0.08752766666666585, 'MRR': 0.4310378968253996, 'NDCG': 0.18404339297190309, 'F1': 0.1594299999999971, 'HIT_RATE': 1.5943, 'ARHR': 0.6070826984127011, 'NOVELTY': 0.005438895389240825, 'DIVERSITY_MEAN_INTER_LIST': 0.983406498649865, 'DIVERSITY_HERFINDAHL': 0.9983308158, 'COVERAGE_ITEM': 0.17140780227768354, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.228376076879593, 'SHANNON_ENTROPY': 10.01059491307411} - time: 2018-11-30 11:47:40.087501
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9352945466128122, 'tversky_beta': 1.9901971789138404} - results: {'ROC_AUC': 0.4857262341269801, 'PRECISION': 0.16254999999999675, 'RECALL': 0.16254999999999675, 'RECALL_TEST_LEN': 0.16254999999999675, 'MAP': 0.09046373412698314, 'MRR': 0.4353624603174624, 'NDCG': 0.18782284815236927, 'F1': 0.16254999999999675, 'HIT_RATE': 1.6255, 'ARHR': 0.6198635317460315, 'NOVELTY': 0.0055207264562174676, 'DIVERSITY_MEAN_INTER_LIST': 0.9873939413941395, 'DIVERSITY_HERFINDAHL': 0.9987295202, 'COVERAGE_ITEM': 0.22248606736127938, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2426097691637631, 'SHANNON_ENTROPY': 10.454221819494226} - time: 2018-11-30 11:48:19.115607
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.5321644397879533e-11, 'tversky_beta': 2.0} - results: {'ROC_AUC': 0.47402070238095084, 'PRECISION': 0.1564799999999972, 'RECALL': 0.1564799999999972, 'RECALL_TEST_LEN': 0.1564799999999972, 'MAP': 0.0863443333333325, 'MRR': 0.42290007936508156, 'NDCG': 0.18081314584985375, 'F1': 0.1564799999999972, 'HIT_RATE': 1.5648, 'ARHR': 0.5968758333333337, 'NOVELTY': 0.005546115768607835, 'DIVERSITY_MEAN_INTER_LIST': 0.987169698969897, 'DIVERSITY_HERFINDAHL': 0.9987070982, 'COVERAGE_ITEM': 0.20814150714804944, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24855283519553073, 'SHANNON_ENTROPY': 10.408670438666151} - time: 2018-11-30 11:49:02.723236
