BayesianSearch: New best config found. Config: {'weights1': 0, 'weights2': 1.5, 'weights3': 0.4, 'weights4': 0.6000000000000001, 'normalize': True} - results: {'ROC_AUC': 0.48709527380951967, 'PRECISION': 0.16317999999999663, 'RECALL': 0.16317999999999663, 'RECALL_TEST_LEN': 0.16317999999999663, 'MAP': 0.09175753174603088, 'MRR': 0.43596769841270006, 'NDCG': 0.18877284786626697, 'F1': 0.16317999999999663, 'HIT_RATE': 1.6318, 'ARHR': 0.6234373809523798, 'NOVELTY': 0.005509637625681496, 'DIVERSITY_MEAN_INTER_LIST': 0.9822880068006801, 'DIVERSITY_HERFINDAHL': 0.9982189778, 'COVERAGE_ITEM': 0.18269929731039497, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.22709869530628482, 'SHANNON_ENTROPY': 10.052196587368343}
BayesianSearch: New best config found. Config: {'weights1': 0.4, 'weights2': 1.2, 'weights3': 1.0, 'weights4': 0.9, 'normalize': False} - results: {'ROC_AUC': 0.494793988095236, 'PRECISION': 0.16908999999999677, 'RECALL': 0.16908999999999677, 'RECALL_TEST_LEN': 0.16908999999999677, 'MAP': 0.0965375555555547, 'MRR': 0.44752380952381143, 'NDCG': 0.19580642137229443, 'F1': 0.16908999999999677, 'HIT_RATE': 1.6909, 'ARHR': 0.6471802777777766, 'NOVELTY': 0.005541967621471456, 'DIVERSITY_MEAN_INTER_LIST': 0.9840761936193618, 'DIVERSITY_HERFINDAHL': 0.9983977786, 'COVERAGE_ITEM': 0.19563847831354494, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23223935611688956, 'SHANNON_ENTROPY': 10.189986011792323}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 1.5, 'weights3': 0.30000000000000004, 'weights4': 0.8, 'normalize': False} - results: {'ROC_AUC': 0.49436080952380673, 'PRECISION': 0.1677899999999966, 'RECALL': 0.1677899999999966, 'RECALL_TEST_LEN': 0.1677899999999966, 'MAP': 0.0957836388888878, 'MRR': 0.4456718253968268, 'NDCG': 0.19451778264939784, 'F1': 0.1677899999999966, 'HIT_RATE': 1.6779, 'ARHR': 0.6433930158730146, 'NOVELTY': 0.005542881726645231, 'DIVERSITY_MEAN_INTER_LIST': 0.9837501170117012, 'DIVERSITY_HERFINDAHL': 0.9983651742, 'COVERAGE_ITEM': 0.19641385994669253, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2317009866798224, 'SHANNON_ENTROPY': 10.182858109660678}
BayesianSearch: Testing config: {'weights1': 0.1, 'weights2': 1.5, 'weights3': 0.4, 'weights4': 0.8, 'normalize': False} - Exception index (20500) out of range (>= 1)
BayesianSearch: Testing config: {'weights1': 0.4, 'weights2': 1.2, 'weights3': 0.30000000000000004, 'weights4': 0.1, 'normalize': False} - Exception index (20500) out of range (>= 1)
BayesianSearch: New best config found. Config: {'weights1': 0.2, 'weights2': 1.2, 'weights3': 0.5, 'weights4': 0.6000000000000001, 'normalize': True} - results: {'ROC_AUC': 0.49237028968253715, 'PRECISION': 0.16655999999999643, 'RECALL': 0.16655999999999643, 'RECALL_TEST_LEN': 0.16655999999999643, 'MAP': 0.09446246031745957, 'MRR': 0.4416918253968265, 'NDCG': 0.1927009380415082, 'F1': 0.16655999999999643, 'HIT_RATE': 1.6656, 'ARHR': 0.6363676190476183, 'NOVELTY': 0.005527734816426751, 'DIVERSITY_MEAN_INTER_LIST': 0.9831429722972297, 'DIVERSITY_HERFINDAHL': 0.9983044658, 'COVERAGE_ITEM': 0.19025926823358372, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.22982450216450218, 'SHANNON_ENTROPY': 10.126976872599425}
BayesianSearch: New best config found. Config: {'weights1': 0.1, 'weights2': 1.2, 'weights3': 0.1, 'weights4': 1.0, 'normalize': False} - results: {'ROC_AUC': 0.4883793095238066, 'PRECISION': 0.16654999999999653, 'RECALL': 0.16654999999999653, 'RECALL_TEST_LEN': 0.16654999999999653, 'MAP': 0.09371076587301486, 'MRR': 0.44017722222222355, 'NDCG': 0.192078581199795, 'F1': 0.16654999999999653, 'HIT_RATE': 1.6655, 'ARHR': 0.6330235317460319, 'NOVELTY': 0.005516494283870659, 'DIVERSITY_MEAN_INTER_LIST': 0.9835513291329133, 'DIVERSITY_HERFINDAHL': 0.9983452974, 'COVERAGE_ITEM': 0.18008238429852194, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23365616357277375, 'SHANNON_ENTROPY': 10.098316547599008}
BayesianSearch: New best config found. Config: {'weights1': 0.4, 'weights2': 1, 'weights3': 0.5, 'weights4': 0.9, 'normalize': False} - results: {'ROC_AUC': 0.4954054761904725, 'PRECISION': 0.16991999999999674, 'RECALL': 0.16991999999999674, 'RECALL_TEST_LEN': 0.16991999999999674, 'MAP': 0.09710072619047525, 'MRR': 0.44899575396825564, 'NDCG': 0.19669499327912926, 'F1': 0.16991999999999674, 'HIT_RATE': 1.6992, 'ARHR': 0.6499231349206332, 'NOVELTY': 0.0055337511087597685, 'DIVERSITY_MEAN_INTER_LIST': 0.9840905030503051, 'DIVERSITY_HERFINDAHL': 0.9983992094, 'COVERAGE_ITEM': 0.193360794766174, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23112032072162364, 'SHANNON_ENTROPY': 10.172747195047197}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 1.2, 'weights3': 0.7000000000000001, 'weights4': 0.0, 'normalize': False} - results: {'ROC_AUC': 0.4929647738095193, 'PRECISION': 0.16650999999999666, 'RECALL': 0.16650999999999666, 'RECALL_TEST_LEN': 0.16650999999999666, 'MAP': 0.0951622817460305, 'MRR': 0.44449928571428754, 'NDCG': 0.19327851278111338, 'F1': 0.16650999999999666, 'HIT_RATE': 1.6651, 'ARHR': 0.639885079365079, 'NOVELTY': 0.005527386353180197, 'DIVERSITY_MEAN_INTER_LIST': 0.9819342214221422, 'DIVERSITY_HERFINDAHL': 0.9981836028, 'COVERAGE_ITEM': 0.2023746062515144, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2208479051951161, 'SHANNON_ENTROPY': 10.113075774755753}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 1.5, 'weights3': 0.5, 'weights4': 0.4, 'normalize': True} - results: {'ROC_AUC': 0.49500428968253446, 'PRECISION': 0.16768999999999656, 'RECALL': 0.16768999999999656, 'RECALL_TEST_LEN': 0.16768999999999656, 'MAP': 0.09592770238095152, 'MRR': 0.44580099206349294, 'NDCG': 0.19451284459158777, 'F1': 0.16768999999999656, 'HIT_RATE': 1.6769, 'ARHR': 0.6435638888888884, 'NOVELTY': 0.00553858843895194, 'DIVERSITY_MEAN_INTER_LIST': 0.9829793499349935, 'DIVERSITY_HERFINDAHL': 0.9982881052, 'COVERAGE_ITEM': 0.20174460867458202, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.22574596541786743, 'SHANNON_ENTROPY': 10.161423416807317}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2, 'weights2': 0.9, 'weights3': 0.30000000000000004, 'weights4': 0.8, 'normalize': False} - results: {'ROC_AUC': 0.49276538095237693, 'PRECISION': 0.16825999999999658, 'RECALL': 0.16825999999999658, 'RECALL_TEST_LEN': 0.16825999999999658, 'MAP': 0.09549865079364951, 'MRR': 0.4458348809523826, 'NDCG': 0.19460950606167315, 'F1': 0.16825999999999658, 'HIT_RATE': 1.6826, 'ARHR': 0.642713373015872, 'NOVELTY': 0.005520340731215002, 'DIVERSITY_MEAN_INTER_LIST': 0.983735197519752, 'DIVERSITY_HERFINDAHL': 0.9983636824, 'COVERAGE_ITEM': 0.18458929004119215, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23263739632545932, 'SHANNON_ENTROPY': 10.123472196683066}
