BayesianSearch: New best config found. Config: {'weights1': 0.7304806595587808, 'weights2': 0.8231328291538563, 'weights3': 0.8045456261331201, 'weights4': 0.5518987688644511, 'normalize': False} - results: {'ROC_AUC': 0.14864846031746085, 'PRECISION': 0.049270000000000466, 'RECALL': 0.049270000000000466, 'RECALL_TEST_LEN': 0.049270000000000466, 'MAP': 0.027360071428571383, 'MRR': 0.136326507936508, 'NDCG': 0.05765119979977608, 'F1': 0.049270000000000466, 'HIT_RATE': 0.4927, 'ARHR': 0.19212349206349066, 'NOVELTY': 0.006564247863029101, 'DIVERSITY_MEAN_INTER_LIST': 0.6525669606960696, 'DIVERSITY_HERFINDAHL': 0.9652501704, 'COVERAGE_ITEM': 0.08781196995396172, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07607892995035852, 'SHANNON_ENTROPY': 6.30866821171761} - time: 2018-11-30 14:06:06.984474
BayesianSearch: New best config found. Config: {'weights1': 0.8562918515708308, 'weights2': 0.7681219439434903, 'weights3': 0.20646831139493693, 'weights4': 0.8239887771526678, 'normalize': False} - results: {'ROC_AUC': 0.14901597619047707, 'PRECISION': 0.049500000000000446, 'RECALL': 0.049500000000000446, 'RECALL_TEST_LEN': 0.049500000000000446, 'MAP': 0.027500706349206313, 'MRR': 0.13665424603174606, 'NDCG': 0.057841950840502976, 'F1': 0.04950000000000045, 'HIT_RATE': 0.495, 'ARHR': 0.19250313492063395, 'NOVELTY': 0.006576227007685118, 'DIVERSITY_MEAN_INTER_LIST': 0.652367898789879, 'DIVERSITY_HERFINDAHL': 0.9652302662, 'COVERAGE_ITEM': 0.09028349890961958, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07635266094420601, 'SHANNON_ENTROPY': 6.312548516841269} - time: 2018-11-30 14:06:24.550272
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.00821450099228449, 'weights2': 0.03556544504301651, 'weights3': 0.44272733294174405, 'weights4': 0.6984838722990077, 'normalize': False} - results: {'ROC_AUC': 0.14535617857142907, 'PRECISION': 0.04834000000000048, 'RECALL': 0.04834000000000048, 'RECALL_TEST_LEN': 0.04834000000000048, 'MAP': 0.02667880555555554, 'MRR': 0.13400793650793638, 'NDCG': 0.0564611978277564, 'F1': 0.04834000000000048, 'HIT_RATE': 0.4834, 'ARHR': 0.18801825396825286, 'NOVELTY': 0.006562615679028621, 'DIVERSITY_MEAN_INTER_LIST': 0.6528865566556655, 'DIVERSITY_HERFINDAHL': 0.9652821268, 'COVERAGE_ITEM': 0.08941119457232857, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07713429035752979, 'SHANNON_ENTROPY': 6.332431786740262} - time: 2018-11-30 14:06:42.013703
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.05483223963095574, 'weights2': 0.7697865412927857, 'weights3': 0.2752838111673924, 'weights4': 0.36849093164185764, 'normalize': False} - results: {'ROC_AUC': 0.14797052380952455, 'PRECISION': 0.04881000000000039, 'RECALL': 0.04881000000000039, 'RECALL_TEST_LEN': 0.04881000000000039, 'MAP': 0.02703519047619042, 'MRR': 0.1362244444444444, 'NDCG': 0.057206844940036534, 'F1': 0.04881000000000039, 'HIT_RATE': 0.4881, 'ARHR': 0.19092329365079275, 'NOVELTY': 0.0065493389868540135, 'DIVERSITY_MEAN_INTER_LIST': 0.6517139393939394, 'DIVERSITY_HERFINDAHL': 0.9651648768, 'COVERAGE_ITEM': 0.07346740974073176, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.0759319446275544, 'SHANNON_ENTROPY': 6.217630317133095} - time: 2018-11-30 14:06:59.284604
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5870396704522796, 'weights2': 0.25192933001053186, 'weights3': 0.4735869488313801, 'weights4': 0.8087150018591105, 'normalize': False} - results: {'ROC_AUC': 0.14724593650793713, 'PRECISION': 0.049590000000000446, 'RECALL': 0.049590000000000446, 'RECALL_TEST_LEN': 0.049590000000000446, 'MAP': 0.02731751984126975, 'MRR': 0.13534444444444438, 'NDCG': 0.05764604987874627, 'F1': 0.049590000000000446, 'HIT_RATE': 0.4959, 'ARHR': 0.19123039682539558, 'NOVELTY': 0.0065758638167065595, 'DIVERSITY_MEAN_INTER_LIST': 0.6529607840784079, 'DIVERSITY_HERFINDAHL': 0.9652895488, 'COVERAGE_ITEM': 0.09721347225587594, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07671299451918286, 'SHANNON_ENTROPY': 6.36149066343232} - time: 2018-11-30 14:07:16.566346
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3024269476898246, 'weights2': 0.6877531829225818, 'weights3': 0.9391867068309746, 'weights4': 0.6853695937547865, 'normalize': True} - results: {'ROC_AUC': 0.14734451190476253, 'PRECISION': 0.04913000000000044, 'RECALL': 0.04913000000000044, 'RECALL_TEST_LEN': 0.04913000000000044, 'MAP': 0.027133670634920577, 'MRR': 0.13565904761904743, 'NDCG': 0.057362201112508775, 'F1': 0.04913000000000043, 'HIT_RATE': 0.4913, 'ARHR': 0.19092666666666538, 'NOVELTY': 0.006559013407194253, 'DIVERSITY_MEAN_INTER_LIST': 0.6525332413241324, 'DIVERSITY_HERFINDAHL': 0.9652467988, 'COVERAGE_ITEM': 0.08490428882965835, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07617699942954934, 'SHANNON_ENTROPY': 6.296602703615175} - time: 2018-11-30 14:07:34.026894
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.6534581268643754, 'weights2': 0.6834786681408274, 'weights3': 0.6099641246062166, 'weights4': 0.8008292761948368, 'normalize': False} - results: {'ROC_AUC': 0.14877884126984187, 'PRECISION': 0.04944000000000045, 'RECALL': 0.04944000000000045, 'RECALL_TEST_LEN': 0.04944000000000045, 'MAP': 0.02747996825396819, 'MRR': 0.13669412698412706, 'NDCG': 0.057841138055175545, 'F1': 0.04944000000000045, 'HIT_RATE': 0.4944, 'ARHR': 0.19274376984126865, 'NOVELTY': 0.00656514251797843, 'DIVERSITY_MEAN_INTER_LIST': 0.6525561656165616, 'DIVERSITY_HERFINDAHL': 0.965249091, 'COVERAGE_ITEM': 0.08737581778531621, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07662134146341462, 'SHANNON_ENTROPY': 6.309302479414864} - time: 2018-11-30 14:07:51.549957
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.8047275948255356, 'weights2': 0.1759877013579706, 'weights3': 0.990151760435771, 'weights4': 0.38909479271419634, 'normalize': True} - results: {'ROC_AUC': 0.14503837698412753, 'PRECISION': 0.04866000000000049, 'RECALL': 0.04866000000000049, 'RECALL_TEST_LEN': 0.04866000000000049, 'MAP': 0.02674482936507941, 'MRR': 0.13315607142857144, 'NDCG': 0.05658772839978337, 'F1': 0.04866000000000048, 'HIT_RATE': 0.4866, 'ARHR': 0.18777599206349074, 'NOVELTY': 0.006577063609027984, 'DIVERSITY_MEAN_INTER_LIST': 0.6531607860786078, 'DIVERSITY_HERFINDAHL': 0.965309547, 'COVERAGE_ITEM': 0.10089653501332688, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07646835333653385, 'SHANNON_ENTROPY': 6.380933206855003} - time: 2018-11-30 14:08:09.080880
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.986275739272595, 'weights2': 0.9466347990982451, 'weights3': 0.8452643141080126, 'weights4': 0.9878715983526968, 'normalize': False} - results: {'ROC_AUC': 0.14888728571428636, 'PRECISION': 0.049350000000000435, 'RECALL': 0.049350000000000435, 'RECALL_TEST_LEN': 0.049350000000000435, 'MAP': 0.027460551587301534, 'MRR': 0.1368148412698413, 'NDCG': 0.057797255773842336, 'F1': 0.04935000000000044, 'HIT_RATE': 0.4935, 'ARHR': 0.19275051587301464, 'NOVELTY': 0.006566753283078256, 'DIVERSITY_MEAN_INTER_LIST': 0.6525976957695769, 'DIVERSITY_HERFINDAHL': 0.9652532436, 'COVERAGE_ITEM': 0.08829658347467895, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07684354360943499, 'SHANNON_ENTROPY': 6.315550416234954} - time: 2018-11-30 14:08:36.465915
BayesianSearch: New best config found. Config: {'weights1': 0.6123736299270621, 'weights2': 0.9899284598001136, 'weights3': 0.18387382219396597, 'weights4': 0.9995979660345236, 'normalize': True} - results: {'ROC_AUC': 0.14992408730158807, 'PRECISION': 0.04937000000000043, 'RECALL': 0.04937000000000043, 'RECALL_TEST_LEN': 0.04937000000000043, 'MAP': 0.027505900793650777, 'MRR': 0.1369527777777776, 'NDCG': 0.057845779663324354, 'F1': 0.04937000000000043, 'HIT_RATE': 0.4937, 'ARHR': 0.1928783730158719, 'NOVELTY': 0.006562233774029995, 'DIVERSITY_MEAN_INTER_LIST': 0.6518603020302031, 'DIVERSITY_HERFINDAHL': 0.9651795116, 'COVERAGE_ITEM': 0.0807850739035619, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07555324940047961, 'SHANNON_ENTROPY': 6.253351297311868} - time: 2018-11-30 14:09:03.910731
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.397902374932958, 'weights2': 0.9087584079353326, 'weights3': 0.2910680839068993, 'weights4': 0.9699504430312167, 'normalize': False} - results: {'ROC_AUC': 0.14992027777777844, 'PRECISION': 0.0493700000000004, 'RECALL': 0.0493700000000004, 'RECALL_TEST_LEN': 0.0493700000000004, 'MAP': 0.027480900793650734, 'MRR': 0.13714047619047606, 'NDCG': 0.05785812790468335, 'F1': 0.0493700000000004, 'HIT_RATE': 0.4937, 'ARHR': 0.1929667063492052, 'NOVELTY': 0.006556795320211339, 'DIVERSITY_MEAN_INTER_LIST': 0.6519162876287629, 'DIVERSITY_HERFINDAHL': 0.9651851096, 'COVERAGE_ITEM': 0.07889508117276472, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07576088397790057, 'SHANNON_ENTROPY': 6.24778790146109} - time: 2018-11-30 14:09:31.653476
